cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Hautes-Roches,Roches,Pompes,Hautes-,broc,Ri-haut,Ê,,,,
1,Pas,meitras,Astu,,,,,,,,
2,j’,MERE,Menuet,Merci,Où,forez,vivreé,blämer,,,
3,ferme des Ormeaux,Ormeaux,Estimez,kermesse,tairie des Ormeaux,,,,,,
4,meprie,Tréchaufferie,Borderie,réchauff,lingerie,,,,,,
5,e’,Jeune,Je,lune,"jeuné

—",brune,,,,,
6,Siû,TROISIÈME PARTIR,PARTIE,M,QUATRIÈNE PARTIR,,,,,,
7,"PETITE JEANNE

LE DEVOIR",Petite Jeanne,petite Jeanne,,,,,,,,
8,JEANNE,JEANNE VEUVE,Jeanno,grenier;-car Jeanne,Jouanno,Joanne,"ai

Jeanne",Jeantié,champ de Jeanne,,
9,F,au-,"au-
tres",mâtériaux,,,,,,,
10,Savez,Avez,,,,,,,,,
11,L’,porte de la eure,porto,la somme,Ïl,,,,,,
12,suisse,Suisse,Suisse-le done faire,Embrasse,Laisse,,,,,,
13,rige,ge,Jugez,Monge,,,,,,,
14,Berrÿ,Berry,,,,,,,,,
15,euré,Lécœur,beurrée,cüré,s09,monsieur,heurèse,rougeur,Prévôt,,
16,A,AL,hôpital de Bourges,Bourges,,,,,,,
17,I,aimais,Sais-tu,aimais-tu,veux-tu dtre.ma,,,,,,
18,Es-tu,Crois,Crois-tu,crois-tu,,,,,,,
19,Afrique,qu’,,,,,,,,,
20,tout.—C',sère-le tout,le-profit -de la vigne tout,le japon,,,,,,,
21,Coupez,Ü,Écoutez,occupez,,,,,,,
22,"Chétif-
Bail",juil,IL,Mapauvrefille,S,,,,,,
23,cupées,pée,Ca,@t,,,,,,,
24,+,Combien,Bi,BI,serbie,,,,,,
25,Îà,Entends-tu,entreéla,Attends,,,,,,,
26,Vatan,Sylvan,Kh,Sylvain,,,,,,,
27,Voulez,|,Voyez,croyez,Payez-les-moi,,,,,,
28,veines,maine,Île capitaine,"se-
maine",,,,,,,
29,Saint-Pierre,Pierres-,"Pierres-
Folles",Tixier,Pares,,,,,,
30,Conviens,miens,Tiens,,,,,,,,
31,Grand Bail,Grand-Bail,chand,Durand,Grand,Flandre,"Grand-
Bail",Jusserand,Grand-Bal,Grand-Bai,
32,los vendre,Lo,José-,Los,Allons,,,,,,
33,Cher,"département du
Cher",Achetez,Blanche,cher,a6,sempêcher,,,,
34,En Bretagne,E,Bretagne,,,,,,,,
35,Margue-,Maman,maman,Mudamè,,,,,,,
36,Isauro,endureît,Isaure,Îsauve,,,,,,,
37,Is-,Crise,église n’,jamüis,valais,la Grise,buis,Nantaise,n'’ôtais,Is,Paris
38,garniront,choirs,nir,,,,,,,,
39,moselle,mademoiselle,Mesdemoiselles,,,,,,,,
40,Regardez,n'’aidait,Aidez,,,,,,,,
41,J loin,Cinquante,lincou,Gathorino,printétps,In,provins,mülin,nankin,,
42,sainte,Sainte-So-,sainte-Solange,jy,vendange,Solange,Sainte-Solange,ct,,,
43,"Saint-
Jean",Saint-Jean,,,,,,,,,
44,"93

Senne",vienne,J1,Apprenez,rennes,,,,,,
45,SERVICE,SERVIR,SL,,,,,,,,
46,éle,lâle,bâle,,,,,,,,
47,fran,la France,de France,france,,,,,,,
48,Ettu,défrotter,tôte,Mettez,Nanette,Annette,Nannotte,,,,
49,Voie,Lois,Vois,Sois,,,,,,,
50,Péinertiel,ler,Péonnerie,ner,,,,,,,
51,rioux,s’,pou,Louiso,Oui,,,,,,
52,So-,"Jo-
séphine",Jo-,,,,,,,,
53,ar-,charrue,"char-

- gée du ménage",,,,,,,,
54,soudan,Inourables d'Issoudun,sou,Issoudun,,,,,,,
