cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36
-1,Berry Pomeroy,Madeira,Seneca,Gehazi,Psalm,n’t,North,Germany,Glamorgan,me?—oh,T—.,Italy,&c.,Pembroke,Seldon Grange,Sabbath,Scotsmen,"promise,—if",Delmont,Oakwood,Scotland,wasa,myrtle,Elizabethan,Atlantic,Exeter,"birds,—(several sea",Tus,JT,Nota,MS,Harding,Halifax,Edinburgh,Algiers,moment”—she,Tn
0,Portsmouth,Truth,Plymouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bricuriy,British America,"South
America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,comfort,fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Llangwillan,Milford,Oxford,Nurse Langford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ireland,Highland,Moorlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Old England,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,the Feroe Islands,the Shetland Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hasty,Easter,Feroe,Osteroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Earth,hearda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Greville Manor,Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Leander,Dearest Eleanor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Crarton,Ashburton,"itself,—Morton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,STORY.—A CONFESSION,Seaton,Swansea,Torrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LiBRARY,Barbary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"the Sea
Queen",the Sea Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Caroline,Euphrosyne,Lina,Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Grahame,Cheltenham,Hamiltou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Caithness,Esq,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Providence,Benevolence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sweden,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Lelly,Ellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,deceit,Cecil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Percy?—let,Perey,Percy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Samboese,Samboe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Thou,thou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Devonshire,New York,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Lady,Jady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Harcourt,"Luey
Harcourt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,INDIA,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MR,Mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
