cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
-1,Italy,Gehazi,Atlantic,Scotsmen,Glamorgan,Halifax,n’t,Tus,&c.,Nota,Harding,myrtle,JT,Delmont,Llangwillan,me?—oh,Sabbath,North,Tn,"birds,—(several sea",T—.,Seneca,MS,Edinburgh,Berry Pomeroy,moment”—she,Elizabethan
0,Mr,MR,,,,,,,,,,,,,,,,,,,,,,,,,
1,INDIA,India,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Luey
Harcourt",Harcourt,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lady,Jady,,,,,,,,,,,,,,,,,,,,,,,,,
4,Yorkshire,New York,Devonshire,,,,,,,,,,,,,,,,,,,,,,,,
5,Thou,thou,,,,,,,,,,,,,,,,,,,,,,,,,
6,Samboese,Samboe,,,,,,,,,,,,,,,,,,,,,,,,,
7,Seldon Grange,LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,
8,Percy,Pembroke,Oakwood,Perey,"promise,—if",Percy?—let,,,,,,,,,,,,,,,,,,,,,
9,Esq,Caithness,Wales,,,,,,,,,,,,,,,,,,,,,,,,
10,wasa,Psalm,Algiers,,,,,,,,,,,,,,,,,,,,,,,,
11,Cecil,Madeira,deceit,,,,,,,,,,,,,,,,,,,,,,,,
12,Ellen,Lelly,,,,,,,,,,,,,,,,,,,,,,,,,
13,Cheltenham,Grahame,Hamiltou,,,,,,,,,,,,,,,,,,,,,,,,
14,Providence,Benevolence,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sweden,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,
16,Lina,Caroline,Euphrosyne,Collins,,,,,,,,,,,,,,,,,,,,,,,
17,the Sea Queen,"the Sea
Queen",,,,,,,,,,,,,,,,,,,,,,,,,
18,LiBRARY,Barbary,,,,,,,,,,,,,,,,,,,,,,,,,
19,Germany,Greville Manor,Manor,,,,,,,,,,,,,,,,,,,,,,,,
20,Leander,Dearest Eleanor,,,,,,,,,,,,,,,,,,,,,,,,,
21,Crarton,"itself,—Morton",Ashburton,,,,,,,,,,,,,,,,,,,,,,,,
22,Swansea,STORY.—A CONFESSION,Seaton,Torrington,,,,,,,,,,,,,,,,,,,,,,,
23,Plymouth,Portsmouth,Truth,,,,,,,,,,,,,,,,,,,,,,,,
24,"South
America",Bricuriy,British America,,,,,,,,,,,,,,,,,,,,,,,,
25,hearda,Earth,,,,,,,,,,,,,,,,,,,,,,,,,
26,Hasty,Exeter,,,,,,,,,,,,,,,,,,,,,,,,,
27,the Shetland Isles,the Feroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,
28,Easter,Feroe,Osteroe,,,,,,,,,,,,,,,,,,,,,,,,
29,Milford,Oxford,Nurse Langford,,,,,,,,,,,,,,,,,,,,,,,,
30,fort,comfort,,,,,,,,,,,,,,,,,,,,,,,,,
31,Highland,Ireland,Scotland,Moorlands,,,,,,,,,,,,,,,,,,,,,,,
32,England,Old England,,,,,,,,,,,,,,,,,,,,,,,,,
