cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,thou,Thou,,,,,,,
1.0,Percy?—let,Percy,Perey,,,,,,
2.0,Plymouth,Portsmouth,Truth,,,,,,
3.0,Edinburgh,Harding,,,,,,,
4.0,Easter,Hasty,Osteroe,Exeter,,,,,
5.0,Samboese,Samboe,,,,,,,
6.0,British America,Bricuriy,"South
America",Seneca,,,,,
7.0,Ellen,Lelly,,,,,,,
8.0,England,Highland,Scotland,Atlantic,Moorlands,Old England,Ireland,Leander,Llangwillan
9.0,Swansea,"the Sea
Queen","birds,—(several sea",the Sea Queen,,,,,
10.0,Lady,Jady,,,,,,,
11.0,Caroline,Collins,Lina,,,,,,
12.0,Wales,moment”—she,Scotsmen,Berry Pomeroy,,,,,
13.0,Denmark,Sweden,,,,,,,
14.0,Nurse Langford,Oxford,Milford,,,,,,
15.0,"promise,—if",Providence,Benevolence,,,,,,
16.0,INDIA,India,,,,,,,
17.0,"Luey
Harcourt",Harcourt,,,,,,,
18.0,Feroe,the Feroe Islands,the Shetland Isles,,,,,,
19.0,Earth,hearda,,,,,,,
20.0,Seaton,Crarton,Seldon Grange,Glamorgan,Ashburton,"itself,—Morton",,,
21.0,LONDON,London,,,,,,,
22.0,Caithness,Torrington,STORY.—A CONFESSION,,,,,,
23.0,North,fort,comfort,,,,,,
24.0,LiBRARY,Barbary,,,,,,,
25.0,Hamiltou,Grahame,Cheltenham,,,,,,
26.0,Devonshire,New York,Yorkshire,,,,,,
27.0,Dearest Eleanor,Greville Manor,Germany,Manor,,,,,
