cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Plymouth,"South
America",Portsmouth,Truth,Oakwood,Lady,Benevolence,Samboe,,,,,,
1,Crarton,"itself,—Morton",Ashburton,,,,,,,,,,,
2,Milford,Oxford,&c.,Nurse Langford,Tn,,,,,,,,,
3,Atlantic,Highland,Leander,Esq,Ireland,Scotland,Delmont,Llangwillan,England,Psalm,Old England,the Feroe Islands,Moorlands,Elizabethan
4,Germany,Greville Manor,n’t,Dearest Eleanor,Manor,thou,,,,,,,,
5,fort,Tus,North,comfort,,,,,,,,,,
6,Gehazi,Lina,Caroline,Nota,Cecil,Collins,,,,,,,,
7,"Luey
Harcourt",Harding,India,Harcourt,,,,,,,,,,
8,Yorkshire,Devonshire,deceit,moment”—she,,,,,,,,,,
9,Mr,Scotsmen,hearda,Earth,,,,,,,,,,
10,STORY.—A CONFESSION,Halifax,Pembroke,Feroe,Wales,Osteroe,Berry Pomeroy,,,,,,,
11,Swansea,Ellen,Seaton,Torrington,,,,,,,,,,
12,Seldon Grange,LONDON,London,,,,,,,,,,,
13,Bricuriy,British America,,,,,,,,,,,,
14,the Sea Queen,the Shetland Isles,Algiers,"the Sea
Queen","birds,—(several sea",MS,,,,,,,,
15,Italy,myrtle,wasa,Jady,,,,,,,,,,
16,MR,Euphrosyne,Hasty,Edinburgh,,,,,,,,,,
17,Cheltenham,Grahame,Hamiltou,,,,,,,,,,,
18,Glamorgan,Easter,Exeter,Madeira,,,,,,,,,,
19,T—.,,,,,,,,,,,,,
20,INDIA,Samboese,Lelly,,,,,,,,,,,
21,New York,JT,me?—oh,Caithness,"promise,—if",,,,,,,,,
22,Barbary,,,,,,,,,,,,,
23,LiBRARY,Percy,Sabbath,Perey,Seneca,Percy?—let,,,,,,,,
24,Providence,Thou,Sweden,Denmark,,,,,,,,,,
