cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Scotsmen,Cheltenham,Ellen,Sweden,Benevolence,Lelly,,,,,
1,Milford,Oxford,fort,myrtle,North,comfort,,,,,
2,Tus,T—.,,,,,,,,,
3,INDIA,Harding,India,Edinburgh,,,,,,,
4,LiBRARY,Lina,Caroline,JT,Caithness,Collins,Seneca,,,,
5,Yorkshire,New York,Devonshire,,,,,,,,
6,Percy,Pembroke,Algiers,Perey,Percy?—let,,,,,,
7,Crarton,Swansea,"itself,—Morton",Seaton,"birds,—(several sea","promise,—if",Torrington,Ashburton,,,
8,STORY.—A CONFESSION,Seldon Grange,LONDON,Delmont,London,,,,,,
9,hearda,Oakwood,the Sea Queen,"the Sea
Queen",,,,,,,
10,Mr,MR,,,,,,,,,
11,Atlantic,Highland,Leander,Glamorgan,Nurse Langford,Ireland,Scotland,Llangwillan,England,Old England,Moorlands
12,Germany,Greville Manor,n’t,Nota,Dearest Eleanor,Manor,Denmark,MS,,,
13,the Shetland Isles,the Feroe Islands,moment”—she,Elizabethan,,,,,,,
14,Providence,Cecil,Madeira,deceit,,,,,,,
15,Samboese,Samboe,,,,,,,,,
16,Plymouth,Portsmouth,Truth,&c.,Thou,Sabbath,thou,,,,
17,Italy,Halifax,Esq,wasa,Psalm,Wales,,,,,
18,Gehazi,"Luey
Harcourt",Hamiltou,Barbary,Harcourt,Earth,,,,,
19,Easter,Feroe,Euphrosyne,Hasty,Exeter,Osteroe,Berry Pomeroy,,,,
20,Lady,Tn,Jady,,,,,,,,
21,"South
America",Grahame,Bricuriy,me?—oh,British America,,,,,,
