cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Kensington,saying’-,Nottingham,Oak Openings,Washington,Abingdon,Tinge,,
1,Beaumont,Rougemont,Ve're,Richmond,Belvoir,Monsieur Violet,Beatitudes,,
2,thou,Thou,Author,,,,,,
3,Strike,Satan,Boscobel,Strand,King-street,,,,
4,Bastille,Cornhill,sepulchre,Millbank,Billinsgit,W.H.,Achilles,,
5,Se,Forest Days,Pictures,Mississippi,nearest kinsman,,,,
6,Leicestershire,master’ll,Munster Festivals,Peak,Westminster,Steel Plates,Zoroaster,Bivouac,scaly sea-monster
7,Sea Lions,Sea,Up.ch,Loftus,,,,,
8,Haliburton,"Hallywoed Es
Hall",Turk,STATUE,Whitehall,,,,
9,Cristofano,Manon,anon,Red,,,,,
10,flagon,Wakefield,Fields,Yielding,,,,,
11,laurel,LAUREL,Dauris,Laurel,,,,,
12,Amelia,Elia,"Queen
Elizabeth’s time",penetralia,,,,,
13,Mosses,Paston,Tokay,Grafton,Woodstock,Eastcheap,Newton,,
14,Canterbury,Finsbury,Sins-,Drury,Lothbury,,,,
15,Santa Maria,Marked,Marion,Mardol,Mars,"you,—‘Ll",,,
16,Ninus,Flapdragon,Wyandotte,Rotterdam,Waterloo,Vignettes,,,
17,South-,Southwark,South,,,,,,
18,Charing,Charles,Farquhar,Whitefriars,Rookwood,,,,
19,Old Bailey,Ivanhoe,Old Pair,,,,,,
20,Regent,Serpentine,25th Regiment,ROME,Watts,Podrida,,,
21,Ispahan,Chance,Chamber,,,,,,
22,Portrait,Beaafort,fort,Oxford,ER,Tlosiage,Fra,,
23,Phantom Ship,ANTIQUARIES,France,Antverp,Calabria,Santa,,,
24,AINSWORTH,Perth,Kenilworth,Venice,,,,,
25,L. EL.,Barns,Temple-bar,Barabbas,,,,,
26,Rome,Lyndhurst,,,,,,,
27,Italy,DR,,,,,,,
28,"St.
George’s",St. Peter,St.,,,,,,
29,Inn,Pompeii,New Myers,NEW YORK,New Type,,,,
30,Paris,Hyde Park,Park-street,Park,HYDE PARK,,,,
31,’s,scagliola,Dunleath,Henry VEIL,,,,,
32,"Saint
James's-square",Faint,Spain,"Saint
Gives’s",Saint,,,,
33,Swan,Hermetic,,,,,,,
34,Blenheim,KRONHEIM,KronuEIM,Byron,,,,,
35,London Stone,LONDON,Old London,London,IL,,,,
36,America,St. James’ss,Pelham,c.g.,Vol,Thames,,,
37,Bohemian Libraries,ROSICRUCIAN,Plot,Midlothian,,,,,
38,Curzon,Packet,Isle of Sky,Wintry,Mackintoshes,,,,
39,vol,the Black Dwarf,The Inland Sea,Stepfather,Colours,the Chaplain ages,"the Alabama

Il

Case",,
40,Masses,Godolphin,china,,,,,,
41,England,Highland,Lamplight,Inn-lane,Scotland,Highlands,,,
42,Routledge,River,ROUTLEDGE,,,,,,
