cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0.0,Westminster,Munster Festivals,Ivanhoe,Leicestershire,scaly sea-monster,
1.0,NEW YORK,New Myers,New Type,,,
2.0,Sea Lions,Sea,scagliola,,,
3.0,AINSWORTH,Sins-,Perth,Kenilworth,,
4.0,Beaumont,Monsieur Violet,Rougemont,Beatitudes,Richmond,
5.0,Waterloo,Watts,Steel Plates,,,
6.0,London,London Stone,Old London,LONDON,,
7.0,Bohemian Libraries,ANTIQUARIES,,,,
8.0,Belvoir,Boscobel,,,,
9.0,Old Pair,Old Bailey,,,,
10.0,South-,Southwark,South,,,
11.0,St.,"St.
George’s",St. Peter,St. James’ss,,
12.0,Hermetic,Stepfather,Dunleath,Italy,,
13.0,Tinge,Abingdon,Nottingham,saying’-,,
14.0,Flapdragon,flagon,,,,
15.0,Mackintoshes,Packet,Wintry,,,
16.0,Lothbury,Canterbury,Midlothian,Finsbury,Plot,Drury
17.0,laurel,LAUREL,Laurel,,,
18.0,Vignettes,Rotterdam,Wyandotte,,,
19.0,Byron,KronuEIM,KRONHEIM,Colours,Blenheim,
20.0,ROME,Rome,,,,
21.0,Chamber,Thames,Pelham,,,
22.0,china,Kensington,Washington,,,
23.0,Tlosiage,ROSICRUCIAN,,,,
24.0,France,Fra,Chance,,,
25.0,Marked,Mars,Mardol,Godolphin,,
26.0,Marion,Santa Maria,Santa,,,
27.0,Elia,America,Amelia,"Queen
Elizabeth’s time",,
28.0,River,Antverp,,,,
29.0,penetralia,Venice,Oak Openings,Ninus,,
30.0,Oxford,fort,Portrait,Beaafort,,
31.0,thou,Author,Thou,,,
32.0,Millbank,Bastille,Achilles,Billinsgit,Cornhill,
33.0,ROUTLEDGE,Routledge,,,,
34.0,Eastcheap,Zoroaster,master’ll,,,
35.0,Lyndhurst,Whitefriars,Whitehall,"Hallywoed Es
Hall",,
36.0,Strike,Park,Park-street,King-street,,
37.0,Spain,Ispahan,Phantom Ship,,,
38.0,Turk,Pictures,,,,
39.0,Wakefield,Yielding,Fields,,,
40.0,Masses,Mosses,,,,
41.0,Dauris,Cristofano,Paris,,,
42.0,Scotland,Highland,The Inland Sea,Strand,England,Highlands
43.0,Woodstock,Rookwood,,,,
44.0,Inn,Inn-lane,,,,
45.0,anon,Manon,,,,
46.0,Vol,vol,,,,
47.0,HYDE PARK,Hyde Park,,,,
48.0,Serpentine,Regent,25th Regiment,,,
49.0,the Chaplain ages,the Black Dwarf,Calabria,"the Alabama

Il

Case",,
50.0,Barabbas,Barns,Lamplight,Temple-bar,,
51.0,Farquhar,Charing,Charles,,,
52.0,"Saint
James's-square",Faint,Saint,"Saint
Gives’s",,
53.0,Forest Days,nearest kinsman,,,,
54.0,Haliburton,Newton,Paston,Grafton,,
