cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Kensington,Washington,Grafton,Monsieur Violet,Sins-,,,,,
1,Beaumont,Rougemont,Beatitudes,,,,,,,
2,thou,Thou,Author,"you,—‘Ll",,,,,,
3,Mosses,Masses,Mississippi,,,,,,,
4,vol,scagliola,Godolphin,Vol,Belvoir,Colours,Bivouac,,,
5,Ninus,Inn,Inn-lane,,,,,,,
6,flagon,Flapdragon,,,,,,,,
7,England,Highland,Lamplight,Scotland,Highlands,,,,,
8,Se,Sea Lions,Peak,Sea,sepulchre,Dunleath,The Inland Sea,Eastcheap,,
9,Regent,25th Regiment,Venice,,,,,,,
10,Bohemian Libraries,ROSICRUCIAN,L. EL.,Amelia,Elia,"Queen
Elizabeth’s time",Pelham,Boscobel,penetralia,
11,Cristofano,Manon,anon,Ispahan,c.g.,Ivanhoe,Swan,,,
12,Leicestershire,master’ll,Munster Festivals,Westminster,Steel Plates,Zoroaster,scaly sea-monster,nearest kinsman,,
13,’s,St. James’ss,Thames,,,,,,,
14,Wyandotte,Rotterdam,Vignettes,Watts,,,,,,
15,Wakefield,Fields,Yielding,,,,,,,
16,France,Chance,Strand,Fra,,,,,,
17,Barns,Temple-bar,Barabbas,,,,,,,
18,Ve're,laurel,LAUREL,Dauris,Red,Laurel,,,,
19,Paston,Tokay,Woodstock,Rookwood,,,,,,
20,Marked,Marion,Mardol,Mars,Farquhar,,,,,
21,Forest Days,AINSWORTH,Portrait,Beaafort,fort,Oxford,Kenilworth,,,
22,Strike,Packet,Park-street,King-street,,,,,,
23,New Myers,NEW YORK,New Type,Newton,,,,,,
24,Pompeii,Rome,ROME,,,,,,,
25,W.H.,,,,,,,,,
26,DR,Drury,Podrida,,,,,,,
27,"St.
George’s",St. Peter,St.,STATUE,Lyndhurst,,,,,
28,Pictures,Turk,Loftus,,,,,,,
29,"Saint
James's-square",Faint,Spain,"Saint
Gives’s",Saint,Wintry,Mackintoshes,,,
30,Bastille,Cornhill,Charles,Isle of Sky,Up.ch,Achilles,china,,,
31,Blenheim,KRONHEIM,KronuEIM,Byron,,,,,,
32,Richmond,London Stone,Curzon,LONDON,Old London,Abingdon,London,,,
33,Santa Maria,Phantom Ship,ANTIQUARIES,Satan,Santa,,,,,
34,America,River,Serpentine,Perth,Waterloo,Antverp,Chamber,Stepfather,Hermetic,ER
35,Millbank,Billinsgit,Old Bailey,Henry VEIL,IL,,,,,
36,South-,Southwark,South,,,,,,,
37,the Black Dwarf,Calabria,the Chaplain ages,"the Alabama

Il

Case",,,,,,
38,saying’-,Nottingham,Charing,Oak Openings,Tinge,,,,,
39,Paris,Hyde Park,Park,HYDE PARK,Old Pair,,,,,
40,Routledge,Tlosiage,ROUTLEDGE,,,,,,,
41,"Hallywoed Es
Hall",Italy,Whitefriars,Whitehall,,,,,,
42,Haliburton,Canterbury,Finsbury,Plot,Midlothian,Lothbury,,,,
