cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,ROME,Pompeii,Rome,,,,,,,,,
1,nearest kinsman,Westminster,Munster Festivals,Zoroaster,W.H.,Steel Plates,master’ll,scaly sea-monster,Leicestershire,Stepfather,King-street,Vignettes
2,Venice,Regent,25th Regiment,Red,,,,,,,,
3,DR,Podrida,Drury,,,,,,,,,
4,South,c.g.,South-,Thou,Southwark,"you,—‘Ll",thou,Author,,,,
5,Rougemont,ROUTLEDGE,Tlosiage,Routledge,,,,,,,,
6,Charles,Charing,Tinge,Up.ch,Farquhar,Nottingham,china,,,,,
7,flagon,scagliola,Flapdragon,,,,,,,,,
8,Phantom Ship,Santa,ANTIQUARIES,Santa Maria,Antverp,Satan,,,,,,
9,Mosses,Mississippi,Masses,,,,,,,,,
10,’s,,,,,,,,,,,
11,anon,Cristofano,Manon,ROSICRUCIAN,Swan,Ivanhoe,,,,,,
12,Mardol,Mars,Marion,,,,,,,,,
13,Thames,Amelia,penetralia,Pelham,"Queen
Elizabeth’s time",Elia,,,,,,
14,Byron,KRONHEIM,Henry VEIL,KronuEIM,Blenheim,,,,,,,
15,LAUREL,Dauris,Laurel,L. EL.,laurel,Pictures,Boscobel,Ve're,,,,
16,Faint,Spain,Inn,"Saint
James's-square",Mackintoshes,Saint,Serpentine,Wintry,"Saint
Gives’s",Ninus,saying’-,
17,Old Bailey,Bastille,Isle of Sky,Achilles,Temple-bar,Millbank,Cornhill,Billinsgit,IL,Barabbas,,
18,Sins-,Kensington,Tokay,Abingdon,Monsieur Violet,Washington,Oak Openings,,,,,
19,Italy,Whitefriars,Whitehall,"Hallywoed Es
Hall",,,,,,,,
20,Kenilworth,Forest Days,AINSWORTH,Portrait,fort,Oxford,Beaafort,,,,,
21,Se,Sea Lions,Eastcheap,Dunleath,Sea,sepulchre,Peak,The Inland Sea,Beatitudes,,,
22,HYDE PARK,Hyde Park,Barns,Turk,Park,Park-street,Marked,Ispahan,Packet,Paris,,
23,the Chaplain ages,Calabria,"the Alabama

Il

Case",the Black Dwarf,,,,,,,,
24,Rookwood,Waterloo,Loftus,Watts,,,,,,,,
25,Wyandotte,Scotland,Highlands,Highland,England,Lamplight,Inn-lane,,,,,
26,Perth,Hermetic,River,America,ER,Chamber,Rotterdam,,,,,
27,NEW YORK,New Type,New Myers,,,,,,,,,
28,Fra,Strand,Bohemian Libraries,France,Chance,,,,,,,
29,Belvoir,Vol,Bivouac,vol,Godolphin,Old Pair,,,,,,
30,Woodstock,St. James’ss,"St.
George’s",STATUE,Strike,Lyndhurst,St. Peter,St.,,,,
31,Wakefield,Yielding,Fields,,,,,,,,,
32,Richmond,Beaumont,Haliburton,LONDON,Paston,Grafton,Newton,Old London,London,Curzon,London Stone,
33,Plot,Midlothian,Finsbury,Colours,Canterbury,Lothbury,,,,,,
