cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,Laisse,Laisse-,laissantvide,Palais-Royal,Laissait,s6,Anglais,Encaisser,Vaisselle,rs,,,,,,,,,
1,entre-.-,Inntre,Notre-Dame du Gros-Ventre,Rentrons,.sa,,,,,,,,,,,,,,
2,Ro-,accoutumee,"I

L.0",.::EE,coup.-,Coutelier,Inhabit,Ajaccio,,,,,,,,,,,
3,Voil,Voie,Vois-tu,il158,,,,,,,,,,,,,,,
4,Napoleonl,Leopold-,Saint-Leonard,de324,,,,,,,,,,,,,,,
5,Rouen,Sou-,Yos,mont Roudet,Laroute,Qrti,,,,,,,,,,,,,
6,"so
III",Iiie,plus?n,Iii:.i,,,,,,,,,,,,,,,
7,murmure:4Ditesdsnc,namur,Dit,d6-,,,,,,,,,,,,,,,
8,Elerecut,LEr,Relev,Jas,colere,,,,,,,,,,,,,,
9,Quittez-le,utte,Comptez,,,,,,,,,,,,,,,,
10,L nant,Ant,dinant,Venant,Visionnant,Visionnant...,,,,,,,,,,,,,
11,Enne,Vienne,Ia,enne,lunit,EtIEnne,"LA
Vienne",,,,,,,,,,,,
12,Lllesentit,"n
Lllesentit",Ressentit,sen,Cargese,Llle,,,,,,,,,,,,,
13,guyane,e,M. de Brisbane,gane,UN,,,,,,,,,,,,,,
14,moselle de la Roche-Aubert,nelle,mis.elle,femeLle,aelle,naelle,javelle.n,Ellecontinuait:-,abh6 Pelle,gie,celle-l.,ELle,Ellen',N,Selles,Elley,Ellerentrait,Ellebuvait,
15,PuIs,O,obeir,puise6,Puison,,,,,,,,,,,,,,
16,SOir,01C1,Bonsoiro,soiree,B,,,,,,,,,,,,,,
17,ral6e,Cigogne,pogne,besogne,U,Kg,Cologne,,,,,,,,,,,,
18,oeil,R,neil.s',,,,,,,,,,,,,,,,
19,Lhiver,-  As,vert-de-gris,D140,delivery,Verneuil,,,,,,,,,,,,,
20,auraitbesoin,Aucunbesoin,lesoitriers,"besoin.n
Llle",t0t,LIL,,,,,,,,,,,,,
21,premiere,Darriere,VOus,Pourriez-,la carriere,Darriere blanche,,,,,,,,,,,,,
22,.l,Lejeune,luNE,"AI
-",hune,C0te,Iis,lejeune,lune,,,,,,,,,,
23,ettout,toutou,.Et,toul,Pis,H1,,,,,,,,,,,,,
24,L'Ocean,geant,oceupees,l'Ocean,,,,,,,,,,,,,,,
25,Niolu,sAcre-Leur,II,Es,baptisa  Massacre,Midi,,,,,,,,,,,,,
26,Tolbiac,Bolbec,E,"abb
Tolbiae",,,,,,,,,,,,,,,
27,Lor,Tait,D202,L,Traitait,Cotait,Battait,,,,,,,,,,,,
28,manche,chezla,meche,Ganache,caleche,etle,Corniche,Sachez,lche,,,,,,,,,,
29,"I
I
ssII","II
I",Iowa,"II
I
N
DIen","II
D",,,,,,,,,,,,,,
30,siege,sie,asie,,,,,,,,,,,,,,,,
31,hein,yIE,IUn,Hc,la Seine,Vues,-  Hein,us,,,,,,,,,,,
32,bIentot,"Ave-ou bientot
ter cst enfant",Bientot,Oriental,Tot,,,,,,,,,,,,,,
33,Bastia,L176,Lh-bas,la-bas,,,,,,,,,,,,,,,
34,nOuirent,l'Empire,lemire,Desire,choire,lemaire-e,,,,,,,,,,,,,
35,"bar-
ribery",se6-,ar-,Barbes,,,,,,,,,,,,,,,
36,Pyrame,e21,aid6,Madame.on,o1,hameau de,Damas,,,,,,,,,,,,
37,Agee,exageree,gagea,In,,,,,,,,,,,,,,,
38,aims,Providence,-,pides,Provence,,,,,,,,,,,,,,
39,maman,Ma-,Flamands,demanda:-,sCa,"eA
I",,,,,,,,,,,,,
40,Ap0tres,Litres,verdatresau,,,,,,,,,,,,,,,,
41,Cen',en',,,,,,,,,,,,,,,,,
42,Amerique,nigeria,Lastique,Piqu',,,,,,,,,,,,,,,
43,Etretat,Eretat,Etat,Eretry,un320,,,,,,,,,,,,,,
44,Jardin,san regard,mre Couillard,,,,,,,,,,,,,,,,
45,"Y
D

M",Angleterre,atterres,ns  terre,.-.E,perret,,,,,,,,,,,,,
46,leuse,meuse,honteuse,Yauseotte,TLI,,,,,,,,,,,,,,
47,"au-
T
L
214
UNE vIE
tour de cette chair",Permette-moi Mdmea,cettelarve,rn1y,Cettepauvre,hotel,,,,,,,,,,,,,
48,Paris,G',Paris 7 A,paris,tris6,,,,,,,,,,,,,,
49,rhin,chine,0hl,Chinois,Chine,,,,,,,,,,,,,,
50,Fecamp,F6camp,phare de Fecamp,ab6 Pivot,,,,,,,,,,,,,,,
51,crmonie,Homonyme,Remonte,mons,,,,,,,,,,,,,,,
52,Havre,au Havre,Asaln,du Havre,le Havre,rue du Havre,,,,,,,,,,,,,
53,bosquet,"R.:I


E
i.
t.A
I",sa`casquette,que',Quelquefois,,,,,,,,,,,,,,
54,Val,.88,val,IL,val d'Ota,val d'0ta,,,,,,,,,,,,,
55,Omme,Lhomme,sbbe?s,,,,,,,,,,,,,,,,
56,Allons,troit vallon,lons,Is,Bouillon,mellon,allongeaitjusqu,,,,,,,,,,,,
57,"E
E'
A",detail,taillis,etais,Pail,Vitrail,,,,,,,,,,,,,
58,lavie,viE.,aK,la-Vierge,VIE,,,,,,,,,,,,,,
59,Yport,E1,h Yport,Ykport,O2,apporte-les-moi,Port,ca,Apportez,Lepretreportele,,,,,,,,,
60,Ilet,au-,Ile,mobile,S,,,,,,,,,,,,,,
61,hargne,gne,resignee,champagne,,,,,,,,,,,,,,,
62,jura,Touraine,Ilaurait,,,,,,,,,,,,,,,,
63,auxeglises,V1LE,lEglise,Lise,Leglise,,,,,,,,,,,,,,
64,SesCiSea,pise,tombo,Bravo,"ferme
oise",E.sembla,Taisez,nousaviserons,miserieorde,,,,,,,,,,
65,Cri-,Songe,HLELY,Lison,Songez,,,,,,,,,,,,,,
66,nale,Maleleines,Romaines,T1I,succS,,,,,,,,,,,,,,
67,donn,nne,mignonne,Mignonne,argonne,renonc6,,,,,,,,,,,,,
68,m-,Italie,Poder-,d'Italie,alIS,Rosalie,,,,,,,,,,,,,
69,Tiens,tiede,tiedes,,,,,,,,,,,,,,,,
