cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0,Lllesentit,sen,"n
Lllesentit",Ressentit,,,,,,,,,,,,,,,,,
1,alle,nale,alluma,AlLergique,E1,Allemagne,Allez,ALLI,,,,,,,,,,,,,
2,gane,Ganaehe,D,guyane,,,,,,,,,,,,,,,,,
3,severe,seve,0hl,Lhiver,verdatresau,rev6s,,,,,,,,,,,,,,,
4,"II
I
N
DIen","I
I
ssII","II
I","I
N
A
R","Y
D

M",,,,,,,,,,,,,,,,
5,Es,Barbes,quipes,oceupees,Litres,Cargese,Chicorees,Mornes,Vues,bou6es,Athenes,qupes,,,,,,,,,
6,lemire,lemaire-e,l'Empire,,,,,,,,,,,,,,,,,,
7,Agee,gagea,H,echangee,exageree,,,,,,,,,,,,,,,,
8,toutou,coup.-,jou,VOus,toul,choua,ettout,,,,,,,,,,,,,,
9,Mediterranee,5Z,Dit,M6diterraneel,"Me-
literrannee",,,,,,,,,,,,,,,,
10,Verneuil,rn1y,e,auteuil,succS,Cequilui,,,,,,,,,,,,,,,
11,chezla,cherie,cher,Corniche,caleche,lche,ch6e,manche,meche,cherbourg,Aa here,,,,,,,,,,
12,auraitbesoin,Aucunbesoin,Ilaurait,L,c0,,,,,,,,,,,,,,,,
13,le-I,LEr,ner,colere,Lepere,Elerecut,Poder-,,,,,,,,,,,,,,
14,il158,L176,.150,,,,,,,,,,,,,,,,,,
15,tiede,tiedes,Tiens,,,,,,,,,,,,,,,,,,
16,Leattendait,Attend,,,,,,,,,,,,,,,,,,,
17,gne,hargne,pogne,champagne,Cigogne,resignee,Cologne,besogne,,,,,,,,,,,,,
18,Qrti,Lexpertise des Vaud,Pertuis des Vaud,E5s,"fosse des
billard",,,,,,,,,,,,,,,,
19,ine,Romaines,la Seine,Ine,Y,chine,Maleleines,ostinee,Chine,tine,,,,,,,,,,,
20,indians,Indiff,difformes,,,,,,,,,,,,,,,,,,
21,L'Ocean,l'Ocean,,,,,,,,,,,,,,,,,,,
22,Visionnant...,Visionnant,,,,,,,,,,,,,,,,,,,
23,Normand,Normandie,Normande,demanda:-,1H0tel de Normandie,,,,,,,,,,,,,,,,
24,"rer du petit
d u",I petite Corse,Ila  Petite,mre Couillard,"nereeonnis
i petite re",bete crispee,,,,,,,,,,,,,,,
25,enne,Enne,I,"LA
Vienne",Vienne,nne,EtIEnne,,,,,,,,,,,,,,
26,Coutelier,Ladultere,tE,hotel,hate,revolteo,C0te,Cettepauvre,Interpr,teat,cettelarve,Quittez-le,Tete,Yauseotte,Comptez,Cite,tete,tete  labri,A,utte,Laroute
27,lEglise,auxeglises,Lise,Leglise,gs,,,,,,,,,,,,,,,,
28,plusqu',A1,plus?n,Piqu',embusqu,,,,,,,,,,,,,,,,
29,Darriere blanche,arras,Darriere,la carriere,Pourriez-,sarroi,,,,,,,,,,,,,,,
30,UNIE,un320,UN,IUn,,,,,,,,,,,,,,,,,
31,rue du Sauvage,golfe de Sagone,s6,"rue
saUvage",,,,,,,,,,,,,,,,,
32,Provence,D140,Providence,,,,,,,,,,,,,,,,,,
33,Instants,dinant,Santo,Venant,tanzanie,Ant,L nant,trebuchant,geant,Ioisant,,,,,,,,,,,
34,au Havre,du Havre,le Havre,Havre,rue du Havre,,,,,,,,,,,,,,,,
35,Corse,la Corse,l-bas en Corse,perse,La Corse,Corse d'Evisa,Qestla Corse,A 1,,,,,,,,,,,,,
36,sie,gie,bois du siege,asie,siege,,,,,,,,,,,,,,,,
37,Hc,Napoleonl,Leopold-,nl,Saint-Leonard,,,,,,,,,,,,,,,,
38,HLELY,abh6 Pelle,Ellen',ELle,moselle de la Roche-Aubert,celle-l.,Cemment Elle,Ellerentrait,nelle,el,javelle.n,Elley,mis.elle,Ellecontinuait:-,femeLle,aelle,Ellebuvait,Selles,naelle,Relev,
39,one Jeanne,jEanne,-  Jeanne,jeanie,Jeannemurmura,Or Jeanne,,,,,,,,,,,,,,,
40,pays de Ceux,"pays de
L
Cu","I
a3
2
L
Wit",Pays,G55,"L
Cu",,,,,,,,,,,,,,,
41,Brise-,M. de Brisbane,deBriseville,Rriseville,Brisseville,,,,,,,,,,,,,,,,
42,Iis,Iiie,II,MIis,Iii:.i,"II
D","so
III","ai

ii",,,,,,,,,,,,,
43,.::EE,EE,Beelzebuth,convulsee,reel,accoutumee,Drnee,abimee,,,,,,,,,,,,,
44,ts,Ilfaut,Hauts,el haut,Lautre,,,,,,,,,,,,,,,,
45,vecu,yecu,g85,,,,,,,,,,,,,,,,,,
46,Religion,Io,Ajaccio,"io
 Eg",Iowa,Niolu,,,,,,,,,,,,,,,
47,consolait:-,Homonyme,mont Roudet,paon,o1,mons,nousaviserons,Remonte,Lapons,ns',crmonie,considera,,,,,,,,,
