cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,severe,seve,Verneuil,U,Ladultere,Lhiver,revolteo,vecu,verdatresau,seveiller,rev6s,,,,,,,,
1,"II
I
N
DIen","I
I
ssII","II
I","II
D","I
N
A
R",G55,"Y
D

M",,,,,,,,,,,,
2,Es,Barbes,quipes,Litres,Chicorees,hesita,Mornes,Vues,difformes,bou6es,Ap0tres,Tes,qupes,,,,,,
3,lemire,lemaire-e,l'Empire,extreme,,,,,,,,,,,,,,,
4,Agee,gagea,echangee,exageree,E,,,,,,,,,,,,,,
5,toutou,coup.-,jou,VOus,e,toul,choua,ettout,Laroute,rto  IT1,,,,,,,,,
6,Mediterranee,M6diterraneel,"Me-
literrannee",Kg,,,,,,,,,,,,,,,
7,enne,0hl,Enne,"LA
Vienne",Vienne,nne,Athenes,EtIEnne,nenetre,,,,,,,,,,
8,cherie,cher,Corniche,caleche,lche,ch6e,meche,cherbourg,Aa here,hesiter,,,,,,,,,
9,LEr,colere,Lepere,eternuer.-,Elerecut,ricaner:-  Parler,Poder-,,,,,,,,,,,,
10,lons,B,Lorsquon,Bouillon,paon,mons,Allons,nousaviserons,Lapons,ns',troit vallon,Lopez,Donc,A,considera,,,,
11,Roi-Louis,L,ROi-Louis,blouie,"loi,-la",,,,,,,,,,,,,,
12,il158,L176,.150,,,,,,,,,,,,,,,,
13,tiede,tiedes,Tiens,,,,,,,,,,,,,,,,
14,Leattendait,Appartenait,Attend,Quittez-le,,,,,,,,,,,,,,,
15,gne,hargne,pogne,champagne,Cigogne,resignee,mignonne,Allemagne,Cologne,besogne,Mignonne,,,,,,,,
16,Lexpertise des Vaud,Pertuis des Vaud,moselle de la Roche-Aubert,,,,,,,,,,,,,,,,
17,L'Ocean,l'Ocean,,,,,,,,,,,,,,,,,
18,chateau,hate,teat,chteau,teaudun,.88,hameau de,au chteau,,,,,,,,,,,
19,plusqu',plus?n,Piqu',embusqu,,,,,,,,,,,,,,,
20,Darriere blanche,arras,Darriere,la carriere,Pourriez-,".,-","bar-
ribery",,,,,,,,,,,,
21,UNIE,un320,UN,IUn,E1,,,,,,,,,,,,,,
22,rue du Sauvage,golfe de Sagone,"rue
saUvage",,,,,,,,,,,,,,,,
23,Provence,Rouen,Providence,,,,,,,,,,,,,,,,
24,D202,D94,A208,,,,,,,,,,,,,,,,
25,Instants,dinant,Santo,Venant,Visionnant...,tanzanie,Ant,L nant,trebuchant,Visionnant,IQans,geant,Ioisant,,,,,,
26,au Havre,du Havre,le Havre,Havre,gs,rue du Havre,,,,,,,,,,,,,
27,C0te,G,c0,,,,,,,,,,,,,,,,
28,Corse,I petite Corse,la Corse,l-bas en Corse,La Corse,Corse d'Evisa,Qestla Corse,A 1,E.sembla,,,,,,,,,,
29,rn1y,sie,NE YIE,gie,piece,D,yIE,bois du siege,Voie,asie,crmonie,siege,,,,,,,
30,Napoleonl,Leopold-,roninlanoligue,nl,Saint-Leonard,,,,,,,,,,,,,,
31,HLELY,abh6 Pelle,Ellen',ELle,celle-l.,nelle,el,javelle.n,Elley,mis.elle,Ellecontinuait:-,mellon,femeLle,aelle,Vaisselle,Ellebuvait,Selles,naelle,Relev
32,gane,one Jeanne,jEanne,-  Jeanne,jeanie,guyane,Jeannemurmura,Or Jeanne,,,,,,,,,,,
33,pays de Ceux,"pays de
L
Cu",Pays,"L
Cu",,,,,,,,,,,,,,,
34,ar-,S,Trois-Mares,parois,artois,Parfois,Paris 7 A,enlaceesparfois,paris,sarroi,Paris,,,,,,,,
35,Iis,Iiie,II,MIis,Iii:.i,"so
III","ai

ii",,,,,,,,,,,,
36,.::EE,oceupees,EE,H1,Beelzebuth,convulsee,reel,D140,accoutumee,Drnee,abimee,,,,,,,,
37,ts,Ilfaut,Hauts,auteuil,el haut,Lautre,,,,,,,,,,,,,
38,suva,Y,va',succS,,,,,,,,,,,,,,,
39,ine,Romaines,ner,la Seine,Ine,A1,chine,ostinee,Chine,tine,,,,,,,,,
40,Io,Ajaccio,"io
 Eg",Iowa,Niolu,,,,,,,,,,,,,,
41,abbaye Picot,ab6 Pivot,Picot,,,,,,,,,,,,,,,,
42,Chambre-aux-Demoiselles,abregea,cambree,sambre,E5s,,,,,,,,,,,,,,
43,auraitbesoin,Dit,rai-LNE VE,Traitait,Ellerentrait,Ilaurait,Vitrail,Cotait,Tait,Battait,,,,,,,,,
44,F6camp,Cargese,Ca,Cana,sCa,Fecamp,ca,Cany,,,,,,,,,,,
45,tle ui,Le soleil,le soleil,soleil,t le soleil,sOleil,,,,,,,,,,,,,
46,Damas,Madame.on,maman,etluidemana,manche,Ma-,Flamands,Maie,,,,,,,,,,,
47,o1,"5:,:.G",.G,,,,,,,,,,,,,,,,
48,mont Roudet,Poulet,Voulez,paule,etle,pOulet,,,,,,,,,,,,,
49,Homonyme,Immense,Omme,Comment es-tu,lanmme,Lhomme,,,,,,,,,,,,,
50,5Z,Rentrons,Notre-Dame du Gros-Ventre,entre-.-,Inntre,.-.E,,,,,,,,,,,,,
51,d'0Ota,val d'0ta,val d'Ota,becota,mota,,,,,,,,,,,,,,
52,E-,emea,Me-,Pyrame,Permette-moi Mdmea,calme-toi,,,,,,,,,,,,,
53,Jardin,Interpr,Int,In,O2,Soudain,Inhabit,rhin,sapins,rosinquil,ins,tina,,,,,,,
54,marmiton,MI,Mie,Midi,,,,,,,,,,,,,,,
55,Normand,Normandie,Normande,demanda:-,1H0tel de Normandie,,,,,,,,,,,,,,
56,Ilbalbutia,balbutiont,,,,,,,,,,,,,,,,,
57,le-I,daille,Ilet,Versailles,IL,Ile,Pail,mobile,Voil,,,,,,,,,,
58,relat,peut-etre7,nix sime etre,"L
atre",Etat,Eretat,Etretat,Eretry,Mettre,etreindre,.Et,,,,,,,,
59,H,lejeune,Lejeune,,,,,,,,,,,,,,,,
60,lalande6,Lh-bas,as304,"lalande
 Artois",la-bas,Lastique,nola,Las,Elas,Jas,,,,,,,,,
61,.l,.L.,"I

L.0",,,,,,,,,,,,,,,,
62,alluma,Mals,Ls,Malgre,,,,,,,,,,,,,,,
63,Mars,Marseille,Mle marseille,perle  Marseille,,,,,,,,,,,,,,,
64,Ju-,au-,jura,Sou-,,,,,,,,,,,,,,,
65,apres,Grece,premiere,presbytere,Comprendre,Aprs,Apres,Lepretreportele,Pre,dore,imprevue,l6preuve,,,,,,,
66,aid6,ai eu froid,d6-,,,,,,,,,,,,,,,,
67,chezla,Lac,Sachez,laceouchee,aC',laches,Ganache,,,,,,,,,,,,
68,Peuple,honteuse,g85,Yauseotte,leuse,us,meuse,,,,,,,,,,,,
69,Tot,bIentot,Bientot,"Ave-ou bientot
ter cst enfant",,,,,,,,,,,,,,,
70,h Yport,Qrti,apporte-les-moi,Yport,Ykport,Port,Lor,Apportez,,,,,,,,,,,
71,"t

.E.
2

t",lavie,VIE,denTE viE.,viE.,la-Vierge,e.,,,,,,,,,,,,
72,P,de324,Adelaide,bade,deelara,pides,,,,,,,,,,,,,
73,-  Pas,-  As,-  Pardi,,,,,,,,,,,,,,,,
74,Lison,Songe,allongeaitjusqu,Songez,,,,,,,,,,,,,,,
75,baptisa  Massacre,Ganaehe,Savez,.sa,san regard,san,savanceer,Sa336,,,,,,,,,,,
76,lEglise,auxeglises,Lise,Leglise,,,,,,,,,,,,,,,
77,G',V1E,01C1,v1E,,,,,,,,,,,,,,,
78,Rebonds,Londres,londRes,-  Querepondras-tu,renonc6,,,,,,,,,,,,,,
79,nale,Val,Asaln,Palais-Royal,AL,val,ral6e,alIS,ALLI,calm6,,,,,,,,,
80,lunit,hune,luNE,lune,Pas de lune,,,,,,,,,,,,,,
81,Bourse,toujours:-  Ilfaut,rs,Coursil,tOurs,Touraine,commetoujours,,,,,,,,,,,,
82,laissantvide,consolait:-,Anglais,saisit126,Encaisser,"AI
-",nes-tu satisfaite7,aims,Laisse,LMIais,Maisy,Laissait,implora;mais,Laisse-,,,,,
83,Godarville,Fourville,Varneville,Barville,Batteville,Goderville,Courville,,,,,,,,,,,,
84,angeles,Rales,ayssnsimpaesiblesIa,Naples,mariez-les,LEs,desole,lesoitriers,Leestendres,lescopes,Les,Maleleines,arles,accables,,,,,
85,"I
a3
2
L
Wit","1I
t
L'",T1I,,,,,,,,,,,,,,,,
86,Pertes,Gilherte,Bolbec,comtesse Gilberte,Gilberte,,,,,,,,,,,,,,
87,vert-de-gris,Cri-,tris6,s6,,,,,,,,,,,,,,,
88,M. de Brisbane,menuisier de Godarville,phare de Fecamp,mre Couillard,"au-
T
L
214
UNE vIE
tour de cette chair","fosse des
billard",gare de Beuzeville,terre de Barville,,,,,,,,,,,
