cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,Est,Majesté,,,,,
1,I,Sire,Bohémiens,jura,,,
2,Crois-tu,Sais-tu ce,As-tu parlé,Voyez,,,
3,Ursulines de Laon,Ursulines,palais de la reine,vis-à vis de vous,Navarre,Bouvines,couvent des Ursulines
4,Picarde,Carrousel,Gardez,jardin des Hespérides,Carmélites,Picardie,
5,Mesdemoiselles,mademoiselle de Roucy,chambre de mademoiselle de Roucy,mademoiselle de la Vallière,M. de Roucy,Mademoiselle de Roucy,mademoiselle
6,Rémond,abbaye de Prémontré,forêt de Prémontré,Desmonté,houx,,
7,Surveillée,Villers-Cotterets,Albret,Versailles,,,
8,Plût,miens,Grâces,Eh,,,
9,Henriette,MM,Hongrie,Delette,,,
10,Rochefort,supporterai,Voilà,Hautefort,Cherche,,
11,Comment,Parfaitement,Vraiment,,,,
12,Coucy,sire de Coucy,Roucy,,,,
13,auberge de Saint-Gabriel,Saint-Quentin,Faut,rue Saint-Honoré,Aixin,Saint-Jean-d'Acre,
14,galantin,Flandre,Croix-Blanche,Clany,Normandie,,
15,M. de Bussy,Bussy,Bussy-Lameth,Bussy d'Amboise,,,
16,Louison Beaupré,Louison,Oui,Louis-le-Gros,Louis-le-Grand,,
17,Pas,château de Fayel,château d'Anizy,château de Versailles,Fayel,,
18,Quincy,Cercle,,,,,
19,Sissone,Soissons,Roucy de Sissone,,,,
20,Tours,tour,Tout-à-coup,Bourgogne,Maures,,
21,Quatre,Lauzun,perlé,,,,
22,Acceptez,Persistez,Comptez,Ajoutez,Écoutez,Peur,Partez
23,Maintenant,Terre-Sainte,Interrogez,Cédez,,,
24,Mortagne,Allemagne,Avez,Champagne,Espagne,,
25,"Sis— 
Sis— de là j'intenterai",Tonnay-Charente,Tarente,,,,
26,Cœur-de-Roy,Lassée,Cossé,hauts-de-chausses,rez-de-chaussée,,
27,soleil,Ramasse,Laon,Abbesse,,,
28,Chapelain,Bouchavannes,auberge de Chavignon,Chavignon,,,
29,Craignez,Grignan,Pignerol,,,,
30,Pons,M,Attendons,Attends,,,
31,AIMÉE,sais,aimais,laquais,,,
32,Lavallière,Haïval,Vallière,Derrière,Cerbères,La Vallière,
33,Dangeau,Fontainebleau,Beaupré,,,,
34,cela.—,Prononce,Pinon,Providence,,,
35,tonnelle,J',Corcy,Moyenbrie,Gabrielle,Thurin,Quelle
36,Lanissecourt,Hennecourt,Courcy,Heudicourt,Cour,,
37,Lameth,Mets,Savez,,,,
38,Ansizy-le-Châtel,Deschamps,sur-le-champ,,,,
39,Rentrée,Estrées,Estrée,,,,
40,Venise,Rhin,Devinez,A,Venez,,
41,La Mothe,Mothe,Mothe-Houdancourt,Pauvre,,,
42,Cour de France,France,Écu de France,la France,,,
43,Anizy,Paris,parc d'Anizy,,,,
44,bibliothèque.-,Inconséquence,Fiesque,,,,
45,Noyon,,,,,,
