cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,"Sis— 
Sis— de là j'intenterai",Maintenant,supporterai,Interrogez,,,,
1.0,Surveillée,soleil,,,,,,
2.0,Ursulines de Laon,Ursulines,palais de la reine,vis-à vis de vous,Laon,couvent des Ursulines,,
3.0,Rémond,abbaye de Prémontré,forêt de Prémontré,Desmonté,,,,
4.0,Villers-Cotterets,Albret,Mets,Versailles,,,,
5.0,Tours,tour,,,,,,
6.0,Henriette,Delette,,,,,,
7.0,Carrousel,Navarre,Carmélites,,,,,
8.0,Chapelain,cela.—,Fontainebleau,,,,,
9.0,Louison Beaupré,Louison,Dangeau,Beaupré,,,,
10.0,galantin,Flandre,Clany,Normandie,,,,
11.0,Acceptez,Persistez,Comptez,Partez,,,,
12.0,Bohémiens,miens,,,,,,
13.0,Ansizy-le-Châtel,château de Fayel,château de Versailles,Fayel,,,,
14.0,Sais-tu ce,As-tu parlé,perlé,Paris,,,,
15.0,tonnelle,Tonnay-Charente,Tarente,,,,,
16.0,Sissone,Soissons,Roucy de Sissone,,,,,
17.0,Crois-tu,Croix-Blanche,Cherche,,,,,
18.0,Mortagne,Deschamps,Allemagne,Champagne,Espagne,sur-le-champ,,
19.0,Lanissecourt,Hennecourt,Courcy,Corcy,Heudicourt,Cour,,
20.0,Lameth,M. de Bussy,Bussy,Bussy-Lameth,Bussy d'Amboise,,,
21.0,Cœur-de-Roy,Lassée,Cossé,hauts-de-chausses,rez-de-chaussée,,,
22.0,Ajoutez,Tout-à-coup,Écoutez,,,,,
23.0,Sire,Coucy,sire de Coucy,,,,,
24.0,auberge de Saint-Gabriel,auberge de Chavignon,Chavignon,,,,,
25.0,Saint-Quentin,rue Saint-Honoré,Terre-Sainte,Saint-Jean-d'Acre,,,,
26.0,Craignez,Grignan,Bourgogne,Pignerol,,,,
27.0,Pons,Attendons,Attends,,,,,
28.0,Lavallière,Haïval,Vallière,Derrière,La Vallière,,,
29.0,Hongrie,Moyenbrie,Gabrielle,Voyez,,,,
30.0,Prononce,Pinon,Providence,,,,,
31.0,Oui,Louis-le-Gros,Louis-le-Grand,,,,,
32.0,Comment,AIMÉE,Parfaitement,Vraiment,,,,
33.0,Faut,Rochefort,Hautefort,,,,,
34.0,Bouchavannes,Devinez,Bouvines,,,,,
35.0,Quincy,Inconséquence,,,,,,
36.0,Cercle,Cerbères,Maures,,,,,
37.0,Ramasse,Abbesse,,,,,,
38.0,Avez,Savez,,,,,,
39.0,sais,Quatre,aimais,laquais,,,,
40.0,Rentrée,Estrées,Estrée,,,,,
41.0,Mesdemoiselles,mademoiselle de Roucy,chambre de mademoiselle de Roucy,mademoiselle de la Vallière,M. de Roucy,Mademoiselle de Roucy,Roucy,mademoiselle
42.0,Venise,Venez,,,,,,
43.0,Gardez,Cédez,,,,,,
44.0,La Mothe,Mothe,Mothe-Houdancourt,,,,,
45.0,Cour de France,France,Écu de France,la France,,,,
46.0,château d'Anizy,Anizy,parc d'Anizy,,,,,
47.0,Est,Majesté,,,,,,
48.0,bibliothèque.-,houx,Quelle,Fiesque,,,,
49.0,Picarde,jardin des Hespérides,Picardie,,,,,
