cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,Ursulines de Laon,Ursulines,palais de la reine,jardin des Hespérides,Laon,couvent des Ursulines,,,,,,,
1,Picarde,Carrousel,Gardez,Carmélites,Picardie,,,,,,,,
2,Mesdemoiselles,mademoiselle de Roucy,vis-à vis de vous,chambre de mademoiselle de Roucy,mademoiselle de la Vallière,M. de Roucy,Mademoiselle de Roucy,mademoiselle,,,,,
3,Rémond,abbaye de Prémontré,forêt de Prémontré,Desmonté,,,,,,,,,
4,Saint-Quentin,Quincy,Chapelain,Maintenant,galantin,rue Saint-Honoré,Rhin,Terre-Sainte,Saint-Jean-d'Acre,Interrogez,Fontainebleau,,
5,Plût,Eh,,,,,,,,,,,
6,Pas,Ramasse,Paris,Pauvre,,,,,,,,,
7,Lameth,Lauzun,Bussy-Lameth,Mets,,,,,,,,,
8,Henriette,Hongrie,Delette,Moyenbrie,,,,,,,,,
9,MM,Comment,Parfaitement,Vraiment,,,,,,,,,
10,Coucy,sire de Coucy,Corcy,Roucy,,,,,,,,,
11,Louison Beaupré,Louison,Beaupré,,,,,,,,,,
12,Bohémiens,miens,,,,,,,,,,,
13,Craignez,Grignan,Pignerol,A,,,,,,,,,
14,Crois-tu,Sais-tu ce,As-tu parlé,sais,,,,,,,,,
15,Flandre,Clany,Normandie,,,,,,,,,,
16,M. de Bussy,Bussy,Bussy d'Amboise,,,,,,,,,,
17,Ansizy-le-Châtel,château de Fayel,château d'Anizy,Dangeau,Anizy,parc d'Anizy,,,,,,,
18,I,Sire,Sissone,Soissons,Roucy de Sissone,,,,,,,,
19,Venise,Avez,Voyez,Savez,Venez,Cédez,,,,,,,
20,Mortagne,Deschamps,Allemagne,Champagne,Espagne,sur-le-champ,,,,,,,
21,M,,,,,,,,,,,,
22,"Sis— 
Sis— de là j'intenterai",Rentrée,Tonnay-Charente,Navarre,Tarente,,,,,,,,
23,Cœur-de-Roy,Lassée,Cossé,hauts-de-chausses,rez-de-chaussée,,,,,,,,
24,Acceptez,Persistez,Comptez,Ajoutez,Écoutez,Partez,,,,,,,
25,auberge de Saint-Gabriel,auberge de Chavignon,Chavignon,,,,,,,,,,
26,Cour de France,France,Écu de France,la France,,,,,,,,,
27,Pons,Attendons,Attends,,,,,,,,,,
28,AIMÉE,J',Aixin,aimais,laquais,,,,,,,,
29,Lavallière,Haïval,Vallière,Albret,Derrière,Cerbères,La Vallière,,,,,,
30,Prononce,Pinon,Inconséquence,Providence,Noyon,,,,,,,,
31,Oui,Louis-le-Gros,Louis-le-Grand,,,,,,,,,,
32,Faut,Rochefort,supporterai,Hautefort,,,,,,,,,
33,Bouchavannes,Devinez,Bouvines,,,,,,,,,,
34,Est,Grâces,Abbesse,Maures,Estrées,Majesté,Estrée,,,,,,
35,Surveillée,Villers-Cotterets,soleil,château de Versailles,Voilà,Versailles,,,,,,,
36,tonnelle,Fayel,Quatre,cela.—,Gabrielle,Quelle,Fiesque,,,,,,
37,Cercle,Croix-Blanche,perlé,Cherche,,,,,,,,,
38,bibliothèque.-,La Mothe,Mothe,Mothe-Houdancourt,,,,,,,,,
39,Lanissecourt,Tours,jura,tour,Hennecourt,houx,Courcy,Tout-à-coup,Bourgogne,Peur,Heudicourt,Thurin,Cour
