cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35
-1,Navarre,sire de Coucy,I,vis-à vis de vous,Carmélites,Derrière,Pas,Albret,Faut,Normandie,Pauvre,Laon,Grâces,M,Gabrielle,Sire,Dangeau,Bouchavannes,Voilà,supporterai,Cercle,"Sis— 
Sis— de là j'intenterai",Carrousel,Bourgogne,Plût,houx,A,Eh,Rentrée,Fontainebleau,Mets,Desmonté,Cœur-de-Roy,Haïval,mademoiselle de la Vallière,J'
0,miens,Bohémiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Surveillée,soleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hongrie,Grignan,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Avez,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Louison Beaupré,Beaupré,Oui,Louison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Louis-le-Grand,Louis-le-Gros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ramasse,Abbesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abbaye de Prémontré,forêt de Prémontré,Rémond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,hauts-de-chausses,rez-de-chaussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cossé,Lassée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Persistez,perlé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Delette,Henriette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chapelain,Lauzun,cela.—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Peur,jura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pignerol,Craignez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tonnay-Charente,Tarente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,château de Fayel,château de Versailles,Villers-Cotterets,château d'Anizy,Fayel,parc d'Anizy,Versailles,Anizy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mortagne,Deschamps,Espagne,Allemagne,Champagne,Ansizy-le-Châtel,sur-le-champ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Estrées,Estrée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Est,Majesté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Acceptez,Comptez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Paris,Partez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Quincy,Inconséquence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Attendons,Attends,Pons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Parfaitement,Comment,Vraiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,sais,laquais,As-tu parlé,Quatre,Sais-tu ce,Crois-tu,AIMÉE,aimais,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Hautefort,Cherche,Croix-Blanche,Rochefort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thurin,Aixin,Rhin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Pinon,Prononce,Providence,Noyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Voyez,Moyenbrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Clany,Flandre,galantin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Gardez,Cédez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Picarde,Picardie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,auberge de Saint-Gabriel,Chavignon,auberge de Chavignon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,tonnelle,Quelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,bibliothèque.-,Fiesque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Saint-Jean-d'Acre,Saint-Quentin,rue Saint-Honoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Terre-Sainte,Maintenant,Interrogez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,palais de la reine,Ursulines de Laon,Ursulines,jardin des Hespérides,couvent des Ursulines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Devinez,Bouvines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Venez,Venise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Écoutez,Tout-à-coup,Ajoutez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Cerbères,Maures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Lameth,M. de Bussy,Bussy-Lameth,Bussy,Bussy d'Amboise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Roucy de Sissone,Sissone,Soissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,tour,Tours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Cour de France,Écu de France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,France,la France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Courcy,Hennecourt,Cour,Lanissecourt,Heudicourt,Mothe-Houdancourt,Corcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,La Mothe,Mothe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,M. de Roucy,Coucy,Roucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Lavallière,Vallière,La Vallière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,chambre de mademoiselle de Roucy,mademoiselle de Roucy,Mademoiselle de Roucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
