cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,Devinez,Cédez,Craignez,Bouvines,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,
2,Ursulines de Laon,Ursulines,Laon,palais de la reine,couvent des Ursulines,,,,,,,,,,,,
3,Roucy de Sissone,mademoiselle de Roucy,sire de Coucy,chambre de mademoiselle de Roucy,M. de Roucy,mademoiselle,Carrousel,Mesdemoiselles,Mademoiselle de Roucy,mademoiselle de la Vallière,Roucy,vis-à vis de vous,,,,,
4,Cherche,La Mothe,Mothe,bibliothèque.-,,,,,,,,,,,,,
5,Cercle,Versailles,soleil,Villers-Cotterets,Voilà,château de Versailles,Surveillée,,,,,,,,,,
6,Lameth,Bussy-Lameth,Mets,Lauzun,,,,,,,,,,,,,
7,Picarde,Picardie,Gardez,Carmélites,,,,,,,,,,,,,
8,Pons,Prononce,Inconséquence,Providence,Noyon,Pinon,Hongrie,,,,,,,,,,
9,A,sais,aimais,Chapelain,AIMÉE,Aixin,laquais,,,,,,,,,,
10,Hautefort,Faut,supporterai,Rochefort,,,,,,,,,,,,,
11,Grignan,auberge de Saint-Gabriel,auberge de Chavignon,Chavignon,J',,,,,,,,,,,,
12,M,,,,,,,,,,,,,,,,
13,cela.—,Flandre,Clany,Croix-Blanche,la France,France,Cour de France,Écu de France,,,,,,,,,
14,Rémond,Desmonté,abbaye de Prémontré,Plût,forêt de Prémontré,Beaupré,,,,,,,,,,,
15,Grâces,Maures,Estrée,Majesté,Est,Abbesse,Estrées,jardin des Hespérides,,,,,,,,,
16,Cœur-de-Roy,Lassée,rez-de-chaussée,Pauvre,hauts-de-chausses,,,,,,,,,,,,
17,Lavallière,La Vallière,Albret,Cerbères,Derrière,Vallière,Haïval,,,,,,,,,,
18,Fontainebleau,rue Saint-Honoré,Quincy,Rhin,Saint-Jean-d'Acre,galantin,Interrogez,Maintenant,Saint-Quentin,,,,,,,,
19,Navarre,Terre-Sainte,Sire,Tonnay-Charente,Parfaitement,Rentrée,"Sis— 
Sis— de là j'intenterai",Tarente,Partez,,,,,,,,
20,Savez,Venise,Avez,Voyez,Venez,,,,,,,,,,,,
21,Hennecourt,Lanissecourt,Thurin,Mothe-Houdancourt,tour,houx,Bourgogne,Cossé,jura,Coucy,Peur,Tout-à-coup,Cour,Tours,Courcy,Heudicourt,Corcy
22,Ramasse,M. de Bussy,Bussy d'Amboise,Bussy,,,,,,,,,,,,,
23,Persistez,Comptez,Écoutez,Acceptez,Ajoutez,,,,,,,,,,,,
24,Eh,,,,,,,,,,,,,,,,
25,Ansizy-le-Châtel,Dangeau,Anizy,château de Fayel,château d'Anizy,parc d'Anizy,,,,,,,,,,,
26,Soissons,Louis-le-Gros,Louison Beaupré,Sissone,Louis-le-Grand,Oui,Louison,,,,,,,,,,
27,Gabrielle,Quatre,Fiesque,tonnelle,Fayel,Delette,Quelle,,,,,,,,,,
28,Vraiment,Comment,MM,,,,,,,,,,,,,,
29,Henriette,Attends,Attendons,,,,,,,,,,,,,,
30,Normandie,Bohémiens,Moyenbrie,miens,,,,,,,,,,,,,
31,Allemagne,Espagne,Deschamps,sur-le-champ,Pignerol,Mortagne,Bouchavannes,Champagne,,,,,,,,,
32,Pas,Paris,Crois-tu,perlé,Sais-tu ce,As-tu parlé,,,,,,,,,,,
