cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126
-1,N0QUELLE,savoie,Lucile,htel,Hollande,perse,N0ivILLE ESPERANCE,sillonnaient282,frileux,lunes bleues,nobiliaire.6,A8,de Saxe,NOYELLE ESEnRANCB,N,ILA NOELLIE,etincelnt elLA N0UVELLE,S,Obstine,chteau,Celle-l,z.,treizieme annee,soire,loranger,wo  boi.28,auSsi,- Nais,N0UYEILILE,I0RIELLE,Cest,Saint-Cloud,forceLA N0OUBLI ESPERANCE 79,ESPERANCB 87,",- Nou",UN,ANCI,Is,Dominique,extreme,Somone,lune,N0UVELLE ESPiRANCE 87,Singulierement,Noel,reseda,C'6tait,Versailles,port6,A55,Lhiver,Cordoue,A chemine,N0tUELLE,attrist6e,-  Maintenant,paules des cannes,Lausanne,Son,N0IUYELLB,I,Mossoul,E,"NOUVELLE TENdANCE
- Moi",oi,"chambre
deshabituee",N0UVELLE EsPERANCE,Sincere,"rue Jean-
Bart",reprenez-la,amiti6,reponse,Etonnante,A07,colere,A6,mediocre,ESPEnANCB,y-,troublejusqu',"N0UVELLE EsPRANCE
Son existence reprenait","pas,,.elle",Allemagne,Corinthe,T3,N0VEILL E8RANCE,Grenade,N0UYELLE,Anzin,1-,A1,Latin,telegruphie,"LLL

L

I


LI",Nancy,boules-de-neige,Messine,J',tourmentait170,Bengale,allegee,H,clair6,volupt,paule,A,N0,retrouveront,Compte d'une Societe,"rue madame
Fortier",franche,",,",Voyez,num0ns,oisivet,Paques,vis-a-vis d'elle,J6-,N0UVELLE ESPfR ANCE,a7,Wurtemberg,"E
S",gardon,N0ELLE EsPERANCE,N0UVELLlL ESPERANCB,N0UVBLLB,Bourgogne
0,Ia2,t4  LA,la252,i-.LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,uniLAT,"II

LILA",Il1,VILA,ILA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,oeiL,soleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Il0me,Je0me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jr0me,R0me,J6r0me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ier0me,h Ier0me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,bruni,reuni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,N0UYELLE ESPERANCE,N0UYELLE ESPERANCE 11,N0UYELLE ESPERANCB,N0UYELLE EsPRANCE 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,N0NOUVELLE ESPERANCE,LA N0NOUVELLE ESPERANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
