cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,FOntenay,bonte,-  Maintenant,sillonnaient282,mademoiselle de Fontenay,fontenay,"ESPRANG
Madame de Fontenay",Etonnante,tenay,Grenade,Fontenay,,,,,,,,,,,,,,,,
1,wagon,lagonie,Wagon,A55,A07,,,,,,,,,,,,,,,,,,,,,,
2,Quelque,Dominique,Quelquefois,z.,Paques,Cordoue,,,,,,,,,,,,,,,,,,,,,
3,endure,Florence,Flore,Sincere,Grece,,,,,,,,,,,,,,,,,,,,,,
4,G-.--,.--.310,L---,,,,,,,,,,,,,,,,,,,,,,,,
5,avaitvecu,G:;avan,vecu,,,,,,,,,,,,,,,,,,,,,,,,
6,ILA,i-.LA,la252,VILA,"II

LILA",uniLAT,Il1,t4  LA,Latin,ILA NOELLIE,,,,,,,,,,,,,,,,,
7,posees,verveine acidul,perse,Serves,Lhiver,e1SeS,I,,,,,,,,,,,,,,,,,,,,
8,A9,A92,,,,,,,,,,,,,,,,,,,,,,,,,
9,Nancy,manche,Marsan,la manche,ANCI,lche,,,,,,,,,,,,,,,,,,,,,
10,Laisse,Suisse,Assise,auSsi,S,massif de myosotis,A,Passe,,,,,,,,,,,,,,,,,,,
11,mer d'Aow,Aow,mer d'Henri,,,,,,,,,,,,,,,,,,,,,,,,
12,Vienne,Asie Mineure  Rien,treizieme annee,Fabien,Tabieh Mauri,Eugene Marsan,rue de l'Ancienne-Pomedie,Asie Mineure,,,,,,,,,,,,,,,,,,,
13,Ferney,Dauphine,inegal,Seine,"la
Seine bleue",la Seine,Messine,A chemine,Eiyse,chine,seit,Obstine,,,,,,,,,,,,,,,
14,precis,apre,reprenez-la,Apre,regal,,,,,,,,,,,,,,,,,,,,,,
15,cela',H,elan,Lausanne,Anzin,Hollande,Anglais,ceLA,,,,,,,,,,,,,,,,,,,
16,pAris,Partez,Bovary,attrist6e,Parme,Paris,sondepart,ar-,"cri,-",A Paris,,,,,,,,,,,,,,,,,
17,Curieuse,v0US,creuse,mediocre,Manuscrits,Nb6us,religieuses.7,reponse,,,,,,,,,,,,,,,,,,,
18,N0ELLE EsPERANCE,N0tUTELLE EsSPEnRANCE,forceLA N0OUBLI ESPERANCE 79,"N0UVELLE EsPRANCE
Son existence reprenait",N0ivILLE ESPERANCE,N0UYELLE ESPERANCB,N0VEILL E8RANCE,N0UVELLE ESPiRANCE 87,N0UVELLE EsPERANCE,N0NOUVELLE ESPERANCE,N0UVELLE ESPfR ANCE,N0UVELLlL ESPERANCB,LA NOUvELLE ESPERANCE 2871,N0UYELLE EsPRANCE 57,N0UYELLE ESPERANCE,LA NoUVELLE ESPERANCIE,I0RIELLE ESPfEnRANCE,LA N0NOUVELLE ESPERANCE,lA NOUVELLE ESPERANCE 8B5,NOYELLE ESEnRANCB,N0UYELLE ESPERANCE 11,,,,,,
19,du Louvre,Louvre,Saint-Cloud,,,,,,,,,,,,,,,,,,,,,,,,
20,rome,Jerome,Rome,Rozel,Tyrol,Tombe,,,,,,,,,,,,,,,,,,,,,
21,"II
H
I","II
I","II
I
LA",A6,II,,,,,,,,,,,,,,,,,,,,,,
22,Rouen,barcarolle,garou,troublejusqu',gardon,,,,,,,,,,,,,,,,,,,,,,
23,l'Espagne,EsPAGNE,Espagne,Allemagne,gne,,,,,,,,,,,,,,,,,,,,,,
24,Bois de Boulogne,Pologne,wo  boi.28,boules-de-neige,Bourgogne,bois de hoyer,,,,,,,,,,,,,,,,,,,,,
25,Mossoul,Somone,Son,E,du morne,crmonie,,,,,,,,,,,,,,,,,,,,,
26,ERRANCE,de France,france,loranger,grace,franche,iran,souffrait',La France,,,,,,,,,,,,,,,,,,
27,- Montez,extreme,retrouveront,Amont,Remonter,Singulierement,Moindre,,,,,,,,,,,,,,,,,,,,
28,clair6,maine,etais,C'6tait,aimais,- Nais,Jamais,attirAit,Joubliais,,,,,,,,,,,,,,,,,,
29,N0VELLE FRANCE,NOUVELLE E8FRANCE,"NOUVELLE TENdANCE
- Moi",College de France,NOUVELLE FRANCE,NOUVELLE FRANCE O1,1-,,,,,,,,,,,,,,,,,,,,
30,feuillage du Luxembourg,Wurtemberg,Luxembourg,Boheme,,,,,,,,,,,,,,,,,,,,,,,
31,Geneve,Agrigente,Gens,num0ns,,,,,,,,,,,,,,,,,,,,,,,
32,frileux,cherie,colere,Pierre,Mont-Valerie,v6nerable,lErie,,,,,,,,,,,,,,,,,,,,
33,lesarbres,Versailles,Bengale,Les20,Naples,Alsace,Sales,",,",,,,,,,,,,,,,,,,,,,
34,Pour-,tourmentait170,Touraine,tournon,Tournon,",- Nou",Courbe,,,,,,,,,,,,,,,,,,,,
35,"rue Jean-
Bart",amiti6,"rue madame
Fortier","E
S",Ia2,port6,,,,,,,,,,,,,,,,,,,,,
36,Voyez,nobiliaire.6,J',a7,N0UYEILILE,oeiL,Lucile,soleil,,,,,,,,,,,,,,,,,,,
37,paules des cannes,Indes,jardin des Vosges,Vosges,,,,,,,,,,,,,,,,,,,,,,,
38,J6r0me,Ier0me,h Ier0me,R0me,Jr0me,Je0me,Il0me,,,,,,,,,,,,,,,,,,,,
39,Sois,N,savoie,piece,soire,Subie,Soie,,,,,,,,,,,,,,,,,,,,
