cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,Vosges,jardin des Vosges,posees,Voyez,,,,,,,,,,,,,,,,,,,
1,Assise,auSsi,massif de myosotis,Passe,,,,,,,,,,,,,,,,,,,
2,manche,ANCI,Manuscrits,la manche,lche,,,,,,,,,,,,,,,,,,
3,ar-,pAris,Bovary,Parme,attrist6e,A Paris,Paris,,,,,,,,,,,,,,,,
4,gauchement,extreme,Singulierement,A chemine,Comment,Corinthe,sentimentale,Boheme,,,,,,,,,,,,,,,
5,La France,france,ESPIiRANCE,ERRANCE,Sincere,de France,N0VEILL E8RANCE,Nancy,College de France,iran,franche,,,,,,,,,,,,
6,tenay,FOntenay,mademoiselle de Fontenay,fontenay,-  Maintenant,Fontenay,Etonnante,"ESPRANG
Madame de Fontenay",bonte,,,,,,,,,,,,,,
7,Geneve,Agrigente,Gens,num0ns,,,,,,,,,,,,,,,,,,,
8,Amont,z.,Somone,amiti6,crmonie,- Montez,Remonter,,,,,,,,,,,,,,,,
9,N,A55,,,,,,,,,,,,,,,,,,,,,
10,Marsan,Eugene Marsan,,,,,,,,,,,,,,,,,,,,,
11,Louvre,du Louvre,Saint-Cloud,du morne,T3,,,,,,,,,,,,,,,,,,
12,Marseillaise,Suisse,Laisse,Anglais,clair6,",,",,,,,,,,,,,,,,,,,
13,Michelet,poele,meles,Noel,poele troit,telegruphie,,,,,,,,,,,,,,,,,
14,gne,l'Espagne,EsPAGNE,Espagne,Allemagne,,,,,,,,,,,,,,,,,,
15,perse,Serves,verveine acidul,Lhiver,e1SeS,a7,,,,,,,,,,,,,,,,,
16,Grece,grace,Grenade,A1,piece,,,,,,,,,,,,,,,,,,
17,Clichy,ecoliers,lItalie,Anatolie,Berlin,d'Italie,LI,Italie,,,,,,,,,,,,,,,
18,Egypte,Gypte,1-,volupt,,,,,,,,,,,,,,,,,,,
19,apre,precis,reprenez-la,Apre,,,,,,,,,,,,,,,,,,,
20,Lucile,frileux,oeiL,N0UYEILILE,soleil,,,,,,,,,,,,,,,,,,
21,cherie,v6nerable,lErie,Pierre,colere,A6,Mont-Valerie,"cri,-",,,,,,,,,,,,,,,
22,UN,lune,bruni,reuni,,,,,,,,,,,,,,,,,,,
23,Hollande,deput,sondepart,Partez,Son,I,J',,,,,,,,,,,,,,,,
24,.--.310,G-.--,L---,,,,,,,,,,,,,,,,,,,,
25,colombes,Tombe,,,,,,,,,,,,,,,,,,,,,
