cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0.0,Laisse,Suisse,clair6,Marseillaise,Anglais,,,,,,,,,,,
1.0,Pour-,Touraine,tournon,Tournon,Courbe,,,,,,,,,,,
2.0,Quelque,Dominique,Quelquefois,Paques,,,,,,,,,,,,
3.0,paule,paules des cannes,,,,,,,,,,,,,,
4.0,cela',elan,ceLA,,,,,,,,,,,,,
5.0,Ferney,du morne,,,,,,,,,,,,,,
6.0,Dauphine,chine,telegruphie,,,,,,,,,,,,,
7.0,verveine acidul,Serves,Lhiver,,,,,,,,,,,,,
8.0,avaitvecu,G:;avan,vecu,,,,,,,,,,,,,
9.0,Nancy,ESPEnANCB,ANCI,,,,,,,,,,,,,
10.0,manche,franche,la manche,,,,,,,,,,,,,
11.0,bruni,uniLAT,reuni,,,,,,,,,,,,,
12.0,Assise,auSsi,massif de myosotis,Passe,,,,,,,,,,,,
13.0,barcarolle,garou,Tyrol,,,,,,,,,,,,,
14.0,Asie Mineure  Rien,Asie Mineure,,,,,,,,,,,,,,
15.0,Marsan,Eugene Marsan,,,,,,,,,,,,,,
16.0,Seine,"la
Seine bleue",la Seine,seit,,,,,,,,,,,,
17.0,rome,Jerome,Rome,,,,,,,,,,,,,
18.0,Vienne,comdienne,rue de l'Ancienne-Pomedie,,,,,,,,,,,,,
19.0,l'Espagne,EsPAGNE,Espagne,Allemagne,gne,,,,,,,,,,,
20.0,precis,apre,Apre,,,,,,,,,,,,,
21.0,pAris,attrist6e,Parme,Paris,A Paris,,,,,,,,,,,
22.0,piece,Pierre,Grece,,,,,,,,,,,,,
23.0,reprenez-la,Grenade,reponse,,,,,,,,,,,,,
24.0,N0tUTELLE EsSPEnRANCE,forceLA N0OUBLI ESPERANCE 79,"N0UVELLE EsPRANCE
Son existence reprenait",N0ivILLE ESPERANCE,N0UVELLE ESPiRANCE 87,N0UVELLE EsPERANCE,N0NOUVELLE ESPERANCE,N0UVELLE ESPfR ANCE,N0UVELLlL ESPERANCB,LA NOUvELLE ESPERANCE 2871,N0UVBLLB,LA NoUVELLE ESPERANCIE,I0RIELLE ESPfEnRANCE,LA N0NOUVELLE ESPERANCE,lA NOUVELLE ESPERANCE 8B5,
25.0,G-.--,.--.310,,,,,,,,,,,,,,
26.0,du Louvre,Louvre,Saint-Cloud,,,,,,,,,,,,,
27.0,etais,C'6tait,Etat,,,,,,,,,,,,,
28.0,wagon,lagonie,Wagon,,,,,,,,,,,,,
29.0,"II
H
I","II
I","II
I
LA",,,,,,,,,,,,,
30.0,N0VELLE FRANCE,N0VELLE,N0VELL,NO0VELLE,LA NO0VELLE,,,,,,,,,,,
31.0,l'Oise,htel,Teloise,oisivet,Oise,,,,,,,,,,,
32.0,extreme,treizieme annee,Lausanne,,,,,,,,,,,,,
33.0,Fabien,Tabieh Mauri,Subie,,,,,,,,,,,,,
34.0,- Montez,Amont,Somone,Remonter,crmonie,,,,,,,,,,,
35.0,Quittez,aequies-,,,,,,,,,,,,,,
36.0,inegal,Bengale,regal,,,,,,,,,,,,,
37.0,ERRANCE,N0VEILL E8RANCE,College de France,de France,france,Sincere,ESPEnRANCE,La France,,,,,,,,
38.0,aimais,- Nais,Jamais,,,,,,,,,,,,,
39.0,Wurtemberg,Berlin,,,,,,,,,,,,,,
40.0,v6nerable,accabl6e,,,,,,,,,,,,,,
41.0,meles,Les20,Naples,Sales,boules-de-neige,,,,,,,,,,,
42.0,tourmentait170,mediocre,A chemine,gauchement,Singulierement,sentimentale,Boheme,Comment,,,,,,,,
43.0,feuillage du Luxembourg,Luxembourg,Bourgogne,,,,,,,,,,,,,
44.0,Geneve,Agrigente,Gens,,,,,,,,,,,,,
45.0,Florence,loranger,Flore,Aow,,,,,,,,,,,,
46.0,cherie,Mont-Valerie,lErie,,,,,,,,,,,,,
47.0,ILA,"II

LILA","LLL

L

I


LI",,,,,,,,,,,,,
48.0,Clichy,Michelet,lche,,,,,,,,,,,,,
49.0,endure,Bordures,chateau des Bordures,,,,,,,,,,,,,
50.0,Alsace,grace,,,,,,,,,,,,,,
51.0,Curieuse,creuse,e1SeS,religieuses.7,,,,,,,,,,,,
52.0,"chambre
deshabituee",Hollande,Indes,Moindre,,,,,,,,,,,,
53.0,"rue Jean-
Bart","rue madame
Fortier",port6,,,,,,,,,,,,,
54.0,deUrope,Leurs-,,,,,,,,,,,,,,
55.0,Partez,Son,deput,sondepart,,,,,,,,,,,,
56.0,jardin des Vosges,Vosges,,,,,,,,,,,,,,
57.0,Versailles,NoUvILLB,VILA,Seville,,,,,,,,,,,,
58.0,N0UYELLE,N0ELLE EsPERANCE,N0UYELLE ESPERANCB,ESPERANCB 87,N0UYELLE EsPRANCE 57,N0UYELLE ESPERANCE,N0IUYELLB,NOYELLE ESEnRANCB,N0UYELLE ESPERANCE 11,,,,,,,
59.0,FOntenay,bonte,mademoiselle de Fontenay,fontenay,"ESPRANG
Madame de Fontenay",tenay,Fontenay,,,,,,,,,
60.0,J6r0me,Ier0me,h Ier0me,R0me,Jr0me,Je0me,Il0me,,,,,,,,,
61.0,Noel,poele troit,poele,,,,,,,,,,,,,
62.0,Sois,savoie,soire,Soie,,,,,,,,,,,,
63.0,-  Maintenant,Terme,sillonnaient282,Etonnante,,,,,,,,,,,,
64.0,BSPfnRANC,N0JUILLET ESPfEnRANCE,ESPfiRANCL,iran,ESPIiRANCE,,,,,,,,,,,
65.0,fresnes,Gravures,Suresnes,,,,,,,,,,,,,
66.0,Pologne,colombes,Tombe,,,,,,,,,,,,,
67.0,frileux,N0UYEILILE,"E
S",Lucile,,,,,,,,,,,,
68.0,Italie,d'Italie,lItalie,,,,,,,,,,,,,
69.0,- D6cide,decidee,,,,,,,,,,,,,,
70.0,Anatolie,perse,ecoliers,,,,,,,,,,,,,
71.0,Egypte,Gypte,,,,,,,,,,,,,,
72.0,Compte d'une Societe,tete college,bete,tetu,tete,,,,,,,,,,,
73.0,Rouen,Cordoue,Corinthe,gardon,,,,,,,,,,,,
74.0,cIT',Mossoul,attirAit,souffrait',,,,,,,,,,,,
75.0,lesarbres,reseda,resume,,,,,,,,,,,,,
76.0,colere,oeiL,soleil,,,,,,,,,,,,,
77.0,Manuscrits,"cri,-",,,,,,,,,,,,,,
78.0,Voyez,Bois,Bois de Boulogne,wo  boi.28,de Saxe,bois de hoyer,,,,,,,,,,
79.0,N0QUELLE,N0ELLE,Celle-l,Nulle,N0eLLE,velle,allegee,tulle,N0tUELLE,"N0ELLE E9PRANCB
Elle",Relle,I0RIELLE,vis-a-vis d'elle,"pas,,.elle",ELle,ILA NOELLIE
80.0,lunes bleues,lune,,,,,,,,,,,,,,
81.0,maine,Messine,Latin,Obstine,,,,,,,,,,,,
82.0,chteau,beaut,cruaut,,,,,,,,,,,,,
83.0,mer d'Aow,A Henri,mer d'Henri,,,,,,,,,,,,,
84.0,nobiliaire.6,troublejusqu',N0PUBLIE,Joubliais,,,,,,,,,,,,
85.0,LA N0NOUVEL,etincelnt elLA N0UVELLE,NOUVELLE E8FRANCE,retrouveront,"NOUVELLE TENdANCE
- Moi",NOUVELLE FRANCE,N0NoUVELLE,NOUVELLE FRANCE O1,",- Nou",M0UVELLE,"T
L
LA N0NOUVELLE",N0UVELLE,I.A NOUvELLE,NoUVELLE,,
