cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Azow,Flore,,,,,,,,
1,Luxembourg,Bourgogne,feuillage du Luxembourg,Vosges,Wurtemberg,,,,,
2,Appelle,mademoiselle,mademoiselle de Fontenay,dentelle,Cellelà,,,,,
3,Sabine,Seine,Égypte,la Seine,Messine,Asie Mineure,,,,
4,nacre,Chantez,Voyez,Michelet,Clichy,Étonnante enfance,Retombant,Quittez,,
5,Quelque,"VI 
Quelques jours",Quelquefois,Jacques,Jean-Jacques,,,,,
6,du Louvre,Louvre,Sèvres,Saint-Cloud,,,,,,
7,abreuva de clarté,château de l'Oise,de Saxe,Tyrol,massif de myosotis,Bois de Boulogne,,,,
8,Assise,abêti,Passy,Dauphiné,lune,,,,,
9,Parme,Paris,Partez,J'ai Pierre,,,,,,
10,Tournon,Courbée,Touraine,Hollande,,,,,,
11,Alsace,État,Vienne,Lausanne,Corinthe,Fabien Mauri,,,,
12,Pas,Curieuse,Grèce,Muette,,,,,,
13,Naples,boules-de-neige,Mossoul,,,,,,,
14,Anatolie,Nancy,manche,Mélancolie,colombes,,,,,
15,Est,Trocadéro,,,,,,,,
16,rue de Tournon,Rouen,rue de,Berlin,rue de l'Ancienne-Comédie,,,,,
17,Laisse,Marseillaise,Anglais,vert-de-gris,jais,aimais,,,,
18,Italie,l'Italie,d'Italie,houx,Italien,,,,,
19,Pologne,Espagne jaune,l'Espagne,Allemagne,Ève,alluma,,,,
20,Ferney,Marsan,Docteur,Elseneur,Leurs,,,,,
21,Gravures,Indes,perse,Penché,bruni,jardin des Vosges,château des Bruyères,Suresnes,Bruyères,mer d'Azow
22,Régent,sentimentale,Genève,Rentrée,Agrigente,,,,,
23,wagon,Gênes,Rome,N',,,,,,
24,Bibliothèque Nationale,Bengale,Cordoue,VI,Obstinée,,,,,
25,Latin,,,,,,,,,
26,Sois,l'Oise,Autrefois,Oise,Bois,Anzin,,,,
27,Isolée,le soleil,soleil,,,,,,,
28,Florence,Menacée,Grenade,,,,,,,
29,Bohême,Rozée,Tolède,Août,,,,,,
30,Mont-Valérien,Remontée,Montez,Pomone,Fontenay,,,,,
31,la France,Collège de France,de France,,,,,,,
32,barcarolle,Allez,Versailles,Séville,tulle,,,,,
33,Suisse,Pierre,J',,,,,,,
