cluster,elem_0,elem_1,elem_2,elem_3,elem_4
0.0,Remontée,Montez,Pomone,Mont-Valérien,
1.0,Luxembourg,Courbée,Bourgogne,feuillage du Luxembourg,
2.0,Fabien Mauri,Sabine,Curieuse,,
3.0,Pas,Passy,,,
4.0,Menacée,Grenade,nacre,,
5.0,de France,Collège de France,la France,,
6.0,Appelle,Cellelà,Bengale,tulle,dentelle
7.0,Assise,massif de myosotis,abreuva de clarté,de Saxe,
8.0,Louvre,du Louvre,Saint-Cloud,,
9.0,Pierre,J'ai Pierre,,,
10.0,mer d'Azow,Azow,,,
11.0,bruni,château des Bruyères,château de l'Oise,Bruyères,
12.0,manche,Clichy,Michelet,,
13.0,d'Italie,Italien,Italie,l'Italie,
14.0,Jean-Jacques,Jacques,,,
15.0,Marseillaise,Suisse,Laisse,Anglais,
16.0,soleil,le soleil,Isolée,,
17.0,"VI 
Quelques jours",Bibliothèque Nationale,Quelque,Quelquefois,
18.0,Parme,Partez,Paris,,
19.0,Ève,Genève,,,
20.0,Mossoul,boules-de-neige,vert-de-gris,,
21.0,alluma,Allemagne,Allez,,
22.0,Fontenay,mademoiselle de Fontenay,mademoiselle,,
23.0,Retombant,Chantez,Nancy,Étonnante enfance,
24.0,Hollande,Tyrol,barcarolle,,
25.0,Messine,Seine,la Seine,,
26.0,Bois de Boulogne,Pologne,,,
27.0,Asie Mineure,Elseneur,Docteur,Leurs,
28.0,aimais,jais,,,
29.0,rue de,rue de l'Ancienne-Comédie,Touraine,Tournon,rue de Tournon
30.0,Tolède,Anatolie,Mélancolie,,
31.0,Agrigente,Rentrée,Régent,sentimentale,
32.0,Gênes,Sèvres,Gravures,Suresnes,
33.0,Vosges,Indes,jardin des Vosges,,
34.0,Latin,Dauphiné,Obstinée,,
35.0,perse,Naples,Versailles,Séville,
36.0,Berlin,colombes,Wurtemberg,,
37.0,Corinthe,Cordoue,Rouen,,
38.0,Flore,Penché,Florence,,
39.0,l'Espagne,lune,Espagne jaune,,
40.0,Quittez,Muette,,,
41.0,Oise,l'Oise,Autrefois,Sois,Bois
42.0,Marsan,Vienne,Lausanne,,
