cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43
-1,Naples,Pologne,wagon,Sabine,Mont-Valérien,Voyez,Ferney,abreuva de clarté,perse,Penché,État,bruni,Marseillaise,château de l'Oise,Marsan,boules-de-neige,Bohême,de Saxe,Égypte,Est,Bibliothèque Nationale,Courbée,vert-de-gris,Bengale,colombes,Mossoul,Isolée,Bourgogne,sentimentale,Messine,Saint-Cloud,houx,Grenade,Rome,abêti,Lausanne,Pomone,Retombant,lune,VI,N',Bois de Boulogne,alluma,Août
0,Allez,Versailles,Allemagne,Séville,tulle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Appelle,dentelle,Cellelà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Régent,Rentrée,Agrigente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Genève,Ève,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,barcarolle,Tyrol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mademoiselle,mademoiselle de Fontenay,Fontenay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sois,l'Oise,Oise,Bois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,château des Bruyères,Bruyères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Luxembourg,feuillage du Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Quelque,"VI 
Quelques jours",Quelquefois,Autrefois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Assise,massif de myosotis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pas,Passy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Rozée,Trocadéro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Chantez,Remontée,Montez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Nancy,manche,Étonnante enfance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Espagne jaune,l'Espagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
