cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31
-1,Naples,Pologne,wagon,Mont-Valérien,Voyez,Ferney,abreuva de clarté,perse,Penché,État,bruni,Marseillaise,Marsan,boules-de-neige,de Saxe,Bibliothèque Nationale,vert-de-gris,Bengale,colombes,Mossoul,Isolée,Saint-Cloud,houx,Grenade,abêti,Lausanne,Pomone,Retombant,VI,N',alluma,Août
0,Pierre,J'ai Pierre,J',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Azow,mer d'Azow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Alsace,Grèce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Italie,Italien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,l'Italie,d'Italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Berlin,Wurtemberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Égypte,Latin,Dauphiné,Anzin,Obstinée,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rouen,Cordoue,Corinthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Florence,Flore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Curieuse,Fabien Mauri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Indes,jardin des Vosges,Vosges,Hollande,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Elseneur,Asie Mineure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Docteur,Leurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Michelet,Clichy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,le soleil,soleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Parme,Paris,Partez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Anatolie,Mélancolie,Tolède,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,du Louvre,Louvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,nacre,Menacée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Quittez,Muette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sabine,Gravures,Est,Gênes,Suresnes,Sèvres,Messine,,,,,,,,,,,,,,,,,,,,,,,,,
21,Seine,la Seine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Laisse,Suisse,Anglais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,jais,aimais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,rue de Tournon,Tournon,Vienne,rue de,Courbée,Touraine,rue de l'Ancienne-Comédie,,,,,,,,,,,,,,,,,,,,,,,,,
25,la France,Collège de France,de France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jacques,Jean-Jacques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Espagne jaune,l'Espagne,lune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bohême,Rozée,Trocadéro,Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Assise,massif de myosotis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pas,Passy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,barcarolle,Tyrol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Quelque,"VI 
Quelques jours",Quelquefois,Autrefois,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,mademoiselle,mademoiselle de Fontenay,Fontenay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Luxembourg,Bourgogne,feuillage du Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Chantez,Remontée,Montez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Nancy,manche,Étonnante enfance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Régent,sentimentale,Rentrée,Agrigente,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Genève,Ève,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Allez,Versailles,Allemagne,Séville,tulle,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Appelle,dentelle,Cellelà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sois,l'Oise,château de l'Oise,Oise,Bois,Bois de Boulogne,,,,,,,,,,,,,,,,,,,,,,,,,,
42,château des Bruyères,Bruyères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
