cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Laisse,Suisse,Marseillaise,Anglais,jais,aimais,,
1,Anatolie,Mélancolie,Tolède,Retombant,Hollande,,,
2,nacre,Menacée,,,,,,
3,Azow,mer d'Azow,,,,,,
4,Luxembourg,Courbée,Bourgogne,feuillage du Luxembourg,houx,Wurtemberg,,
5,Quelque,"VI 
Quelques jours",Bibliothèque Nationale,Quelquefois,Muette,,,
6,Florence,Flore,Penché,,,,,
7,abreuva de clarté,rue de Tournon,Tournon,rue de,,,,
8,mademoiselle,mademoiselle de Fontenay,massif de myosotis,Grenade,Fontenay,,,
9,Ferney,Espagne jaune,l'Espagne,lune,,,,
10,Parme,Paris,Partez,vert-de-gris,,,,
11,Alsace,Voyez,barcarolle,Allez,Allemagne,Bengale,tulle,alluma
12,Vienne,rue de l'Ancienne-Comédie,Lausanne,VI,Fabien Mauri,,,
13,Sabine,Seine,Berlin,Touraine,la Seine,Messine,Anzin,
14,Indes,jardin des Vosges,Vosges,,,,,
15,État,Clichy,Italie,l'Italie,d'Italie,Italien,,
16,Naples,perse,Marsan,Versailles,Séville,,,
17,bruni,château de l'Oise,château des Bruyères,Bruyères,,,,
18,Égypte,Régent,sentimentale,Rentrée,Agrigente,,,
19,Gravures,Est,Gênes,Suresnes,colombes,Sèvres,,
20,du Louvre,Louvre,Saint-Cloud,Août,,,,
21,Curieuse,Docteur,Elseneur,Leurs,Asie Mineure,,,
22,Genève,Ève,,,,,,
23,Bohême,Rozée,Trocadéro,Tyrol,Rome,,,
24,Appelle,Michelet,Grèce,dentelle,Cellelà,,,
25,Rouen,Cordoue,Corinthe,,,,,
26,wagon,Mont-Valérien,Chantez,Remontée,Montez,Pomone,Quittez,
27,Isolée,le soleil,soleil,,,,,
28,Pierre,J'ai Pierre,J',,,,,
29,Pas,Passy,,,,,,
30,Sois,Assise,l'Oise,Autrefois,Oise,Bois,,
31,Nancy,manche,Étonnante enfance,de Saxe,la France,Collège de France,de France,
32,N',,,,,,,
33,Pologne,boules-de-neige,Mossoul,Bois de Boulogne,,,,
34,Latin,abêti,Dauphiné,Obstinée,,,,
35,Jacques,Jean-Jacques,,,,,,
