cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
-1,Caroline,United Ser-,Fife,the arbour,Tho,L,Courant,"L.60,000",Queensferry,Edinburgh,"St
John’s Lodge",wero,Jacob,Portobello,Monsieur D’Ambereau
0,Beaujolie,beaux,,,,,,,,,,,,,
1,Seabeach,Sea,,,,,,,,,,,,,
2,Hebe,Abbey,Henry,,,,,,,,,,,,
3,Saul,Jaugh,,,,,,,,,,,,,
4,Dublin,DUBLIN,,,,,,,,,,,,,
5,Ernest,mo,MoDERN,,,,,,,,,,,,
6,Agnes,Agnes.,,,,,,,,,,,,,
7,Dunbar,"Agnes
Dunbar",Agnes Dunbar,,,,,,,,,,,,
8,"earth,—by","heart,—and","room,—a",,,,,,,,,,,,
9,Shetland,Scotland,SCOTLAND,,,,,,,,,,,,
10,Ireland,Highland,England,GLASGOW,,,,,,,,,,,
11,Kelso,Melton,Israel,,,,,,,,,,,,
12,Srveran,Geranium,,,,,,,,,,,,,
13,Dovetap,juve-,,,,,,,,,,,,,
14,Oxford,Scorr,,,,,,,,,,,,,
15,Argyloshire,Argyleshire,Yorkshire,,,,,,,,,,,,
16,Charles,Bibles,,,,,,,,,,,,,
17,Clara Novello,Clara,Olara,,,,,,,,,,,,
18,"Clara Gran-
ville",Clara Granville,Granville,"Clara
Granville",Clara Granville’s,,,,,,,,,,
19,Holyrood,Holyrood House,,,,,,,,,,,,,
20,St Cecilia,ceil-,us,Leeds,nile,Australia,,,,,,,,,
21,Providence,Finden,,,,,,,,,,,,,
22,Limerick,rich~,,,,,,,,,,,,,
23,LONDON,Tattersall,London,Doncaster,,,,,,,,,,,
24,quad-,Canada,,,,,,,,,,,,,
25,Rosemount Villa,Rosemount,,,,,,,,,,,,,
26,Kilmarnock,Pinnock,inn,,,,,,,,,,,,
27,Marion,Paris,,,,,,,,,,,,,
28,Agrippina,china,,,,,,,,,,,,,
29,Great Britain,Britain,Spain,,,,,,,,,,,,
30,De Cres-,Louis de Cres-,"Louis De
Crespigny",ny,Louis,,,,,,,,,,
