cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Srveran,juve-,Canada,Courant,Israel,Geranium,,,
1,Great Britain,Britain,Spain,,,,,,
2,De Cres-,Louis de Cres-,"Louis De
Crespigny","St
John’s Lodge",Louis,,,,
3,Seabeach,Sea,Abbey,,,,,,
4,Dovetap,LONDON,Melton,ny,London,Doncaster,,,
5,Clara Novello,"Clara Gran-
ville",Clara,Clara Granville,Granville,"Clara
Granville",Olara,Clara Granville’s,
6,United Ser-,Rosemount Villa,Rosemount,,,,,,
7,Holyrood,Holyrood House,Tho,,,,,,
8,Marion,Paris,,,,,,,
9,Shetland,Ireland,Scotland,Highland,SCOTLAND,England,GLASGOW,Scorr,Jacob
10,"earth,—by",the arbour,"heart,—and","room,—a",,,,,
11,Kilmarnock,Pinnock,Agrippina,inn,,,,,
12,Charles,Argyloshire,L,Argyleshire,Yorkshire,Bibles,,,
13,Limerick,rich~,china,,,,,,
14,quad-,Henry,Queensferry,,,,,,
15,Saul,Hebe,Beaujolie,beaux,Jaugh,Monsieur D’Ambereau,,,
16,Ernest,Tattersall,mo,MoDERN,wero,,,,
17,Providence,Fife,Finden,Edinburgh,,,,,
18,ceil-,Leeds,nile,,,,,,
19,Caroline,Dublin,"L.60,000",DUBLIN,,,,,
20,St Cecilia,us,Australia,,,,,,
21,Kelso,Oxford,Portobello,,,,,,
22,Dunbar,"Agnes
Dunbar",Agnes,Agnes.,Agnes Dunbar,,,,
