cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Srveran,juve-,Canada,Courant,Israel,Geranium,,,
1,St Cecilia,ceil-,Australia,,,,,,
2,Great Britain,Britain,Spain,Dovetap,Agrippina,,,,
3,De Cres-,Louis de Cres-,"Louis De
Crespigny","St
John’s Lodge",Louis,,,,
4,LONDON,Melton,London,Doncaster,,,,,
5,Dunbar,"Agnes
Dunbar",Agnes,Agnes.,Agnes Dunbar,,,,
6,Caroline,Dublin,DUBLIN,,,,,,
7,Clara Novello,"Clara Gran-
ville",Clara,Clara Granville,Granville,"Clara
Granville",Olara,nile,Clara Granville’s
8,United Ser-,Rosemount Villa,Rosemount,,,,,,
9,Holyrood,Holyrood House,Tho,us,,,,,
10,Kilmarnock,Marion,rich~,Paris,,,,,
11,Shetland,Ireland,Scotland,Highland,SCOTLAND,England,GLASGOW,Scorr,Jacob
12,"earth,—by",the arbour,"heart,—and",ny,"room,—a",,,,
13,Charles,Argyloshire,Argyleshire,Leeds,Yorkshire,Bibles,,,
14,Fife,quad-,Henry,Queensferry,,,,,
15,Seabeach,Saul,Hebe,Sea,Beaujolie,Abbey,beaux,Jaugh,Monsieur D’Ambereau
16,Limerick,Providence,Ernest,Tattersall,mo,MoDERN,wero,,
17,Kelso,L,Oxford,Portobello,,,,,
18,Pinnock,"L.60,000",Finden,Edinburgh,inn,china,,,
