cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Great Britain,Britain,Spain,Melton,Rosemount,L,"St
John’s Lodge",,,
1,Limerick,the arbour,rich~,Paris,,,,,,
2,Dovetap,Hebe,Pinnock,,,,,,,
3,Providence,,,,,,,,,
4,Charles,Edinburgh,Bibles,Australia,,,,,,
5,De Cres-,Louis de Cres-,"Louis De
Crespigny",Leeds,Louis,,,,,
6,Dunbar,Ernest,juve-,"Agnes
Dunbar",Agnes,Agnes.,Agnes Dunbar,,,
7,Saul,Tattersall,Kelso,Jacob,Portobello,,,,,
8,Clara Novello,"earth,—by",Clara,quad-,Olara,nile,,,,
9,"Clara Gran-
ville",ceil-,Rosemount Villa,Fife,Clara Granville,Canada,us,Granville,"Clara
Granville",Clara Granville’s
10,Kilmarnock,GLASGOW,wero,,,,,,,
11,Shetland,Ireland,Scotland,"heart,—and",Highland,SCOTLAND,England,Scorr,,
12,United Ser-,Marion,Sea,,,,,,,
13,Seabeach,Beaujolie,beaux,Monsieur D’Ambereau,,,,,,
14,Holyrood,Holyrood House,"L.60,000","room,—a",Finden,,,,,
15,St Cecilia,ny,Abbey,Henry,,,,,,
16,LONDON,London,Doncaster,,,,,,,
17,Agrippina,mo,Oxford,Israel,china,,,,,
18,Queensferry,Jaugh,,,,,,,,
19,Argyloshire,Argyleshire,Yorkshire,,,,,,,
20,Caroline,Dublin,DUBLIN,,,,,,,
21,Srveran,Tho,Courant,MoDERN,inn,Geranium,,,,
