cluster,elem_0,elem_1,elem_2,elem_3,elem_4
0.0,"heart,—and","room,—a","earth,—by",,
1.0,Holyrood,Holyrood House,,,
2.0,Finden,Providence,,,
3.0,England,Highland,GLASGOW,Ireland,
4.0,Limerick,rich~,,,
5.0,Olara,Clara Novello,Portobello,Dovetap,Clara
6.0,Marion,Paris,,,
7.0,inn,Pinnock,Kilmarnock,,
8.0,Doncaster,Tattersall,,,
9.0,Australia,St Cecilia,,,
10.0,DUBLIN,Dublin,,,
11.0,"Clara
Granville",Clara Granville,Clara Granville’s,"Clara Gran-
ville",Granville
12.0,Argyloshire,Argyleshire,Yorkshire,,
13.0,Caroline,Beaujolie,beaux,Monsieur D’Ambereau,
14.0,Louis de Cres-,De Cres-,"Louis De
Crespigny",Louis,
15.0,Bibles,Charles,,,
16.0,Sea,Seabeach,,,
17.0,MoDERN,Ernest,,,
18.0,the arbour,Courant,,,
19.0,Agnes.,Dunbar,Agnes,"Agnes
Dunbar",Agnes Dunbar
20.0,Spain,Britain,Great Britain,,
21.0,Rosemount Villa,Rosemount,,,
22.0,Srveran,Geranium,,,
23.0,Shetland,Scotland,SCOTLAND,Scorr,
24.0,LONDON,London,,,
25.0,Agrippina,china,,,
