cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Las,la,CI,Bouaoir,Was1,REason-,,
1,Ill,ZZ,Glib,Iliad,,,,
2,I1t:5,I1l,,,,,,
3,Golden,Wooden,Woadenton,Greenwood,,,,
4,China,Sin1,Inn,Desire,Boosing,,,
5,Orlenul,Orphan,XIX.-Morning,oR0,,,,
6,Abrantanl,an4d,SANTA,,,,,
7,London,"Gamestes
CUrLY.-TH Eenslon",sont,LONDON,LoNDON,el,Constisulonal anne,Glow Town
8,us,Husband,ODious-,Us,US,,,
9,AlMost,Vsu,ST,Caataleiealn,,,,
10,WI,wi,,,,,,
11,"Corner
CLAY.-Tha",Discory,sc,,,,,
12,paris,Paris,Marian,america,your'Ah1 RighT,,,
13,Need,Mi,III.-Hoped,,,,,
14,Woolcut,Waoodcuton,Woodcuton,Woolcuton,Wooauton,,,
15,R3,Markham,hamlin,Black Chamber,Mlarkham,,,
16,"Conversation
IN.-A City",Manon,Ll Vernon,Vernon,,,,
