cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
-1,sc,Black Chamber,america,Manon,Golden,Discory,ZZ,Woadenton,Vsu,hamlin,"Conversation
IN.-A City",Orlenul,Husband,your'Ah1 RighT,XIX.-Morning,Desire,Mi,CI,R3,Bouaoir,ODious-,el,Constisulonal anne
0,Greenwood,Wooden,,,,,,,,,,,,,,,,,,,,,
1,Waoodcuton,Woodcuton,Wooauton,,,,,,,,,,,,,,,,,,,,
2,Woolcut,Woolcuton,,,,,,,,,,,,,,,,,,,,,
3,sont,REason-,,,,,,,,,,,,,,,,,,,,,
4,Las,Was1,la,,,,,,,,,,,,,,,,,,,,
5,Mlarkham,Markham,,,,,,,,,,,,,,,,,,,,,
6,paris,Paris,Marian,,,,,,,,,,,,,,,,,,,,
7,SANTA,Abrantanl,an4d,,,,,,,,,,,,,,,,,,,,
8,oR0,US,Us,Orphan,us,,,,,,,,,,,,,,,,,,
9,Vernon,Ll Vernon,,,,,,,,,,,,,,,,,,,,,
10,Boosing,Inn,China,Sin1,,,,,,,,,,,,,,,,,,,
11,LONDON,LoNDON,London,,,,,,,,,,,,,,,,,,,,
12,"Corner
CLAY.-Tha","Gamestes
CUrLY.-TH Eenslon",,,,,,,,,,,,,,,,,,,,,
13,Ill,Iliad,Glow Town,Glib,,,,,,,,,,,,,,,,,,,
14,III.-Hoped,Need,,,,,,,,,,,,,,,,,,,,,
15,Caataleiealn,AlMost,ST,,,,,,,,,,,,,,,,,,,,
16,WI,wi,,,,,,,,,,,,,,,,,,,,,
17,I1l,I1t:5,,,,,,,,,,,,,,,,,,,,,
