cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
-1,america,ZZ,Woadenton,Vsu,Wooauton,Desire,Mi,CI,R3,ODious-,el
0,I1l,I1t:5,,,,,,,,,
1,WI,wi,,,,,,,,,
2,Caataleiealn,AlMost,ST,,,,,,,,
3,III.-Hoped,Need,,,,,,,,,
4,your'Ah1 RighT,Bouaoir,,,,,,,,,
5,sont,REason-,,,,,,,,,
6,Ill,Iliad,Glow Town,Glib,,,,,,,
7,Greenwood,Golden,Wooden,,,,,,,,
8,"Corner
CLAY.-Tha","Gamestes
CUrLY.-TH Eenslon",,,,,,,,,
9,Las,Was1,la,,,,,,,,
10,Waoodcuton,Woodcuton,,,,,,,,,
11,Woolcut,Woolcuton,,,,,,,,,
12,Black Chamber,hamlin,,,,,,,,,
13,Mlarkham,Markham,,,,,,,,,
14,Boosing,Inn,XIX.-Morning,China,Sin1,,,,,,
15,"Conversation
IN.-A City",Constisulonal anne,,,,,,,,,
16,LONDON,LoNDON,London,,,,,,,,
17,paris,Paris,Marian,,,,,,,,
18,Vernon,Ll Vernon,,,,,,,,,
19,sc,Discory,,,,,,,,,
20,Manon,Orlenul,,,,,,,,,
21,SANTA,Abrantanl,Husband,an4d,,,,,,,
22,US,Us,us,,,,,,,,
23,oR0,Orphan,,,,,,,,,
