cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,Ill,I1t:5,america,,,,
1,ZZ,I1l,Mi,,,,
2,Las,,,,,,
3,Orlenul,Orphan,Boosing,Discory,,,
4,"Gamestes
CUrLY.-TH Eenslon",Husband,wi,Constisulonal anne,,,
5,Glib,Iliad,XIX.-Morning,Bouaoir,REason-,,
6,Golden,us,Wooden,an4d,Woadenton,SANTA,Greenwood
7,la,Inn,Abrantanl,Us,,,
8,London,LONDON,LoNDON,,,,
9,China,Sin1,US,ST,,,
10,CI,Was1,AlMost,Caataleiealn,your'Ah1 RighT,,
11,Vsu,,,,,,
12,el,III.-Hoped,Glow Town,,,,
13,R3,WI,paris,Paris,Marian,,
14,Woolcut,Waoodcuton,ODious-,Woodcuton,Desire,Woolcuton,Wooauton
15,Markham,oR0,sont,hamlin,Black Chamber,Mlarkham,
16,"Conversation
IN.-A City",Manon,Ll Vernon,Vernon,,,
17,Need,"Corner
CLAY.-Tha",sc,,,,
