cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,IA,Mers.-,vI.,.-l,Yon'll,Gypsy,Santa,,,
1,Te Windmill,laurel,Ill,India,Achilles,,,,,
2,Beaumont,Rouge,Rougemont,I.onto,I6s,Rlougemont,ROUTLEDGE,Hermetic,Havre,lougemont
3,namibia,Regent,Loftus,Antwerp,,,,,,
4,Forum,Oxford,Vol,Beaufort,,,,,,
5,Westminster,West,Zoroaster,VaIl,Leicestershire,Temple-bar,Colours,nearest kinsman,,
6,Io,Finsbury,Drury,Canterbury,lI,Hamburg,,,,
7,"Queen
Elizabeth's",ST,"Queen Bess'a
days",Quebec,,,,,,
8,ault,Beehunter,St. Peter,"St.
George's",Rotterdam,St.,,,,
9,Talbot,Byron,Mt,fla,Italy,DR,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm,,,
10,Bavaria,Syria,Calabria,Whitefriars,isl,,,,,
11,Alabama,Citi1,night1,oman,,,,,,
12,America,St. James's,name1,Belvoir,Thames,Clara,wi,,,
13,River,Scotland,Boscobel,England,verde,,,,,
14,ANTIQUARIES,Riensi,RIENZI,Novels,UK,,,,,
15,Mlildmay,Charing,Charles,Chaucer,Perchanea,Damocles,,,,
16,Cnllot,eloth,Midlothian,CoRBovLD,Lothbury,,,,,
17,ny,Hyde Park,Las,it1,Park,Paradiso,,,,
18,ih sea oua,The Inland Sea,Sea,IL,scaly sea-monster,,,,,
19,Panis,KoBANI,Iiillbank,Albany,Millbank,Elba,,,,
20,Scots Greys,greece,Stepney-green,Reeks,Swan,,,,,
21,Olla Florida,Florida,OE,FoLLowED,Bridge,,,,,
22,London Stone,LONDON,Old London,New Type,Richmond,Toulon,Old Bailey,London,,
23,Holbein,"now,-",FL,,,,,,,
24,Pompeii,Eastcheap,Astor,Vanbrugh,MIdshipmen Easy,"Unleash
OLD",Miastf,M. 8.-,bnt east,
25,Spin,Ingene,Nottingham,Oak Openings,Bkulking,Grinding,Abingdon,,,
26,palo,Watts,,,,,,,,
27,gaborone,nhl,moro,M.A.,,,,,,
28,Hare,Farquhar,hard1I,that7,Tasso,Mrs.- Z,,,,
29,Godolphin,Cuba,china,Chico,R0DIE0GE'3,Fihful,Chiesas,,,
30,Grafton,LYTTON,Haliburton,PA8TON,Pottleton,,,,,
31,Inn-lane,Inn,Curzon,,,,,,,
32,Inn Fields,Wakefield,Bloomfield,Field,Rookwood,,,,,
33,strayed1,penetralia,Strand,,,,,,,
34,M. O.-,Thorneyeroft,Author,Thomas-,,,,,,
35,Aldgate,Cornhl,I.C.,scagliola,,,,,,
36,Marked,ho'd,santa,quito,MaRs,Mars,ROME,,,
37,Dc,Ovingdean Grange,Iran,Granada,France,Perth,Lyndhurst,,,
38,ROSICRUCIAN,Paris,Cristiano,,,,,,,
39,8vo,"L
L
M",il,,,,,,,
40,Portrait,WN Port,Venice,Kenilworth,Rome,,,,,
41,Billington,COLLInS,Washington,Kensington,sC,Wellington,Linker,,,
42,NH,hidden1,Isfahan,las,,,,,,
43,campagna,Woodstock,Canada,Cristofana,,,,,,
44,Ostend,Yon're,Steel Plates,,,,,,,
45,Fairfax,Wy,PAULS,Packet,me1,,,,,
46,ZANNI,Prussia,Mississippi,Circassia,,,,,,
47,not7,SOnDHEIM,Blenheim,anon,KoIIEIM,Whitehall,,,,
48,LA,Pictures,maturity1,Vignettes,Turk,"century,-a",,,,
49,"Saint
James's-square",GaLlERY,Mackintoshes,"Saint
EDITOR TALBOT",WV,Saint,SAint Giles's,anl,sir7,
50,Park-street,King-street,New Fish-street,,,,,,,
51,sich casy,Warsaw,LL,Southwark,dwarf-,W WARNER,Cowardly,,,
52,Age sinai,Satan,Cocxrox,Baros,,,,,,
53,paler--,Orleans,HESSE,hilo,Dryden,Aggas,y. cach,,,
