cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,ROME,Rookwood,Pompeii,Rome,Cocxrox,,,,,,,,,,
1,Venice,Panis,isl,KoBANI,Cristofana,Paradiso,ZANNI,Isfahan,Paris,,,,,,
2,Field,R0DIE0GE'3,CoRBovLD,Wakefield,KoIIEIM,Bloomfield,Inn Fields,Boscobel,,,,,,,
3,Granada,Canada,France,Iran,,,,,,,,,,,
4,LL,FoLLowED,Whitehall,Yon'll,Cnllot,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm,Ill,COLLInS,,,,,,,
5,Santa,santa,Canterbury,Antwerp,ANTIQUARIES,Satan,,,,,,,,,
6,I.C.,vI.,,,,,,,,,,,,,
7,LONDON,I6s,Old London,London,Curzon,Yon're,Toulon,London Stone,Richmond,Byron,SOnDHEIM,gaborone,,,
8,FL,Florida,Wy,Olla Florida,Bridge,,,,,,,,,,
9,Hare,Baros,nearest kinsman,Havre,Charles,hard1I,dwarf-,Farquhar,,,,,,,
10,ST,Zoroaster,bnt east,strayed1,Westminster,Woodstock,"St.
George's",Astor,Ostend,Strand,West,Miastf,Lyndhurst,Dc,St.
11,Italy,quito,it1,night1,Citi1,,,,,,,,,,
12,maturity1,Turk,"century,-a",Pictures,Loftus,,,,,,,,,,
13,Te Windmill,Mlildmay,Old Bailey,il,VaIl,Achilles,Kenilworth,hilo,IL,,,,,,
14,Las,Alabama,Clara,Scotland,LA,laurel,England,wi,Calabria,fla,las,Inn-lane,,,
15,Midlothian,eloth,Lothbury,,,,,,,,,,,,
16,HESSE,MIdshipmen Easy,Sea,scaly sea-monster,The Inland Sea,"Unleash
OLD",ih sea oua,Eastcheap,,,,,,,
17,Circassia,Prussia,sir7,Mississippi,ROSICRUCIAN,sich casy,Tasso,Aggas,,,,,,,
18,Belvoir,Vol,Holbein,Colours,8vo,,,,,,,,,,
19,"L
L
M",Aldgate,Beehunter,Steel Plates,St. Peter,Leicestershire,Vignettes,Temple-bar,,,,,,,
20,.-l,M.A.,M. O.-,M. 8.-,,,,,,,,,,,
21,WN Port,Beaufort,Beaumont,Portrait,Forum,Oxford,Orleans,,,,,,,,
22,Quebec,"Queen Bess'a
days","Queen
Elizabeth's",,,,,,,,,,,,
23,Haliburton,Kensington,Washington,Billington,Wellington,Abingdon,,,,,,,,,
24,PA8TON,Watts,LYTTON,I.onto,Pottleton,Grafton,Mt,,,,,,,,
25,Mrs.- Z,Hermetic,Mers.-,,,,,,,,,,,,
26,Chico,hidden1,Chiesas,Godolphin,china,y. cach,Age sinai,,,,,,,,
27,Regent,ROUTLEDGE,lougemont,Rougemont,Rlougemont,Rouge,moro,,,,,,,,
28,Bavaria,Gypsy,Syria,IA,,,,,,,,,,,
29,GaLlERY,palo,paler--,,,,,,,,,,,,
30,sC,lI,Io,scagliola,,,,,,,,,,,
31,Linker,India,Bkulking,Oak Openings,Ingene,Grinding,Inn,Spin,Ovingdean Grange,Nottingham,Charing,,,,
32,Hamburg,Damocles,St. James's,that7,Thames,,,,,,,,,,
33,anl,Novels,anon,"now,-",Cristiano,oman,Vanbrugh,Swan,not7,,,,,,
34,MaRs,Cowardly,Mars,Warsaw,Whitefriars,Marked,,,,,,,,,
35,NH,Cornhl,Blenheim,nhl,,,,,,,,,,,
36,Cuba,Iiillbank,Talbot,ny,UK,Albany,Millbank,Elba,,,,,,,
37,RIENZI,Riensi,,,,,,,,,,,,,
38,"Saint
James's-square","Saint
EDITOR TALBOT",Mackintoshes,SAint Giles's,WV,Saint,Fairfax,,,,,,,,
39,Perth,penetralia,New Type,Perchanea,Chaucer,W WARNER,,,,,,,,,
40,PAULS,Fihful,ault,,,,,,,,,,,,
41,Scots Greys,greece,Stepney-green,Reeks,,,,,,,,,,,
42,River,verde,Rotterdam,,,,,,,,,,,,
43,namibia,me1,America,name1,campagna,,,,,,,,,,
44,New Fish-street,King-street,Packet,Hyde Park,Park,Park-street,,,,,,,,,
45,Dryden,DR,Finsbury,Drury,OE,,,,,,,,,,
46,Thorneyeroft,Southwark,Thomas-,ho'd,Author,,,,,,,,,,
