cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,LA,laurel,Inn-lane,Alabama,Las,Calabria,fla,las,Clara,
1,Beaumont,Rouge,Rougemont,Regent,I.onto,Rlougemont,ROUTLEDGE,lougemont,,
2,Mers.-,.-l,Mrs.- Z,Hermetic,,,,,,
3,Portrait,WN Port,penetralia,,,,,,,
4,ault,PAULS,Fihful,,,,,,,
5,Billington,COLLInS,Washington,"L
L
M",Kensington,Wellington,Linker,,,
6,Dc,UK,,,,,,,,
7,Forum,Oxford,Beaufort,,,,,,,
8,Beehunter,Westminster,West,Zoroaster,Leicestershire,Steel Plates,scaly sea-monster,nearest kinsman,,
9,Aldgate,palo,paler--,,,,,,,
10,LL,Cnllot,GaLlERY,FoLLowED,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm,Achilles,Whitehall,,,
11,St. Peter,ST,"St.
George's",Ostend,Astor,strayed1,Miastf,St.,Strand,Lyndhurst
12,IA,Bavaria,Syria,Gypsy,,,,,,
13,Ovingdean Grange,Iran,Granada,France,Canada,,,,,
14,America,namibia,campagna,name1,me1,,,,,
15,Wy,Hare,Charles,Farquhar,hard1I,Havre,,,,
16,Scots Greys,Scotland,Boscobel,England,sC,,,,,
17,"Queen
Elizabeth's","Queen Bess'a
days",Quebec,,,,,,,
18,Woodstock,Rookwood,,,,,,,,
19,Thorneyeroft,Author,ho'd,Thomas-,OE,,,,,
20,London Stone,LONDON,Old London,Richmond,Toulon,Curzon,Abingdon,London,,
21,it1,Citi1,quito,night1,Italy,,,,,
22,greece,Stepney-green,Reeks,,,,,,,
23,Marked,Southwark,Hyde Park,Park,Paris,Paradiso,Packet,,,
24,KoBANI,Talbot,ny,Albany,Elba,,,,,
25,I.C.,vI.,Vignettes,,,,,,,
26,not7,Novels,Nottingham,"now,-",,,,,,
27,Riensi,RIENZI,,,,,,,,
28,gaborone,Byron,CoRBovLD,Aggas,moro,,,,,
29,Age sinai,Godolphin,china,Chico,Chiesas,y. cach,,,,
30,Grafton,Watts,LYTTON,Haliburton,PA8TON,Pottleton,,,,
31,Yon'll,Yon're,,,,,,,,
32,SOnDHEIM,Blenheim,KoIIEIM,,,,,,,
33,Mt,,,,,,,,,
34,dwarf-,W WARNER,Cowardly,,,,,,,
35,Orleans,ih sea oua,The Inland Sea,HESSE,Sea,,,,,
36,Olla Florida,FL,Florida,Bridge,,,,,,
37,NH,Cornhl,nhl,,,,,,,
38,Te Windmill,Iiillbank,Millbank,,,,,,,
39,Io,scagliola,lI,,,,,,,
40,Warsaw,Whitefriars,MaRs,Mars,WV,,,,,
41,Charing,Spin,India,Ingene,Inn,Oak Openings,Grinding,,,
42,Inn Fields,Wakefield,R0DIE0GE'3,Bloomfield,Field,,,,,
43,isl,anon,Cristiano,Cristofana,,,,,,
44,8vo,Holbein,Vol,Belvoir,Colours,,,,,
45,hidden1,Dryden,DR,,,,,,,
46,Pompeii,Cocxrox,Rome,ROME,,,,,,
47,River,Venice,Rotterdam,verde,,,,,,
48,New Type,Isfahan,Perth,Chaucer,Perchanea,wi,,,,
49,sich casy,Prussia,Mississippi,Tasso,Circassia,sir7,,,,
50,Loftus,Pictures,maturity1,Turk,"century,-a",,,,,
51,Fairfax,"Saint
James's-square",Mackintoshes,"Saint
EDITOR TALBOT",Saint,SAint Giles's,,,,
52,Park-street,Bkulking,King-street,New Fish-street,,,,,,
53,St. James's,that7,Hamburg,Thames,Damocles,,,,,
54,ANTIQUARIES,Satan,Antwerp,santa,Santa,,,,,
55,Mlildmay,Ill,VaIl,hilo,Old Bailey,il,Kenilworth,IL,,
56,M. O.-,M. 8.-,M.A.,,,,,,,
57,Eastcheap,MIdshipmen Easy,"Unleash
OLD",bnt east,,,,,,
58,ZANNI,Panis,I6s,Vanbrugh,oman,Swan,anl,,,
59,ROSICRUCIAN,Cuba,Temple-bar,Baros,,,,,,
60,Finsbury,eloth,Drury,Midlothian,Canterbury,Lothbury,,,,
