cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0.0,Venice,Oak Openings,Kenilworth,,,,
1.0,Thorneyeroft,Loftus,Author,,,,
2.0,ROME,Las,las,,,,
3.0,Field,Wakefield,Bloomfield,Inn Fields,,,
4.0,New Fish-street,King-street,New Type,Park-street,,,
5.0,Santa,santa,Antwerp,,,,
6.0,India,scagliola,Grinding,,,,
7.0,"Saint
James's-square",Talbot,Italy,"Saint
EDITOR TALBOT",quito,SAint Giles's,Saint
8.0,HESSE,Mackintoshes,Packet,I.onto,,,
9.0,Bavaria,Syria,ANTIQUARIES,Paris,,,
10.0,Old Bailey,VaIl,"Unleash
OLD",,,,
11.0,CoRBovLD,Cornhl,nhl,,,,
12.0,Midlothian,eloth,Yon're,Lothbury,Cnllot,,
13.0,Haliburton,PA8TON,LYTTON,Pottleton,Grafton,,
14.0,Panis,KoBANI,,,,,
15.0,Circassia,Prussia,Mississippi,sich casy,Tasso,,
16.0,Granada,Canada,,,,,
17.0,Aldgate,Steel Plates,Vignettes,Ostend,,,
18.0,LONDON,Old London,London,Toulon,London Stone,Richmond,
19.0,Achilles,Damocles,hilo,y. cach,Ill,,
20.0,M. O.-,M. 8.-,,,,,
21.0,PAULS,ault,,,,,
22.0,Beehunter,Canterbury,Finsbury,,,,
23.0,France,Iran,,,,,
24.0,Scotland,Sea,England,The Inland Sea,ih sea oua,,
25.0,Clara,Paradiso,,,,,
26.0,MIdshipmen Easy,bnt east,Eastcheap,Miastf,,,
27.0,Dryden,hidden1,,,,,
28.0,Regent,maturity1,"century,-a",Drury,,,
29.0,penetralia,strayed1,Strand,,,,
30.0,KoIIEIM,Blenheim,SOnDHEIM,,,,
31.0,Mrs.- Z,Mers.-,,,,,
32.0,ROSICRUCIAN,Baros,Temple-bar,,,,
33.0,Chico,Chiesas,Godolphin,china,Age sinai,,
34.0,ROUTLEDGE,lougemont,Beaumont,Rougemont,Rlougemont,Rouge,
35.0,GaLlERY,palo,paler--,,,,
36.0,Zoroaster,scaly sea-monster,Leicestershire,Westminster,West,,
37.0,Quebec,"Queen Bess'a
days","Queen
Elizabeth's",,,,
38.0,St. James's,that7,Thames,,,,
39.0,Linker,Kensington,Yon'll,Washington,Billington,Wellington,COLLInS
40.0,Rookwood,Woodstock,Astor,,,,
41.0,R0DIE0GE'3,St. Peter,"St.
George's",St.,,,
42.0,MaRs,Mars,,,,,
43.0,Alabama,Calabria,Bridge,,,,
44.0,Florida,FoLLowED,Olla Florida,,,,
45.0,RIENZI,Riensi,,,,,
46.0,Whitehall,Whitefriars,,,,,
47.0,Perth,Perchanea,Chaucer,Isfahan,,,
48.0,WN Port,Portrait,,,,,
49.0,Beaufort,Forum,Oxford,,,,
50.0,Hyde Park,Park,Marked,,,,
51.0,greece,Stepney-green,Reeks,,,,
52.0,Colours,Lyndhurst,,,,,
53.0,Cristofana,Rome,anon,Cristiano,,,
54.0,River,verde,Rotterdam,,,,
55.0,Turk,laurel,Pictures,,,,
56.0,Te Windmill,Iiillbank,Albany,Millbank,Elba,,
57.0,namibia,me1,America,name1,,,
58.0,Southwark,Cowardly,Warsaw,dwarf-,W WARNER,,
59.0,Byron,gaborone,moro,,,,
60.0,Thomas-,nearest kinsman,oman,,,,
61.0,Hare,Charles,hard1I,Farquhar,Charing,,
62.0,Ingene,Abingdon,Ovingdean Grange,Orleans,,,
63.0,Belvoir,Scots Greys,Boscobel,,,,
64.0,Hamburg,Bkulking,Nottingham,not7,,,
65.0,Inn,Inn-lane,,,,,
