cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,Russia,Music,Sussex,Australasia,Asia,Prussia,the Russian Order of Saint Nicholas,Brussels,,,,,,,,,,
1,Smithfield,Amiens,Faithful,Fitzjurld,,,,,,,,,,,,,,
2,Gaunt Street,Greek Street,Gaunt Square,Curio Street,Threadneedle Street,Gaunt,Great Gaunt Street,New Gaunt Street,Curzon Street,,,,,,,,,
3,Cologne,Boulogne,Colony,Cognac,,,,,,,,,,,,,,
4,Rawdon,Ravdonn,O’Dowd,Rawdons,Radon,,,,,,,,,,,,,
5,the Black Diamond,the Latin Grammar,Black Bess,the Black Hole,the dark sea,the Valley of Diamonds,Bethesda Place,,,,,,,,,,,
6,Strumpff,Trumpet,Truth,Madame Strumpff,Pump,,,,,,,,,,,,,
7,Melibœus,Amelia,Machiavellian,Camelot,Dearest Amelia,Cornelia,,,,,,,,,,,,
8,Clapp,La,Wollah,Loyola,"place,—in",Peninsula,Molasses,Laeken,Atlantic,Ladyship,Latin,Medulla,Palais,,,,,
9,Podder,Herod,Goddem,Loder,Derby,Alderney,,,,,,,,,,,,
10,West End,twenty eagles,"West End hotels,—nevertheless",the West End,West,West End Swell,Cowes,,,,,,,,,,,
11,Opera,Perdita,Peerage,Ramchunder,Persia,Europe,Talavera,Demerara,Peterwaradin,,,,,,,,,
12,Ireland,Vivandière,Regan,Empire,Except Ireland,the Peerage of Ireland,C.B.,,,,,,,,,,,
13,Johnes,Cannes,Rio Janeiro,Canada,R.A.,Lausanne,,,,,,,,,,,,
14,Janizaries,Brienne,Britannia,Sultan,Titania,britzska,Vittoria,Neapolitan,Vanity,,,,,,,,,
15,Philip,Iphigenia,Ilium,,,,,,,,,,,,,,,
16,the Free City of Judenstadt,the Niagara cataract,the City,the Whole Duty,the City of,White Hermitage,meet City,City,the Temple of Concord,us City,the County Cork,the City of London,,,,,,
17,Thames St.,St. James’s Street,St. James’s Park,Methodist,St. John’s Wood,,,,,,,,,,,,,
18,Montcalm,Stilton,Alton,Wealth,Osbaldiston,Buxton,Fuddleston,,,,,,,,,,,
19,M.P.,M.D.,P.S.,,,,,,,,,,,,,,,
20,nubibus,Venus,us,the Green Avenue,Avernus,MR,Silenus,,,,,,,,,,,
21,Bedad,Bedford,Brentford,Sandford,Oxford,,,,,,,,,,,,,
22,Old England,Anglais,England,Bengal,English Colonies,,,,,,,,,,,,,
23,Mount Saint John,Saint Jean,Mount St.,Mount St. John,Saint Jams,,,,,,,,,,,,,
24,Clapham,Higham,handkerchiefs,Turnham,Chatham,Thames,Hants,Chargé,Feltham,Fulham,Pharaoh,Chaffers,Charlotte,Cheltenham,,,,
25,St. Martin’s,St. Mary’s,n’t,St. Martin’s Lane,,,,,,,,,,,,,,
26,Dublin,inn,Tuffin,Inn,Windsor,Indulging,Injee,Spain,Inn of mornings,Thavies Inn,,,,,,,,
27,Leipzi,Leipzig,,,,,,,,,,,,,,,,
28,Chapelle,"bell,—if",Camberwell,Belle,Helvellyn,Muswell Hill,Belgium,,,,,,,,,,,
