cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,her?—no,sir?—yes,Herod,,,,,,,,,,,,
1,Tiler,Palermo,Nile,Silvery,,,,,,,,,,,
2,Britain,Italy,britzska,Cambridge,White Hermitage,Mosquetaires Gris,Spain,Great Britain,Britannia,Titania,,,,,
3,Billingsgate,Ramsgate,Margate,,,,,,,,,,,,
4,London,London City,Golconda,Corydon,Babylon,LONDON,Polonia,Richmond,Wimbledon,Circuit?—Don’t,Londonderry,,,,
5,Chargé,Charlotte,Argos,Pharaoh,Chaffers,,,,,,,,,,
6,Quarrel,Warren,Surrey,Cavendish Square,the Russell Square,Quashyboos,,,,,,,,,
7,Strumpff,Trumpet,Madame Strumpff,Truth,Pump,,,,,,,,,,
8,Parc,Bonaparty,Arcadia,Japan,Hâtel du Parc,Pardon,,,,,,,,,
9,Osnaburgh,Edinburgh,C.B.,,,,,,,,,,,,
10,Bayswater,Waterloo,swan,,,,,,,,,,,,
11,Mango,Marengo,Spiggot,Germany,Jingo,Kangaroo,,,,,,,,,
12,Show,she’s,Archbishop,Glowry,Bowls,Bagshot,,,,,,,,,
13,Leipzig,Leipzi,,,,,,,,,,,,,
14,CRAWLEY,Crawley,Finchley,motley,Rawdon Crawley,Talleyrand,,,,,,,,,
15,York,byoo,the Duke of York,New York Demagogue,Cork,New York,,,,,,,,,
16,Rawdon,Radon,Rawdons,O’Dowd,Ravdonn,,,,,,,,,,
17,Canada,Cannes,Lausanne,,,,,,,,,,,,
18,Rector,Rectory?—their,History,Timbuctoo,,,,,,,,,,,
19,Geography,Gray,Grady,"prayers,—oh",Belgravia,Grand Mogul,the Latin Grammar,,,,,,,,
20,the Whole Duty,the Niagara cataract,the City of,the County Cork,the City of London,the City,the Free City of Judenstadt,,,,,,,,
21,Molasses,Nassau,hosses,,,,,,,,,,,,
22,Nob,No.90,Kibobjee,Munoz,Noir,,,,,,,,,,
23,us City,City,Vanity,meet City,Toeplitz,Fitzjurld,,,,,,,,,
24,Lance,France,Salamanca,,,,,,,,,,,,
25,St. Martin’s,St. Mary’s,St. Martin’s Lane,n’t,,,,,,,,,,,
26,Neapolitan,Simeon,Napoleon,Naples,Walpole,,,,,,,,,,
27,East,Castle,Easter,,,,,,,,,,,,
28,Rebeca,Quebec,Rebecca,,,,,,,,,,,,
29,St. George’s,Greek Georgy,Bareacres,Dearest George,Bourgeois,Dearest,,,,,,,,,
30,Eagles,Middlesex,Boggley,twenty eagles,Wales,,,,,,,,,,
31,Vivandière,Ireland,Regan,Except Ireland,the Peerage of Ireland,,,,,,,,,,
32,Batavier,Vienna,Amiens,Brienne,,,,,,,,,,,
33,Gulielmo,Gulf San Juan,gulf,Regulus,Prague,,,,,,,,,,
34,Rotterdam,Metternich,St. Michael of Pumpernickel,Gazette,Debrett,Munich,,,,,,,,,
35,Newfoundland,Coventry Island,Scotland,Island,the South Sea Islands,Switzerland,the Cannibal Islands,Shetland,Holland,”—And,Long Island,Flanders,Poland,Friedland,Sands
36,turkey,Turkey,Turnham,,,,,,,,,,,,
37,Bruges,Brunswick,Chiswick,,,,,,,,,,,,
38,Consul,Sultan,Peninsula,,,,,,,,,,,,
39,XXXIII,XX,XXII,XXVII,Louis XVIII,,,,,,,,,,
40,Begleitung,Dundas,Bundlegunge,Lederlung,Kunz,,,,,,,,,,
41,Brazil,Brava,Bramah,,,,,,,,,,,,
42,Madeira,Malmsey-Madeira,Malmsey,,,,,,,,,,,,
43,Asia,Austria,Australasia,Strasburg,,,,,,,,,,,
44,Schwartzenberg,Schlossberg,Hardenberg,,,,,,,,,,,,
45,Philip,Ilium,Iphigenia,,,,,,,,,,,,
46,Cutts,Ricketts,Calcutta,,,,,,,,,,,,
47,Music,Prussia,Russia,Brussels,Sussex,the Russian Order of Saint Nicholas,,,,,,,,,
48,Kingdom,Abingdon,,,,,,,,,,,,,
49,Oxford,Sandford,Bedad,Bedford,Brentford,,,,,,,,,,
50,Jemima,Miss.,kiss,,,,,,,,,,,,
51,Injee,Inn of mornings,Tuffin,Inn,inn,Indulging,Thavies Inn,,,,,,,,
52,Jibbs,Hobbs,Cribb,,,,,,,,,,,,
53,Jericho,Jamaica,Africa,Cashmere,America,,,,,,,,,,
54,St. Kitts,Saint Kitt’s,St. Vincent’s,St.,St. Kitt’s,St. Acheul,,,,,,,,,
55,Grocer,Roc,Rome,Rosa,,,,,,,,,,,
56,Long Acre,Longwood,Ringwood,,,,,,,,,,,,
57,the West Indies,India,Windsor,West Indies,West Indian,West India,East India,East Indiaman,"the
                        West Indies",,,,,,
58,Leeds,"bell,—if",Chapelle,Belle,Belgium,Camberwell,Helvellyn,,,,,,,,
59,Christchurch,Maraschino,china,Which,handkerchiefs,Glorvina,China,MR,,,,,,,
60,Florence,Montmorency,Frenchmen,Trenck,,,,,,,,,,,
61,Buckinghamshire,Wiltshire,Somersetshire,Hampshire,Yorkshire,Yorkshire and Somersetshire,,,,,,,,,
62,Dobbin,Madame Bobbin,Dob,Binkie,,,,,,,,,,,
