cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114
-1,Zwieback,Boompjes,Janizaries,Higham,Bruges,Burschen,Italy,Ricketts,Jamaica,the Niagara cataract,Dundas,the Strait-Waistcoat,Bedad,Johnes,Wollah,Cavendish Square,Prague,Vivandière,Gayd,Bramah,Mosquetaires Gris,Binkie,Grand Mogul,the South Sea Islands,Turnham,Rio Janeiro,Camberwell,Armada,Geography,Rome,Portsmouth,Timbuctoo,St. John’s Wood,South,the Cannibal Islands,Debrett,Squills,Flanders,"compliments,—if",Kangaroo,Brompton,Cashmere,Toeplitz,Butes,Jena,Park,Hollyock,"Covent Garden
                        Market",sir?—yes,St. Michael of Pumpernickel,Ballinasloe,the dark sea,swan,Wittgenstein,Saxony,Cork,Ramchunder,Fulham,Venice,Switzerland,Bengal,Bolkum,the Cape of Good Hope,Long Acre,India,St. Vincent’s,Athens,Which,interest;)—if,Palermo,"West End hotels,—nevertheless",Ghent,Chaffers,Canada,Atlantic,Esq,Ladyship,Omphale,English Colonies,Leeds,Pall Mall,Desert,Cato,Nineveh,Destiny,Carmarthenshire,britzska,Cognac,Lederlung,the Russian Order of Saint Nicholas,Snaily,Naples,Monplaisir,Maintenon,West,the Pincian Hill,Pump,the Aurelius Garden,Christchurch,the County Cork,Sands,Portansherry,motley,Neapolitan,Fort,Talleyrand,Bareacres,Cheltenham,Greek Georgy,Boggley,Cornelia,Cowes,Vanity,Albums,Alderney
0,H.H.,R.A.,MR,C.B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,XXXIII,XX,XXII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Louis XVIII,XXVII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,byoo,Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,kiss,Miss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,M.P.,M.D.,P.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Leipzi,Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ems,Jemima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
