cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,oldham,Oldham,,,,,,
1,Christ,chester,the United States,Waterloo,Richer,"mercy,—he",Manchester,
2,America,St. Patrick’s day,Mexico,Merrica,,,,
3,New Bailey,Bastille,Baltic,Stilton,Coasts,,,
4,Old England,Sankey,England,Westmoreland,Cumberland,Providence,Glasgow,poland
5,belize,Tellme,beaux,,,,,
6,Buckinghamshire,Canada,Iran,Lancashire,Reynard,Yorkshire,,
7,Baghdad,Bombay,quay,,,,,
8,London,lOndon,,,,,,
9,Oi've,Mrs.!Davenport,Davenport,Liverpool,,,,
10,Fahrmann,China,inn,,,,,
11,Barton,Skelton,Continent,Toronto,Rose,Sorrowfully,,
12,Borgia,Halifax,Salford,CALIFORNIA,before’em,,,
13,wi,Sophy,n’t,Wilson,,,,
14,the Isle of Man,Helen,LEIPZIG,Sturgis,Isle,wales,,
15,Nota,Gorse,Goptaatt,,,,,
16,wy sk,,,,,,,
17,Holyhead,thou,Thou,Death,,,,
