cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
-1,Waterloo,St. Patrick’s day,Mexico,Holyhead,n’t,Reynard,the United States,Glasgow,Baltic,wy sk,Sophy,Sorrowfully,Tellme,Fahrmann
0,America,Merrica,Richer,"mercy,—he",,,,,,,,,,
1,Manchester,chester,,,,,,,,,,,,
2,Bombay,quay,,,,,,,,,,,,
3,Christ,Borgia,Sturgis,,,,,,,,,,,
4,Isle,the Isle of Man,,,,,,,,,,,,
5,wales,New Bailey,LEIPZIG,Helen,,,,,,,,,,
6,Toronto,Bastille,Continent,Stilton,Barton,Skelton,Coasts,,,,,,,
7,Wilson,wi,,,,,,,,,,,,
8,Goptaatt,Nota,,,,,,,,,,,,
9,belize,Death,beaux,,,,,,,,,,,
10,before’em,Salford,,,,,,,,,,,,
11,Halifax,CALIFORNIA,,,,,,,,,,,,
12,poland,Cumberland,Westmoreland,,,,,,,,,,,
13,England,Old England,,,,,,,,,,,,
14,Liverpool,Oi've,,,,,,,,,,,,
15,inn,China,,,,,,,,,,,,
16,Sankey,Buckinghamshire,Yorkshire,Lancashire,Iran,,,,,,,,,
17,Baghdad,Canada,,,,,,,,,,,,
18,London,lOndon,,,,,,,,,,,,
19,Providence,Rose,Gorse,,,,,,,,,,,
20,Davenport,Mrs.!Davenport,,,,,,,,,,,,
21,oldham,Oldham,,,,,,,,,,,,
22,thou,Thou,,,,,,,,,,,,
