cluster,elem_0,elem_1,elem_2,elem_3,elem_4
0.0,America,St. Patrick’s day,Merrica,Richer,"mercy,—he"
1.0,thou,,,,
2.0,oldham,Oldham,,,
3.0,Toronto,Continent,Borgia,,
4.0,England,Glasgow,Old England,,
5.0,Bastille,Stilton,Barton,Skelton,
6.0,poland,Cumberland,Westmoreland,,
7.0,Isle,the United States,the Isle of Man,Fahrmann,
8.0,Buckinghamshire,Yorkshire,Lancashire,Coasts,
9.0,Halifax,CALIFORNIA,before’em,Salford,Sturgis
10.0,Manchester,Waterloo,chester,,
11.0,Thou,,,,
12.0,London,lOndon,,,
13.0,Davenport,Mrs.!Davenport,,,
