cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,thou,Bombay,wy sk,Sturgis,,,,,,
1,oldham,Oldham,Baghdad,,,,,,,
2,Toronto,Providence,Holyhead,beaux,Borgia,,,,,
3,Wilson,New Bailey,,,,,,,,
4,Isle,Rose,,,,,,,,
5,Bastille,inn,,,,,,,,
6,England,poland,Glasgow,Goptaatt,Old England,Baltic,Oi've,LEIPZIG,Cumberland,Westmoreland
7,America,Christ,St. Patrick’s day,Mexico,Merrica,Richer,"mercy,—he",wi,,
8,the United States,Gorse,Nota,,,,,,,
9,Buckinghamshire,Yorkshire,Lancashire,,,,,,,
10,Manchester,Waterloo,Sankey,chester,Canada,China,,,,
11,wales,Sophy,Mrs.!Davenport,Tellme,Coasts,,,,,
12,Iran,Sorrowfully,Thou,,,,,,,
13,Halifax,belize,Reynard,London,Helen,,,,,
14,Davenport,CALIFORNIA,lOndon,before’em,Salford,,,,,
15,Stilton,n’t,Liverpool,quay,Barton,Skelton,,,,
16,Continent,the Isle of Man,Death,Fahrmann,,,,,,
