cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Ismerie,rS,lingerie,superieure,Ismrie,z=,,,,
1,c6te,ger,YL,Augustine,1'afne,,,,,
2,Douze,buis,violacee,lacai,Eugene,grace,,,,
3,guettais,ar-,etais,etais glacee,leuse,repetais,Jetais,etaissre,,
4,pre,pre Chicon,Rome,Apres,Chicon,,,,,
5,Blanche,Es,la manche,de France,manche,Tirande,la Blanche,Lse,,
6,tetes,tete,arrete,"ma
tete",tournai la tete,jetee,,,,
7,voyais,.'avais,S,Javais,gagea,aimais,baissee,,,
8,bruyeres,bruyeres tres hautes,Mattre,etais tres inquiete,Pas tres,,,,,
9,Tn iour,fourrai,,,,,,,,
10,Ad2le,So-,"P S
P or",,,,,,,
11,champs de ble,Merci,Table,champ de ble,prte,Vin,,,,
12,betes,Tes,bete,prikre,F,Chemineau la Bete,,,,
13,"II

S",ri Deslois,Parfois,foins,IM,J',Sois,Deslois,,
14,refectoire,soiree,Tireli,,,,,,,
15,Texpliquai,Eile,le soleil,Bel-Eil,exiles,-L,,,,
16,"Gue
Perdu",FE,Gue Perdu,poele,U,chateau du Gue Perdu,,,,
17,Combien,miens,Mlle Maximilienne,,,,,,,
18,I,"IlIi
I",servantel,luisantsde,,,,,,
19,Dansces,e,,,,,,,,
20,Communs,,,,,,,,,
21,Vronique,Quelque,Ioo,Paques,Quelquefois,Veronique,,,,
22,Saeur,S5,Seur Maie,Seur,IlIi,,,,,
23,Soeur Marie-Aimee,arie-Aimee,Eugkne,Seur Marie-Aimee,Marie-Aimee lavit,Marie-Aimee,Maie-Aimee,moitie,Paris,Narie-Aimee
24,E,1 I1MARIE-CLAIRB,MARIE-CLAIRB,notre Marie-Claire,"1 I1MARIE-CLAIRB
noire",laMARIE-CLAIRB,Marie-Claire,,,
25,Elle ajiouta,Rvelle-to,G,Gabrielle,poche;elle,fievre,,,,
26,II,I',"I
R",,,,,,,
27,fete de la Saint-ean,voila Henri,Saint-ean,La Saint-Iean,Saint-Iean,,,,,
28,reveillon,vecu,tilleuls,NSJ,Orgueilleuse,"vieille
Bibiche",Villevieille,ILl,Castille,Ville-
29,Agathe,chataignier,allee des chataigniers,chitaigniers,,,,,,
30,serree,passee,ler,"II
IIIIIII
YA",lasserl,Malgre,,,,
31,Maintenant,laSainte,Saintes Huiles,ainsi.r,Sainte-Montagne,Josai,,,,
32,grosse Melanie,grosse Mlanie,Mlanie,Mla-,Melanie,,,,,
33,alluma,M.Alphonse,Sautons,obeir,allees,A,Allonsl,,,
34,barriere de peupliers,Vierge,.Hier,,,,,,,
35,W,piece,Noel,,,,,,,
36,Madeleine,ca,Eugne,Sologne,logne,,,,,
37,ecroula,cheminee,precher,pimbeche,accrochee,bcheron,Bibiche,Cache,,
38,M,noux,bobo,,,,,,,
39,Seur Dsiree-des-Anges,Desire-des-Anges,nuages.a6,Sur Desiree-des-Anges,Seur Desiree-des-Anges,hesita,es-,Desiree-des-Anges,,
