cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,pre,Mattre,YL,precher,Malgre,fievre,Apres,prikre,,,,
1,I,,,,,,,,,,,
2,Blanche,la manche,de France,manche,la Blanche,,,,,,,
3,E,,,,,,,,,,,
4,Combien,miens,Communs,,,,,,,,,
5,Ismerie,Merci,superieure,Ismrie,Rome,,,,,,,
6,Es,Dansces,nuages.a6,allees,Tes,hesita,es-,bobo,,,,
7,ger,lingerie,gagea,ler,Vierge,,,,,,,
8,voyais,guettais,buis,etais,etais glacee,aimais,repetais,etais tres inquiete,Jetais,etaissre,,
9,ri Deslois,Deslois,,,,,,,,,,
10,pre Chicon,Chicon,,,,,,,,,,
11,"II

S",II,M,"II
IIIIIII
YA",,,,,,,,
12,tetes,c6te,tete,Texpliquai,arrete,betes,prte,"ma
tete",tournai la tete,bete,jetee,
13,.'avais,Javais,I',,,,,,,,,
14,bruyeres,bruyeres tres hautes,G,Pas tres,F,,,,,,,
15,Douze,Tn iour,Ioo,fourrai,,,,,,,,
16,S5,,,,,,,,,,,
17,"IlIi
I",IlIi,"I
R",,,,,,,,,
18,champs de ble,Table,champ de ble,"P S
P or",,,,,,,,
19,ar-,Parfois,foins,Paris,,,,,,,,
20,Madeleine,Ad2le,Eile,obeir,le soleil,Bel-Eil,exiles,,,,,
21,S,U,,,,,,,,,,
22,"Gue
Perdu",barriere de peupliers,Gue Perdu,chateau du Gue Perdu,,,,,,,,
23,Eugkne,Eugene,Eugne,Augustine,1'afne,,,,,,,
24,Quelque,Paques,Quelquefois,,,,,,,,,
25,Saeur,Seur Maie,leuse,Seur,Lse,,,,,,,
26,Soeur Marie-Aimee,arie-Aimee,Seur Marie-Aimee,Marie-Aimee lavit,IM,Marie-Aimee,Maie-Aimee,z=,Narie-Aimee,,,
27,passee,lasserl,baissee,,,,,,,,,
28,fete de la Saint-ean,Saint-ean,La Saint-Iean,luisantsde,Saint-Iean,,,,,,,
29,J',A,,,,,,,,,,
30,Elle ajiouta,tilleuls,Orgueilleuse,Rvelle-to,Mlle Maximilienne,"vieille
Bibiche",Villevieille,ILl,Castille,Vin,Gabrielle,Ville-
31,violacee,piece,grace,,,,,,,,,
32,Maintenant,servantel,laSainte,Saintes Huiles,ainsi.r,Sainte-Montagne,Josai,,,,,
33,W,1 I1MARIE-CLAIRB,MARIE-CLAIRB,notre Marie-Claire,"1 I1MARIE-CLAIRB
noire",laMARIE-CLAIRB,Marie-Claire,,,,,
34,ecroula,grosse Melanie,grosse Mlanie,Mlanie,Mla-,Melanie,,,,,,
35,rS,FE,chataignier,moitie,allee des chataigniers,chitaigniers,.Hier,,,,,
36,alluma,reveillon,M.Alphonse,NSJ,Sautons,Allonsl,,,,,,
37,So-,refectoire,serree,soiree,Tireli,Sois,,,,,,
38,Seur Dsiree-des-Anges,Tirande,Desire-des-Anges,Sur Desiree-des-Anges,Seur Desiree-des-Anges,Desiree-des-Anges,,,,,,
39,poele,noux,Noel,,,,,,,,,
40,Vronique,vecu,bcheron,Veronique,,,,,,,,
41,Sologne,logne,,,,,,,,,,
42,ca,Agathe,lacai,pimbeche,accrochee,poche;elle,Bibiche,Cache,,,,
43,-L,,,,,,,,,,,
44,voila Henri,cheminee,Chemineau la Bete,,,,,,,,,
45,e,,,,,,,,,,,
