cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,F,S,,,,,,,,,,,
1,bruyeres tres hautes,bruyeres,Pas tres,,,,,,,,,,
2,Parfois,Paris,Sois,foins,ar-,,,,,,,,
3,baissee,passee,serree,lasserl,-L,,,,,,,,
4,reveillon,Gabrielle,Villevieille,Orgueilleuse,ILl,le soleil,"vieille
Bibiche",Vin,Eile,Mlle Maximilienne,Ville-,tilleuls,Castille
5,obeir,bobo,Bel-Eil,,,,,,,,,,
6,Paques,Vronique,Quelque,Veronique,Quelquefois,,,,,,,,
7,pimbeche,Cache,bcheron,ca,cheminee,Agathe,lacai,Bibiche,accrochee,,,,
8,G,Combien,Communs,miens,,,,,,,,,
9,Rvelle-to,Madeleine,poele,poche;elle,Noel,Ad2le,Elle ajiouta,,,,,,
10,Seur Marie-Aimee,Soeur Marie-Aimee,Marie-Aimee,Narie-Aimee,IM,Maie-Aimee,arie-Aimee,Marie-Aimee lavit,,,,,
11,Chemineau la Bete,la Blanche,Mla-,ecroula,Blanche,manche,voila Henri,la manche,,,,,
12,Eugkne,Augustine,Eugne,Eugene,1'afne,,,,,,,,
13,guettais,Jetais,voyais,aimais,etais tres inquiete,repetais,etais,Javais,etais glacee,.'avais,etaissre,W,buis
14,J',,,,,,,,,,,,
15,barriere de peupliers,chateau du Gue Perdu,Gue Perdu,"Gue
Perdu",,,,,,,,,
16,superieure,Ismrie,Merci,Ismerie,,,,,,,,,
17,champ de ble,"P S
P or",Table,champs de ble,,,,,,,,,
18,Saintes Huiles,Tes,allees,exiles,nuages.a6,hesita,es-,Es,Dansces,,,,
19,luisantsde,ainsi.r,Josai,Saint-Iean,fete de la Saint-ean,laSainte,Saint-ean,Maintenant,Sainte-Montagne,e,La Saint-Iean,,
20,moitie,allee des chataigniers,rS,chitaigniers,.Hier,chataignier,,,,,,,
21,prikre,M,pre,Malgre,Mattre,fievre,Apres,precher,,,,,
22,A,Deslois,ri Deslois,,,,,,,,,,
23,II,"II

S","IlIi
I","II
IIIIIII
YA",IlIi,"I
R",,,,,,,
24,piece,de France,grace,violacee,,,,,,,,,
25,Mlanie,Melanie,Rome,grosse Melanie,grosse Mlanie,,,,,,,,
26,Chicon,pre Chicon,S5,,,,,,,,,,
27,YL,,,,,,,,,,,,
28,Vierge,ler,gagea,ger,lingerie,,,,,,,,
29,logne,So-,Sologne,,,,,,,,,,
30,Sur Desiree-des-Anges,Desire-des-Anges,Tirande,Seur Dsiree-des-Anges,Seur Desiree-des-Anges,Desiree-des-Anges,,,,,,,
31,E,Ioo,Tn iour,Douze,fourrai,noux,,,,,,,
32,Lse,Seur,Seur Maie,Saeur,leuse,,,,,,,,
33,I,U,,,,,,,,,,,
34,z=,,,,,,,,,,,,
35,"1 I1MARIE-CLAIRB
noire",Marie-Claire,1 I1MARIE-CLAIRB,laMARIE-CLAIRB,MARIE-CLAIRB,notre Marie-Claire,,,,,,,
36,soiree,vecu,FE,refectoire,Tireli,,,,,,,,
37,I',,,,,,,,,,,,
38,NSJ,M.Alphonse,alluma,Sautons,Allonsl,,,,,,,,
39,arrete,tetes,Texpliquai,prte,tournai la tete,"ma
tete",betes,servantel,jetee,bete,tete,c6te,
