cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,child:—if,Hamilton,Gehazi,Cheltenham,vail,Grahame,,,,,,,
1,Plymouth,Thou,Truth,thou,Harcourt,Elizabethan,,,,,,,
2,Atlantic,Highland,England,Leander,Glamorgan,the Shetland Isles,T—.,Ireland,Old England,Scotland,MS,Moorlands,Llangwillan
3,Manor,Germany,Greville Manor,,,,,,,,,,
4,"faltered—""Ellen",Scotsmen,Ellen,Lascelles,Helen,,,,,,,,
5,Delmont,Devonshire,Yorkshire,Carmarthenshire,,,,,,,,,
6,South America,British America,meek,,,,,,,,,,
7,Oxford,Milford Haven,North,Portsmouth,fort,myrtle,,,,,,,
8,Euphrosyne,Caithness,Collins,Lina,Caroline,Seneca,,,,,,,
9,INDIA,India,Harding,Zenobia,Edinburgh,,,,,,,,
10,MR,New-York,NEW YORK,New York,,,,,,,,,
11,Italy,Psalm,Halifax,Esq,Wales,Bibles,,,,,,,
12,me?—oh,Exeter,Percy,Percy?—let,,,,,,,,,
13,Sweden,Providence,Madeira,Barbary,Denmark,,,,,,,,
14,Feroe Islands,Algiers,Cicero,Easter,Pembroke,Feroe,Samboe,Berry Pomeroy,,,,,
15,the Sea Queen,Swansea,Seldon Grange,Torrington,London,Ashburton,Seaton,,,,,,
16,Oakwood,,,,,,,,,,,,
