cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Portsmouth,fort,myrtle,Milford Haven,North,Oxford,T—.,
1,Grahame,meek,Gehazi,me?—oh,Cheltenham,Seldon Grange,British America,
2,New York,New-York,NEW YORK,,,,,
3,Exeter,Easter,,,,,,
4,Caroline,Elizabethan,Lina,Halifax,Collins,,,
5,Percy?—let,Percy,,,,,,
6,Devonshire,Yorkshire,Carmarthenshire,Delmont,Oakwood,,,
7,vail,child:—if,,,,,,
8,MS,MR,,,,,,
9,Llangwillan,Glamorgan,Highland,Leander,England,Moorlands,Old England,Ireland
10,INDIA,Harding,India,Edinburgh,,,,
11,Esq,Psalm,Italy,Algiers,Wales,Bibles,,
12,Germany,Greville Manor,Manor,,,,,
13,Seneca,Helen,Lascelles,Zenobia,"faltered—""Ellen",Ellen,,
14,the Sea Queen,London,Hamilton,Swansea,Torrington,Ashburton,Seaton,
15,Berry Pomeroy,Samboe,Euphrosyne,Cicero,Feroe Islands,Pembroke,Feroe,
16,Madeira,Providence,Sweden,Barbary,Denmark,,,
17,South America,Harcourt,Caithness,Truth,thou,Plymouth,Thou,
18,Atlantic,the Shetland Isles,Scotsmen,Scotland,,,,
