cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
-1,Grahame,Atlantic,Hamilton,Gehazi,Llangwillan,Germany,Glamorgan,T—.,Leander,MS,Barbary,Zenobia,Algiers,Pembroke,Scotsmen,Oakwood,MR
0,INDIA,India,,,,,,,,,,,,,,,
1,meek,me?—oh,,,,,,,,,,,,,,,
2,thou,Thou,,,,,,,,,,,,,,,
3,London,Seldon Grange,Delmont,,,,,,,,,,,,,,
4,myrtle,Samboe,,,,,,,,,,,,,,,
5,Percy?—let,Percy,,,,,,,,,,,,,,,
6,vail,child:—if,,,,,,,,,,,,,,,
7,Elizabethan,Halifax,,,,,,,,,,,,,,,
8,Harcourt,Harding,Edinburgh,,,,,,,,,,,,,,
9,Exeter,Easter,,,,,,,,,,,,,,,
10,Caroline,Lina,Euphrosyne,Collins,,,,,,,,,,,,,
11,Swansea,Torrington,Ashburton,Seaton,,,,,,,,,,,,,
12,South America,British America,,,,,,,,,,,,,,,
13,Madeira,Providence,Sweden,Denmark,,,,,,,,,,,,,
14,Devonshire,Yorkshire,Carmarthenshire,,,,,,,,,,,,,,
15,New York,New-York,NEW YORK,,,,,,,,,,,,,,
16,Greville Manor,Manor,,,,,,,,,,,,,,,
17,Portsmouth,Truth,Plymouth,,,,,,,,,,,,,,
18,fort,Milford Haven,North,Oxford,,,,,,,,,,,,,
19,Caithness,Seneca,,,,,,,,,,,,,,,
20,Helen,Lascelles,Cheltenham,"faltered—""Ellen",Ellen,,,,,,,,,,,,
21,Esq,Wales,Bibles,,,,,,,,,,,,,,
22,Psalm,Italy,,,,,,,,,,,,,,,
23,Berry Pomeroy,Cicero,,,,,,,,,,,,,,,
24,the Sea Queen,the Shetland Isles,,,,,,,,,,,,,,,
25,Feroe Islands,Feroe,,,,,,,,,,,,,,,
26,Highland,Moorlands,Ireland,,,,,,,,,,,,,,
27,England,Old England,Scotland,,,,,,,,,,,,,,
