cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Plymouth,Psalm,Glamorgan,Portsmouth,South America,Truth,Harding,,,,
1,Italy,Gehazi,London,myrtle,,,,,,,
2,Delmont,child:—if,Sweden,Providence,vail,Denmark,,,,,
3,Feroe Islands,Atlantic,Highland,England,Leander,the Shetland Isles,Ireland,Old England,Scotland,Moorlands,Llangwillan
4,Manor,Germany,Greville Manor,North,thou,Oakwood,Edinburgh,meek,,,
5,Exeter,Easter,,,,,,,,,
6,Madeira,,,,,,,,,,
7,Seldon Grange,T—.,Percy?—let,,,,,,,,
8,Euphrosyne,"faltered—""Ellen",Ellen,Lascelles,Helen,,,,,,
9,New-York,Caithness,NEW YORK,India,New York,,,,,,
10,Oxford,Milford Haven,fort,,,,,,,,
11,Devonshire,Seneca,Yorkshire,Carmarthenshire,MS,,,,,,
12,Collins,Lina,Caroline,,,,,,,,
13,Cicero,Feroe,Berry Pomeroy,,,,,,,,
14,Hamilton,Cheltenham,Esq,Grahame,British America,,,,,,
15,Algiers,Barbary,,,,,,,,,
16,Thou,Scotsmen,Halifax,Percy,Elizabethan,,,,,,
17,Wales,Bibles,,,,,,,,,
18,MR,Harcourt,Zenobia,,,,,,,,
19,me?—oh,INDIA,Samboe,,,,,,,,
20,the Sea Queen,Swansea,Torrington,Ashburton,Pembroke,Seaton,,,,,
