cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,Plymouth,Portsmouth,Truth,,,,,
1.0,Oxford,Milford Haven,fort,,,,,
2.0,Sweden,Providence,Denmark,,,,,
3.0,Feroe Islands,Highland,England,Leander,Ireland,Old England,Moorlands,Llangwillan
4.0,Manor,Germany,Greville Manor,North,,,,
5.0,Exeter,Easter,,,,,,
6.0,Cheltenham,Seldon Grange,Grahame,London,,,,
7.0,"faltered—""Ellen",Ellen,Lascelles,Helen,,,,
8.0,Devonshire,Yorkshire,Carmarthenshire,,,,,
9.0,South America,British America,,,,,,
10.0,Collins,Lina,Caroline,,,,,
11.0,INDIA,India,,,,,,
12.0,Cicero,Feroe,Berry Pomeroy,,,,,
13.0,New-York,NEW YORK,New York,,,,,
14.0,Atlantic,Scotsmen,the Shetland Isles,Scotland,,,,
15.0,Glamorgan,Percy,Percy?—let,,,,,
16.0,Thou,thou,,,,,,
17.0,Wales,Bibles,,,,,,
18.0,Harding,Harcourt,Edinburgh,,,,,
19.0,the Sea Queen,Hamilton,Swansea,Torrington,Ashburton,Seaton,,
