cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33
-1,child:—if,the Sea Queen,Italy,Hamilton,Gehazi,Atlantic,MR,Scotsmen,Psalm,Leander,Madeira,Germany,Glamorgan,the Shetland Isles,Algiers,Halifax,T—.,vail,Seneca,Grahame,Barbary,Scotland,Ashburton,Harding,myrtle,MS,Harcourt,Pembroke,Zenobia,Elizabethan,Samboe,Oakwood,Edinburgh,Llangwillan
0,Delmont,Seldon Grange,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"faltered—""Ellen",Cheltenham,Ellen,Lascelles,Helen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Caithness,Esq,Wales,Bibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oxford,Milford Haven,North,fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Manor,Greville Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Plymouth,Portsmouth,Truth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,South America,British America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Swansea,Torrington,Seaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Euphrosyne,Collins,Lina,Caroline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Exeter,Easter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Cicero,Berry Pomeroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Feroe Islands,Feroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Highland,Ireland,Moorlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,England,Old England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sweden,Providence,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Devonshire,Yorkshire,Carmarthenshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,New-York,NEW YORK,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Percy,Percy?—let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thou,thou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,me?—oh,meek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,INDIA,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
