cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0,Africa,US,America,Richelieu,Jamaica,,,,,,,,,,,,,,,
1,LA,Ak,Mrs,,,,,,,,,,,,,,,,,
2,Miss,kiss,&.—Miss,Miss.,,,,,,,,,,,,,,,,
3,Metternich,Munich,Gazette,Rotterdam,Rookery,,,,,,,,,,,,,,,
4,inn,Grass Inn,Inn,,,,,,,,,,,,,,,,,
5,Cambridge,Helvellyn,Camberwell,Murewell Hill,~It,,,,,,,,,,,,,,,
6,Joy,nan,Joy.,Enjoy,,,,,,,,,,,,,,,,
7,Regent,Magnificent,Wittgenstein,Ghent,Regan,Iphigenia,,,,,,,,,,,,,,
8,Silenus,Blenheim,Nile,Junior,,,,,,,,,,,,,,,,
9,Club,,,,,,,,,,,,,,,,,,,
10,Bohemian Libraries,Wiesbaden,Dresden,Music,ND,golden auburn,Pineries,,,,,,,,,,,,,
11,Elbe,Pompeii,Notgeung,pomatum,Pompadour,,,,,,,,,,,,,,,
12,Grosvenor,Heavens,Venice,Venus,Haydn,,,,,,,,,,,,,,,
13,Prague,paragon,Wildbad,Demagogue,,,,,,,,,,,,,,,,
14,Butler,Button,Butts,Muddleton,Calcutta,Mutton,,,,,,,,,,,,,,
15,Combat,"compliments,—if",Potentate,M.D.,Compare,Louis,,,,,,,,,,,,,,
16,Wales,Naples,Esq,Eagles,Tiles,Stubbles,twenty eagles,,,,,,,,,,,,,
17,the West Winds,the West Ladies,Windsor,Bedad,,,,,,,,,,,,,,,,
18,St. George’s,"St.
George’s",St. George’s Hospital,,,,,,,,,,,,,,,,,
19,Babylon,Long Acre,Colony,Polonia,Glenmalony,,,,,,,,,,,,,,,
20,Billingsgate,Harrogate,Negation,Ramsgate,Pharaoh,Margate,,,,,,,,,,,,,,
21,XX,Gulielmo,Moorfields,Jemima,Smithfield,,,,,,,,,,,,,,,
22,Hampshire,HAMPSHIRE,Buckinghamshire,&.,Shropshire,,,,,,,,,,,,,,,
23,Being,Kingdom,Kissing,la,Tinge,Inn of mornings,planning;—no,,,,,,,,,,,,,
24,Batavier,Bagshot,,,,,,,,,,,,,,,,,,
25,Oxford,fort,Brentford,,,,,,,,,,,,,,,,,
26,Sugar,Kangaroo,Trafalgar,Far,Bulgaria,,,,,,,,,,,,,,,
27,Provence,Providence,France,protégée,,,,,,,,,,,,,,,,
28,Domain,Brainton,Spain,n’t,,,,,,,,,,,,,,,,
29,Cape,Cape Town,CAPE,,,,,,,,,,,,,,,,,
30,Ireland,Elba,the Peerage of Ireland,Calumny,Except Ireland,,,,,,,,,,,,,,,
31,Wesleyan,motley,Cowes,,,,,,,,,,,,,,,,,
32,Feltham,Chatham,Leipzig,Thames,Thames St.,CHATHAM,,,,,,,,,,,,,,
33,Frenchmen,Montmorency,Trenck,Florence,Wrench,Noir,,,,,,,,,,,,,,
34,Lausanne,Cannes,know-,Canada,,,,,,,,,,,,,,,,
35,Siberia,Whitefriars,White Hermitage,WHITEFRIARS,,,,,,,,,,,,,,,,
36,Carmarthenshire,Athens,Athen,OW,,,,,,,,,,,,,,,,
37,Hall,Ballinasloe,Mall,,,,,,,,,,,,,,,,,
38,china,China,Maraschino,,,,,,,,,,,,,,,,,
39,Bevetendt,Nineveh,Ostend,MR,,,,,,,,,,,,,,,,
40,Dover,Sovereigns,Liverpool,Soho,Silvery,Lover,,,,,,,,,,,,,,
41,inn-land-,Flanders,Newfoundland,England,Switzerland,blanc,Old England,,,,,,,,,,,,,
42,Charing,Brings,Ringwood,Lowood,Greenwood,,,,,,,,,,,,,,,
43,Pump,Trumpet,Truth,Rebecca,Peterwaradin,Puppets,,,,,,,,,,,,,,
44,Flint,Belinda,Point-,,,,,,,,,,,,,,,,,
45,Mosses,Desert,Masses,Albums,Nassau,,,,,,,,,,,,,,,
46,po,Manon,Cracksman,Salamanca,Germany,oman,,,,,,,,,,,,,,
47,Chiswick,Brunswick,CHISWICK,,,,,,,,,,,,,,,,,
48,Canterbury,Mudbury,Highbury Barn,Edinburgh,,,,,,,,,,,,,,,,
49,Quatorze,Rector,Vittoria,History,,,,,,,,,,,,,,,,
50,H.H.,County Mildred,the County Dark,County,Mount,Viscount Hellborough,Mount St.,¢found,,,,,,,,,,,,
51,Mount Saint John,Saint Jean,Saint Martin’s Lane,Saint Helen,Saint Kitts,Saint Jams,the Russian Order of Saint Nicholas,,,,,,,,,,,,,
52,Orleans,Wealthé Orleans,New Orleans,,,,,,,,,,,,,,,,,
53,avec sa,Talavera,Italy,,,,,,,,,,,,,,,,,
54,curacao,Curzon,,,,,,,,,,,,,,,,,,
55,Red Seas,red scarfs,Udolpho,Red,,,,,,,,,,,,,,,,
56,Ladyship,Tadyship,,,,,,,,,,,,,,,,,,
57,MARS,Maria,Marengo,Mars,Nob,,,,,,,,,,,,,,,
58,Holland,Boggleywollah,Bogglywollah,Follows,Bowls,Folle,,,,,,,,,,,,,,
59,Ours,Coursing,NURSE,Humours,,,,,,,,,,,,,,,,
60,Pictures,Turkey,Turnham,,,,,,,,,,,,,,,,,
61,the West End,West,"West End Hotels,—nevertheless",West End,West End Swell,,,,,,,,,,,,,,,
62,handkerchiefs,"mind,.and",Minded,Casgandra,,,,,,,,,,,,,,,,
63,"ha,—there",ZZ,Bierstadt,Oystherstown,Booterstown,,,,,,,,,,,,,,,
64,Brazil,Talleyrand,now*tYrant,Grand Uncle,Brandon,Abandon,,,,,,,,,,,,,,
65,Fitzjurld,Toeplitz,,,,,,,,,,,,,,,,,,
66,swan,Swamp Town,Swamptown,"Swamp Town
Gazette",,,,,,,,,,,,,,,,
67,Monseigneur,Europe,monsignori,Monsieur Isidor,Monsieur,essie,,,,,,,,,,,,,,
68,Sultan,Peninsula,Peninsular,Fairs,Schlippenschloppen,M.P.,Consul,,,,,,,,,,,,,
69,St. Helen,St. Pancras,St. Pitt’s,St.,St. Paul’s,St. Petersburg,St. Kitts,St. Mary’s,,,,,,,,,,,,
70,ST,"night,—and",girl””—and,"care,—and",P.S.,quarters.—And,,,,,,,,,,,,,,
71,St. John’s,"Mount
St. John","St. John’s
Wood",St. Just,,,,,,,,,,,,,,,,
72,Booth,Quashyboos,Surrey,,,,,,,,,,,,,,,,,
73,Versailles,Spiggot,Smallest,Gillespie,Achilles,,,,,,,,,,,,,,,
74,Machiavellian,Cecilia,Goliah,,,,,,,,,,,,,,,,,
75,Portsmouth,Porteus,Port,Portansherry,,,,,,,,,,,,,,,,
76,Roehampton,Southampton Row,Rochampton,Southampton,Brompton,South-,C.B.,Southampton Gaol,,,,,,,,,,,,
77,Arcadia,écarté,Scarce,Caradori,archeologian,,,,,,,,,,,,,,,
78,Russia,Brussels,Bruges,BRUSSELS,Sussex,Baronet,,,,,,,,,,,,,,
79,Morocco,morocco,,,,,,,,,,,,,,,,,,
80,Scotland,Portland,Shetland,Moscow,,,,,,,,,,,,,,,,
81,Hollyock,Bullock,Shylock,,,,,,,,,,,,,,,,,
82,Temple,WATERLOO,Blooms-,Waterloo,Bayswater,,,,,,,,,,,,,,,
83,Kerahedy,Perry,Opera,Demerara,Persia,,,,,,,,,,,,,,,
84,Coventry,the Cannibal Islands,"Coventry
Island",Long Island,l’aisle,Coventry Island,,,,,,,,,,,,,,
85,Montmirail,Snaily,Trail,,,,,,,,,,,,,,,,,
86,PP,BRIGHTON,Knightsbridge,Brighten,Brighton,,,,,,,,,,,,,,,
87,the New Road,the Marquis of Stone’s,the Latin Grammar,the Arabian Nights,the Valley of Diamonds,the Straight Waistcoat,the dark sea,the South Sea,the Red Book,Bethesda Place,"the moon
aux",the Niagara cataract,the Queen of She,the H. H.,the Atlantic Ocean,the Dreams Roads,the Hyde Park,the Black Hole,the Magic Flute,the Green Avenue
88,Cologne,Boulogue,Boulogne,Boulevard de,,,,,,,,,,,,,,,,
89,Street,St. James’s Street,Gaunt Street,Hart Street,"Great Live
Street",Curzon Street,Greek Street,Greece,Threadneedle Street,,,,,,,,,,,
90,Contact,Continent,Golconda,Major,Bacon,Balcony,,,,,,,,,,,,,,
91,Gaunt,Great Gaunt,New Gaunt,Great Britain,Great Gaunt-,Great Gaunt Street,Gaunt-square,,,,,,,,,,,,,
92,Corydon,Don Juan,Japan,Rawdon,Wimbledon,,,,,,,,,,,,,,,
93,Clytemnestra,Asia,WA,Austria,Strasburg,Australasia,,,,,,,,,,,,,,
94,Peerage,Peer,,,,,,,,,,,,,,,,,,
95,Sands,Hands,,,,,,,,,,,,,,,,,,
96,Artist,Methusalem,Methodist,,,,,,,,,,,,,,,,,
97,Macmurdo,Cato,Kensington,"Kensington
Gardens",Kensington Gardens,,,,,,,,,,,,,,,
98,Yonder,Alderney,Ramchunder,Derby,Podder,Lederlung,Vienna,,,,,,,,,,,,,
99,Glorvina,Forlorn,Glorvima,,,,,,,,,,,,,,,,,
100,St.James’s Park,Ofcaane,Hyde Park,Park,"Park
Lane",,,,,,,,,,,,,,,
101,Belgium,Geography,be—.”—He,Belgravia,R.A.,,,,,,,,,,,,,,,
102,Harwich,Greenwich,Dulwich,Richmond,,,,,,,,,,,,,,,,
103,the Prince of Wales’s,the Residence of Madame,the Prince Regent,the Prince of Wales,,,,,,,,,,,,,,,,
104,Christchurch,Moorish,Paris,in’t,Bonaparty,,,,,,,,,,,,,,,
105,Lord Village,Ill,Piccadilly,Pillar Ago,"Stillbrook, Beck",Mill,Luggage Hill,,,,,,,,,,,,,
106,the City of London,London,IL,LONDON,London City,london,Londonderry,,,,,,,,,,,,,
107,East,East Indiaman,West Indian,India,East India,West India,,,,,,,,,,,,,,
108,Brougham,Champaign,Hamlin,Fulham,Langham,Cheltenham,,,,,,,,,,,,,,
109,Scorned,Hornby,Horn,Cornhill,Cork,Borne,Corner,Cornelia,,,,,,,,,,,,
110,Camelot,Amelia,Dearest Amelia,Dearest,,,,,,,,,,,,,,,,
111,Quadrant gardens,the Aurelius Garden,New Gardens,Gardens,Judenstadt,,,,,,,,,,,,,,,
112,Neapolitan,Britain,Britannia,Titania,Rule Britannia,,,,,,,,,,,,,,,
113,"the City, Sir",the City,Vanity,us City,City,,,,,,,,,,,,,,,
114,Rowson,Songs,ne&t,thou,Thomson,,,,,,,,,,,,,,,
115,Kalydor,Inside,Isidor,Monplaisir,,,,,,,,,,,,,,,,
116,Easter,Leicester,&c.,Winchester,Jupiter,Worcester,,,,,,,,,,,,,,
117,Islington,Wellingtons,Wellington,,,,,,,,,,,,,,,,,
118,New,York,New York,,,,,,,,,,,,,,,,,
119,Leeds,Threadneedle,Need,,,,,,,,,,,,,,,,,
120,beaux,Bordeaux,,,,,,,,,,,,,,,,,,
121,Slacken,Crackenbury,Lacken,,,,,,,,,,,,,,,,,
122,Devonshire,Somersetshire,Wiltshire,Cashmere,Yorkshire,Empire,Rome,Yorkshire and Somersetshire,,,,,,,,,,,,
123,Angelséme,Chapelle,Chapels,,,,,,,,,,,,,,,,,
124,Madame Strumpff,Madeira,Armada,,,,,,,,,,,,,,,,,
125,Zwieback,Cackle,,,,,,,,,,,,,,,,,,
