cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Chapelle,Helvellyn,Chapels,,,,,,,,,,,,,
1,Gardens,Quadrant gardens,"Kensington
Gardens",Kangaroo,Judenstadt,Kensington Gardens,New Gardens,Wiesbaden,Dresden,the Aurelius Garden,Sugar,,,,,
2,Morocco,morocco,,,,,,,,,,,,,,
3,Belgravia,Elbe,Belgium,be—.”—He,Elba,,,,,,,,,,,
4,Threadneedle,Need,Threadneedle Street,Leeds,,,,,,,,,,,,
5,Zwieback,Bacon,Combat,Baronet,Balcony,Contact,,,,,,,,,,
6,East,East India,East Indiaman,West Indian,India,West India,,,,,,,,,,
7,Folle,Hollyock,Follows,,,,,,,,,,,,,
8,Opera,Kerahedy,Persia,Europe,Perry,Demerara,,,,,,,,,,
9,"mind,.and",Minded,XX,ND,R.A.,Belinda,,,,,,,,,,
10,Cannes,Canada,Lausanne,Ofcaane,,,,,,,,,,,,
11,Italy,Britannia,Sultan,Rule Britannia,Titania,Britain,Neapolitan,planning;—no,,,,,,,,
12,LA,blanc,la,Bethesda Place,,,,,,,,,,,,
13,the Latin Grammar,the City,"the City, Sir",the H. H.,the Atlantic Ocean,the dark sea,~It,the Magic Flute,City,"the moon
aux",us City,the City of London,Vanity,,,
14,Hall,Mall,Ballinasloe,Smallest,Talleyrand,,,,,,,,,,,
15,M.P.,M.D.,P.S.,,,,,,,,,,,,,
16,Grosvenor,Venus,avec sa,Heavens,the Green Avenue,Venice,US,Silenus,,,,,,,,
17,Trumpet,Truth,Madame Strumpff,Pompeii,Pump,,,,,,,,,,,
18,Button,Butler,Calcutta,&.,Muddleton,Butts,Mutton,,,,,,,,,
19,Holland,Old England,Ireland,England,Shetland,Langham,Switzerland,Scotland,Newfoundland,Except Ireland,,,,,,
20,Blooms-,WATERLOO,Waterloo,Jupiter,Rookery,Bayswater,Batavier,WA,,,,,,,,
21,Wrench,Trenck,Florence,Frenchmen,Montmorency,,,,,,,,,,,
22,Turnham,Chatham,Thames,Haydn,Feltham,Fulham,Hamlin,Brougham,CHATHAM,Cheltenham,Champaign,,,,,
23,Mount Saint John,Saint Jean,Saint Kitts,Brainton,Saint Martin’s Lane,Saint Jams,Point-,Spain,the Russian Order of Saint Nicholas,Saint Helen,Flint,,,,,
24,New,the New Road,the Dreams Roads,,,,,,,,,,,,,
25,Thomson,Artist,Methodist,Methusalem,thou,,,,,,,,,,,
26,"St.
George’s",Geography,St. George’s,St. George’s Hospital,,,,,,,,,,,,
27,Smithfield,Gulielmo,Moorfields,Moorish,,,,,,,,,,,,
28,&.—Miss,Miss,Kissing,kiss,Miss.,,,,,,,,,,,
29,Peninsular,Peninsula,Nineveh,Consul,,,,,,,,,,,,
30,Billingsgate,Machiavellian,Camberwell,Wellington,Toeplitz,Wellingtons,Islington,Kensington,,,,,,,,
31,inn,Inn,Grass Inn,Vienna,Inn of mornings,inn-land-,,,,,,,,,,
32,girl””—and,"night,—and","care,—and",the Arabian Nights,quarters.—And,,,,,,,,,,,
33,MARS,Armada,Mars,Marengo,,,,,,,,,,,,
34,Prague,Peerage,the Peerage of Ireland,Peer,,,,,,,,,,,,
35,Tadyship,Ladyship,,,,,,,,,,,,,,
36,Russia,Angelséme,Bruges,Brunswick,BRUSSELS,Sussex,Brussels,,,,,,,,,
37,essie,Monsieur Isidor,Monseigneur,Isidor,Monsieur,Inside,Monplaisir,monsignori,,,,,,,,
38,PP,Schlippenschloppen,Puppets,,,,,,,,,,,,,
39,Liverpool,Lover,Dover,Silvery,Talavera,Sovereigns,,,,,,,,,,
40,Luggage Hill,"Stillbrook, Beck",Mill,Versailles,Pillar Ago,Achilles,Cecilia,Cornhill,Piccadilly,Ill,Lord Village,Murewell Hill,Gillespie,Wildbad,IL,
41,Jamaica,Cashmere,America,Africa,Camelot,,,,,,,,,,,
42,St.James’s Park,Far,Bonaparty,Hyde Park,Park,Paris,Compare,paragon,"Park
Lane",the Hyde Park,,,,,,
43,Clytemnestra,Australasia,Asia,Austria,Strasburg,,,,,,,,,,,
44,New York,York,Cork,Turkey,,,,,,,,,,,,
45,South-,Roehampton,Brompton,Southampton Row,Southampton,Southampton Gaol,Rochampton,Ak,the South Sea,,,,,,,
46,Gaunt Street,St. James’s Street,Greek Street,Street,Hart Street,"Great Live
Street",Curzon Street,,,,,,,,,
47,twenty eagles,Eagles,,,,,,,,,,,,,,
48,Mosses,Nassau,Masses,,,,,,,,,,,,,
49,the Cannibal Islands,Long Island,Coventry Island,l’aisle,Coventry,"Coventry
Island",,,,,,,,,,
50,Bohemian Libraries,Maria,Bulgaria,Siberia,Vittoria,,,,,,,,,,,
51,Boulevard de,Boulogne,Louis,Boulogue,Demagogue,,,,,,,,,,,
52,Winchester,Worcester,Leipzig,Temple,Leicester,Easter,,,,,,,,,,
53,"compliments,—if",Continent,Regan,Iphigenia,Regent,Brentford,Magnificent,,,,,,,,,
54,Bordeaux,Oxford,beaux,,,,,,,,,,,,,
55,Montmirail,Brazil,Trail,the Straight Waistcoat,Snaily,Trafalgar,,,,,,,,,,
56,Junior,Music,Metternich,Munich,Richelieu,,,,,,,,,,,
57,"ha,—there",Athen,Athens,Ghent,Carmarthenshire,Blenheim,,,,,,,,,,
58,&c.,C.B.,,,,,,,,,,,,,,
59,Cambridge,Ringwood,Songs,Kingdom,Brings,Tinge,Being,Charing,,,,,,,,
60,Podder,Flanders,Ramchunder,Yonder,Desert,Lederlung,Derby,,,,,,,,,
61,handkerchiefs,Windsor,Hands,Casgandra,Grand Uncle,Sands,,,,,,,,,,
62,Gaunt-square,Great Britain,Great Gaunt,Great Gaunt-,New Gaunt,Gaunt,Great Gaunt Street,,,,,,,,,
63,Club,Calumny,Albums,,,,,,,,,,,,,
