cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,LA,Talavera,la,blanc,,,,,,,,,,,,,,,
1,Miss,kiss,Kissing,&.—Miss,l’aisle,Miss.,,,,,,,,,,,,,
2,Elbe,Helvellyn,Belgium,Belinda,Elba,be—.”—He,Belgravia,,,,,,,,,,,,
3,inn,inn-land-,Spain,Grass Inn,Inn,Inn of mornings,Vienna,planning;—no,,,,,,,,,,,
4,Joy,Joy.,Enjoy,,,,,,,,,,,,,,,,
5,Easter,Leicester,Clytemnestra,Temple,Winchester,Wittgenstein,Stubbles,Leipzig,Worcester,,,,,,,,,,
6,Arcadia,écarté,Scarce,Caradori,archeologian,,,,,,,,,,,,,,
7,PP,Schlippenschloppen,Puppets,,,,,,,,,,,,,,,,
8,East,ST,West,Bierstadt,Oystherstown,History,St.,Artist,Ostend,Methodist,Dearest,St. Just,,,,,,,
9,&c.,C.B.,,,,,,,,,,,,,,,,,
10,Butler,Button,Butts,Muddleton,Calcutta,Mutton,,,,,,,,,,,,,
11,St. George’s,Geography,"St.
George’s",St. George’s Hospital,,,,,,,,,,,,,,,
12,the West Winds,the West End,the Straight Waistcoat,"West End Hotels,—nevertheless",West End,the West Ladies,West End Swell,twenty eagles,,,,,,,,,,,
13,Hampshire,HAMPSHIRE,Buckinghamshire,Devonshire,Shropshire,Empire,,,,,,,,,,,,,
14,Orleans,Wealthé Orleans,New Orleans,,,,,,,,,,,,,,,,
15,Billingsgate,Lord Village,Ill,Wildbad,Murewell Hill,Piccadilly,Pillar Ago,IL,"Stillbrook, Beck",Cornhill,Mill,Luggage Hill,,,,,,,
16,XX,Grosvenor,Provence,Providence,France,protégée,,,,,,,,,,,,,
17,Carmarthenshire,MARS,Maria,Marengo,Mars,quarters.—And,Maraschino,Armada,,,,,,,,,,,
18,Charing,Being,Kingdom,Brings,Ringwood,Songs,Tinge,Pineries,,,,,,,,,,,
19,Flanders,Holland,Ireland,Newfoundland,England,Switzerland,girl””—and,"care,—and",the Peerage of Ireland,Except Ireland,Scotland,Regan,Shetland,Old England,,,,,
20,Versailles,Silenus,Wales,Naples,Esq,Eagles,Tiles,Wesleyan,Nile,Gillespie,Achilles,,,,,,,,
21,Lausanne,Cannes,Ofcaane,Canada,,,,,,,,,,,,,,,
22,Morocco,morocco,,,,,,,,,,,,,,,,,
23,Boggleywollah,Bogglywollah,motley,Folle,,,,,,,,,,,,,,,
24,avec sa,Dover,Sovereigns,Liverpool,Silvery,Lover,,,,,,,,,,,,,
25,Pompeii,Pump,Madame Strumpff,Trumpet,Truth,,,,,,,,,,,,,,
26,Mrs,Fairs,MR,,,,,,,,,,,,,,,,
27,Mosses,Masses,essie,Nassau,,,,,,,,,,,,,,,
28,Peninsula,Peninsular,Consul,,,,,,,,,,,,,,,,
29,Christchurch,china,Chiswick,Harwich,China,Dulwich,Brunswick,CHISWICK,,,,,,,,,,,
30,Whitefriars,White Hermitage,WHITEFRIARS,Bulgaria,,,,,,,,,,,,,,,
31,Macmurdo,Canterbury,Mudbury,Highbury Barn,golden auburn,Edinburgh,,,,,,,,,,,,,
32,St. Pancras,St. Pitt’s,St. Paul’s,St. Petersburg,St. Kitts,,,,,,,,,,,,,,
33,"ha,—there",Feltham,Brougham,Chatham,Thames,Champaign,Thames St.,Hamlin,Turnham,Fulham,Haydn,CHATHAM,Langham,Cheltenham,,,,,
34,County Mildred,the County Dark,County,Mount,Viscount Hellborough,Mount St.,¢found,,,,,,,,,,,,
35,Mount Saint John,Saint Jean,Saint Martin’s Lane,Saint Helen,Saint Kitts,Saint Jams,,,,,,,,,,,,,
36,Kalydor,Hornby,Bagshot,Horn,Udolpho,Forlorn,Soho,,,,,,,,,,,,
37,Athens,Blenheim,Athen,Ghent,the Queen of She,Heavens,the Atlantic Ocean,the Green Avenue,,,,,,,,,,,
38,York,Junior,Cork,New York,,,,,,,,,,,,,,,
39,Ours,Turkey,Coursing,NURSE,Humours,Pompadour,,,,,,,,,,,,,
40,ND,"mind,.and",Minded,R.A.,,,,,,,,,,,,,,,
41,Gaunt,Great Gaunt,New Gaunt,Great Britain,Great Gaunt-,Great Gaunt Street,Gaunt-square,,,,,,,,,,,,
42,Monseigneur,Inside,monsignori,Monsieur Isidor,Monsieur,Isidor,Monplaisir,,,,,,,,,,,,
43,Gulielmo,Moorish,Moorfields,Fitzjurld,Smithfield,,,,,,,,,,,,,,
44,swan,Swamp Town,Swamptown,"Swamp Town
Gazette",,,,,,,,,,,,,,,
45,Prague,Boulogue,Boulogne,Demagogue,Louis,,,,,,,,,,,,,,
46,Talleyrand,Hall,Ballinasloe,Madeira,Mall,Salamanca,Smallest,Glenmalony,,,,,,,,,,,
47,Corydon,Babylon,Don Juan,Yonder,Long Acre,Curzon,Colony,Brandon,Polonia,London,Golconda,LONDON,Abandon,Rawdon,London City,Richmond,london,Londonderry,Wimbledon
48,Dresden,Frenchmen,Montmorency,Trenck,Florence,Wrench,Greenwich,,,,,,,,,,,,
49,St. John’s,"Mount
St. John","St. John’s
Wood",St. Mary’s,,,,,,,,,,,,,,,
50,Spiggot,Booterstown,the Red Book,Booth,Quashyboos,,,,,,,,,,,,,,
51,now*tYrant,Rowson,know-,OW,Follows,Bowls,Lowood,Cowes,Moscow,,,,,,,,,,
52,Batavier,WA,Jupiter,WATERLOO,Blooms-,Rookery,Waterloo,Bayswater,,,,,,,,,,,
53,Africa,Metternich,Cambridge,Camberwell,Siberia,Rotterdam,America,Jamaica,Cashmere,,,,,,,,,,
54,Brainton,Regent,"compliments,—if",Negation,Flint,Continent,Brentford,Point-,,,,,,,,,,,
55,Portsmouth,po,Quatorze,fort,Porteus,Port,Portland,Portansherry,,,,,,,,,,,
56,Club,ZZ,Calumny,Albums,,,,,,,,,,,,,,,
57,Hollyock,Bullock,Shylock,,,,,,,,,,,,,,,,
58,the Latin Grammar,curacao,the Arabian Nights,Pharaoh,Trafalgar,the Niagara cataract,,,,,,,,,,,,,
59,the City of London,the New Road,"the City, Sir","the moon
aux",the City,the Dreams Roads,us City,the Magic Flute,City,~It,,,,,,,,,
60,Roehampton,Southampton Row,the South Sea,Rochampton,thou,&.,Southampton,Brompton,South-,Southampton Gaol,Thomson,,,,,,,,
61,US,Russia,Brussels,Bruges,BRUSSELS,Sussex,,,,,,,,,,,,,
62,Bohemian Libraries,Sultan,Vittoria,Neapolitan,Britain,Britannia,Vanity,Titania,Rule Britannia,Italy,,,,,,,,,
63,Nob,Notgeung,Noir,,,,,,,,,,,,,,,,
64,Islington,Wellingtons,Kensington,Wellington,Toeplitz,,,,,,,,,,,,,,
65,Europe,Kerahedy,Perry,Peerage,Opera,Demerara,Peterwaradin,Peer,Persia,,,,,,,,,,
