cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0.0,Clapham,wham,Clapp,Pharaoh,,,,,,,,,,,,,,
1.0,Guarsmmn,Coguac,Mammn,Whitefriars,,,,,,,,,,,,,,
2.0,Bruges,DBruges,,,,,,,,,,,,,,,,
3.0,Bnden,Minden,Indeel,MIndnme Strumpff,,,,,,,,,,,,,,
4.0,Montmirail,Trail,Montmoreucy,,,,,,,,,,,,,,,
5.0,Scotch,"Scotch
livine",,,,,,,,,,,,,,,,
6.0,tlem,motley,gentlemnan.,Methusalem,"tlem ofl
302",,,,,,,,,,,,,
7.0,St. George's,"St.
Gcorge's",Dearest George,St. George's Hospital,,,,,,,,,,,,,,
8.0,West End,West,the West End,West End Swell,,,,,,,,,,,,,,
9.0,Litfe Gurds,ie.ele g-s,Macmurdo,,,,,,,,,,,,,,,
10.0,Finchley,HLEBO,Snch,a few lincs,,,,,,,,,,,,,,
11.0,Jovc,Jovel,,,,,,,,,,,,,,,,
12.0,fort,Miafortune,Fort Schwagerl,,,,,,,,,,,,,,,
13.0,anl,M.P.,husbanl,nanl,,,,,,,,,,,,,,
14.0,Cape Town,swan,Cape,Swamptown,,,,,,,,,,,,,,
15.0,Captsin,Cnptsin,,,,,,,,,,,,,,,,
16.0,Potentate,States,braten,Ites,,,,,,,,,,,,,,
17.0,"their eonfidential servants,-so",Hants,thein,bce sentimcntal,Servt,Rel Seas,,,,,,,,,,,,
18.0,East,Feasting,Beuty,Jingo,Destiny,,,,,,,,,,,,,
19.0,oaly,realy,Ialy,Italy,Kalydor,,,,,,,,,,,,,
20.0,Caven-,Ilave,Dalilah,Avernus,Mutila,,,,,,,,,,,,,
21.0,Moseow,Moscow,,,,,,,,,,,,,,,,
22.0,Hornby,Holborn,Hornsey,,,,,,,,,,,,,,,
23.0,England,lEngland,Englad,nglanl.,Englanl,Old England,Lngland,,,,,,,,,,,
24.0,Butc,Butler,,,,,,,,,,,,,,,,
25.0,Dundas,bund,Sundny,,,,,,,,,,,,,,,
26.0,denr,Denr,Denth,Dresden,,,,,,,,,,,,,,
27.0,Esquire,Squills,1squnire,Esq,,,,,,,,,,,,,,
28.0,instructiug,bucekskins,pekin,,,,,,,,,,,,,,,
