cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,Africa,Cafd,America,,,,,,,,,,,,,,,,,,,,,,
1,LA,Culais,Ilave,Black Bess,La,"La u
t",Prk Lane,Clapp,Lausanne,las,lawycrs,,,,,,,,,,,,,,
2,Caleutta,Beuty,salut.,talkativc,Calcutta,,,,,,,,,,,,,,,,,,,,
3,Regent,the Prince Regent,Regulus,EEGE,Brentford,EG,,,,,,,,,,,,,,,,,,,
4,oboy,boyl kHe,Bois,Kibob bBey,Nob,,,,,,,,,,,,,,,,,,,,
5,trgg,ggy,Strasburg,eTry,,,,,,,,,,,,,,,,,,,,,
6,H.H.,the H. H.,,,,,,,,,,,,,,,,,,,,,,,
7,Southampton Row,Rowson,Southampton Gaol,Southamptou,Brougham,Swamptown,Southanpton Row,Southampton,,,,,,,,,,,,,,,,,
8,Eagles,eagles,,,,,,,,,,,,,,,,,,,,,,,
9,bBritish,Moorish,the Britisl female,Pnris,Irishwomn,Cribb,Christin,lBritish,,,,,,,,,,,,,,,,,
10,Billingsgate,Versailles,Ill,Denmark Hill,Cornhill,Willia,Williamn,Piccadilly,Gillespie,Ill.,Stillbrook,IIlIll,Squills,Achilles,,,,,,,,,,,
11,Stumpy,Pump,Thrump,MIndnme Strumpff,,,,,,,,,,,,,,,,,,,,,
12,ueen,"Hushl
sileneel",Gueen,Wuen,lnjee,Sehxueuelt,,,,,,,,,,,,,,,,,,,
13,los,lome,los.,,,,,,,,,,,,,,,,,,,,,,
14,Macmurdo,Mulbury,Albums,Bulbul,Canterbury,Mudbury,Bloomnsbury,Bbur,,,,,,,,,,,,,,,,,
15,Gray,Grady,Geograply,Fraucis,Gayd,Grays Inn,,,,,,,,,,,,,,,,,,,
16,Morocco,moro,morocco,Roc,,,,,,,,,,,,,,,,,,,,,
17,Kew Gardens,kensington Gardens,Wittgenstein,inn-gardens,"Kensington
Gardens",Kensington Gardens,W1,Peninsula,the Aurelius Garden,Kensington,consin,,,,,,,,,,,,,,
18,Iun,ZN,Tomeuvesiun,niue,Munoz,bund,Punjaub,MIud-,IHIul,,,,,,,,,,,,,,,,
19,L1,Englad,the Cannibal Islands,Flanders,Englanl,Newfoundland,the Grand Mogl,England,Sands,Holland,Lngland,Ireland,Garlands,lEngland,Long Island,nglanl.,Switserland,Old England,,,,,,,
20,sC,Scotch,Christchurch,"Scotch
livine",,,,,,,,,,,,,,,,,,,,,
21,Jcw,kncw,,,,,,,,,,,,,,,,,,,,,,,
22,Bengal,Bcngal,Kangaroo,lng,RBengal,,,,,,,,,,,,,,,,,,,,
23,Buxton,Alton,Cato,PINETON,Stilton,Osbaldiston,Albion,,,,,,,,,,,,,,,,,,
24,&c.,c.,C.B.,,,,,,,,,,,,,,,,,,,,,,
25,Fcltham,Champague,that1,Chatham,Hants,Thames,Thames St.,havc,Hampsteud,Cheltenham,Chaffers,Clapham,handkerchiefs,That Hampshire,Nuthan,Fulham,wham,,,,,,,,
26,County,n Court-,abot county,County Kildnre,naccounts,Counceil,Countcss,,,,,,,,,,,,,,,,,,
27,"Ih
'",Ihh,,,,,,,,,,,,,,,,,,,,,,,
28,8he,whef,eHe,wteh,wretehe,Wiuehester,Shehas,sueh,,,,,,,,,,,,,,,,,
29,I1l,Amclia,Ameclia,Amcelia,Parliamnent,Anclia,MAmclia,Mmclia,,,,,,,,,,,,,,,,,
30,Gaunt,Mount,bounl,"Mount
St. Jolmn",Mount St.,Gaunt IHouse-,New Gnunt,Mount Saint John,Pountain,Younr,,,,,,,,,,,,,,,
31,Miafortune,Beforo,Oxford,fort,Porteus,Bedford,forer yearas,beforc,Fort Schwagerl,Port,,,,,,,,,,,,,,,
32,Susses,usunl,Iused,hosses,Molasses,Sussex,,,,,,,,,,,,,,,,,,,
33,East,Feasting,Jingo,Ealing,instructiug,eating'and,,,,,,,,,,,,,,,,,,,
34,France,Geran,Iodgers,perseverancc,Geueral,Demerara,Germany,,,,,,,,,,,,,,,,,,
35,Thecn,uecn,thecn,thein,,,,,,,,,,,,,,,,,,,,,
