cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,Cambridge,Knightsbridge,Sambo,Cnnbridge,Camberwell,C.B.,,,,,,,,,,,,,,,,
1,yoursell,Macmurdo,Houri,nhl,nursemnid,Tours,,,,,,,,,,,,,,,,
2,LA,Regent,Ghent,the Prince Regent,Regulus,EEGE,Iphigenia,,,,,,,,,,,,,,,
3,cople,Naples,Temple,W. T.'a,,,,,,,,,,,,,,,,,,
4,Pompeii,accompanicd,Mt,pomatum,cr,Pompadour,LE,,,,,,,,,,,,,,,
5,Cuptain,"Cnptain
Dobbsin",obtainel,Cnaptain,Pountain,,,,,,,,,,,,,,,,,
6,Stumpy,Pump,Thrump,Mammn,stueco,,,,,,,,,,,,,,,,,
7,Culais,Mlonplaisir,Jais,,,,,,,,,,,,,,,,,,,
8,Eagles,kc,eagles,Wales,los.,do't,Begleitung,Stubbles,sueh,,,,,,,,,,,,,
9,wy,Buxton,Mls,PINETON,Fuddleston,MIud-,Darton,,,,,,,,,,,,,,,
10,bBritish,the Britisl female,British Boulogne,lBritish,,,,,,,,,,,,,,,,,,
11,Eaut,beaux,Bordeaux,,,,,,,,,,,,,,,,,,,
12,Irdia,Iudia,,,,,,,,,,,,,,,,,,,,
13,Gauut,Gaunt,Gaunt IHouse-,hai,mde,,,,,,,,,,,,,,,,,
14,Spuain,Spain,Wuen,Sainut Martin's,Maintenon,,,,,,,,,,,,,,,,,
15,Schliisselback,nwe,Humbourg-Schlippensehloppen,"La u
t",Elba,Brssels,,,,,,,,,,,,,,,,
16,Zwieback,Black Bess,c.,"aD OIWIE
lL",pubkic,Cackle,,,,,,,,,,,,,,,,
17,Gray,Grady,Geograply,cnrls,,,,,,,,,,,,,,,,,,
18,"Bouleard de
Gand",pule,,,,,,,,,,,,,,,,,,,,
19,Sovecreign,Jovel,Soereign,Sovereigns,,,,,,,,,,,,,,,,,,
20,I1l,Morocco,moro,morocco,YERY,MD,Borodino,Roc,WY,,,,,,,,,,,,,
21,Barbar,Bart,Baronet,,,,,,,,,,,,,,,,,,,
22,Jupiter,Butc,La,"L

l
-'Y",Ites,Pitt,,,,,,,,,,,,,,,,
23,Kew Gardens,kensington Gardens,Hardenberg,inn-gardens,boyl kHe,"Kensington
Gardens",Kensington Gardens,Kensington,,,,,,,,,,,,,,
24,Englad,Englanl,England,Lngland,lEngland,nglanl.,Old England,,,,,,,,,,,,,,,
25,Sands,cn lny,Rowlnand,Garlands,"South Sen
Islands",wonld,,,,,,,,,,,,,,,,
26,trgg,Scotch,Moscow,"Scotch
livine",,,,,,,,,,,,,,,,,,
27,Denmark Hill,Denmark,Troy,Glenmalony,,,,,,,,,,,,,,,,,,
28,L1,Jemia,Jemima,MIaras,,,,,,,,,,,,,,,,,,
29,Fcltham,Champague,that1,Chatham,Thames,Thames St.,Chaffers,,,,,,,,,,,,,,,
30,Wildbad,"Baden
Baden",Baden,Wiesbaden,,,,,,,,,,,,,,,,,,
31,IA,Lnglish,Legaey,lis cen,lng,,,,,,,,,,,,,,,,,
32,Ocean,bDean,"ia
1

2",,,,,,,,,,,,,,,,,,,
33,8he,Blecss,Blenheim,Gayd,,,,,,,,,,,,,,,,,,
34,Lntin,Continent,Bantings,,,,,,,,,,,,,,,,,,,
35,Miafortune,fort,beforc,d'h6te,Fort Schwagerl,,,,,,,,,,,,,,,,,
36,East,Rel Seas,Feasting,Jingo,Christin,Destiny,,,,,,,,,,,,,,,,
37,Thecn,uecn,thecn,thein,,,,,,,,,,,,,,,,,,
38,Wittgenstein,Steyne,Lsdy Steyue,Ostend,,,,,,,,,,,,,,,,,,
39,History,Christchurch,Rector,Osbaldiston,,,,,,,,,,,,,,,,,,
40,St.,"St.
aul's",LVI,,,,,,,,,,,,,,,,,,,
41,Hawdon Crawley,Crawley,Lidy Crawley,Crawlcey avenue,ns Crawley,Crnwley,Lndy Crawley,Crawlcey,Laly Crawley,"Lsdy
Crawley",Crasley,,,,,,,,,,,
42,Beeky,Beek,,,,,,,,,,,,,,,,,,,,
43,Bethesda Place,Emm,ACESIO8a,Portlnnd Place,,,,,,,,,,,,,,,,,,
44,St. George's,St. George's Hospital,Dearest George,"St.
Gcorge's",,,,,,,,,,,,,,,,,,
45,Londou,iu London,London,Londonderry,Md,LONDON,london,,,,,,,,,,,,,,,
46,melia,mel,Lndy Amelia,Amelia,MAmelia,Hodlsor,Mmelia,Armelia,Mmeli,Melia,,,,,,,,,,,,
47,"Ih
'",IL,Iused,,,,,,,,,,,,,,,,,,,
48,anl,HOAI,Bagshot,husbanl,nanl,,,,,,,,,,,,,,,,,
49,Inlia,Cecilia,EL,Ili,wasa,,,,,,,,,,,,,,,,,
50,thie City,tle City,the City:,"the City, Sir",the City of London,the City,the Fre City of JudenstuIt,tle City nt,1he city,thce city,,,,,,,,,,,,
51,ns sle,ns wc,Aud,,,,,,,,,,,,,,,,,,,
52,Beforo,Oxford,Bedford,forer yearas,Lordslip,Brentford,,,,,,,,,,,,,,,,
53,Leeds,Threadneedle,ahre,,,,,,,,,,,,,,,,,,,
54,Felthm,Cheltenham,Sehxueuelt,,,,,,,,,,,,,,,,,,,
55,Bombay,Bombasy,,,,,,,,,,,,,,,,,,,,
56,Bullock,Bulloeks,Shylock,Mliss lBullock,Bulbul,Bulloeck,,,,,,,,,,,,,,,,
57,"Stillbrook, Becky",Iecky,Decky,IBecky,Becky,Beocky,Bccky,lecky,,,,,,,,,,,,,,
58,the Peerage of Ireland,Peerage,EI,Geueral,Peer,Punjaub,,,,,,,,,,,,,,,,
59,know-,Brompton,Bromptou,hBrompton,,,,,,,,,,,,,,,,,,
60,Rebecn,RBebecca,Rebecec,Ilebecca,Rebecca,Rzebecca,AZ,"Rebeccas
snid",Quebec,aske Rebecca,HRebecca,W1,Hebecca,Rlebecca,Bebecca,lebecca,llebeccn,,,,,
61,Seeretary,seeret,Eerybody,Iereditary,wretehe,Coguac,Cashmere,nnswerel,Wlere,"ceremony,-I",,,,,,,,,,,,
62,XVII,Louis XVIII,XVIII,Louis,,,,,,,,,,,,,,,,,,
63,Parc,paragon,Parliamnent,LE-----7s,Paris,Transpareney,Bonaparty,,,,,,,,,,,,,,,
64,Snuf,lnjee,,,,,,,,,,,,,,,,,,,,
65,los,Britannia,Brittany,Neapolitan,Britain,Nenpelitan,Hritannia,Great Britain,Titania,,,,,,,,,,,,,
66,Salamanca,salut.,Methusalem,,,,,,,,,,,,,,,,,,,
67,Snch,Trenck,Frenchwoan,Finchley,Frenchmen,Frenchi,Freneh,Cupil,Trssarenc,Frenchmnan,AI,,,,,,,,,,,
68,the Ring of yde Park,Hyde Park,the Pariser Hof,Hyle Park,,,,,,,,,,,,,,,,,,
69,St. James's,St. Johu's,St. Achenl,"Mount
St. Jolmn",St. Just,,,,,,,,,,,,,,,,,
70,respecetful virgin,Iaithful,Smithfield,Fulham,wonlerful,,,,,,,,,,,,,,,,,
71,bounl,usunl,hounls,lawycrs,Younr,,,,,,,,,,,,,,,,,
72,Briglton,Brighton,Io,lrighton,,,,,,,,,,,,,,,,,,
73,Hussell,Russell squre,Brussels,Russell,RBussell-square,Sussex,,,,,,,,,,,,,,,,
74,the New Road,Club,oboy,the Arabian Nights,Ms'am,the MIadras Rouds,the Grand Mogl,the Bay,the Red Baook,the H. H.,the Blaek Hole,the Magic Flute,the Ale-Verle,the Boule d'Or,"the ivory
hamer",the Valley of Diamonds,the dark sea,the Artlur of her day,the St. Leger,the Insuranee Offios,the Aurelius Garden,the Prince of Wales
75,Liverpool,livcd,Dover,Avernus,,,,,,,,,,,,,,,,,,
76,llebccca,Rebccca,HLEBO,,,,,,,,,,,,,,,,,,,
77,Reheecca,XXII,Rcecca,Cafd,Rebcecca,Relecca,,,,,,,,,,,,,,,,
78,Perigord,Perhnps,Opera,,,,,,,,,,,,,,,,,,,
79,Iahimo,Loulon,"Bois de
Boulogne",Mi,Boulognef,ZN,Bois de Boulogne,Cologne,Bois,Boulogne,Jos,,,,,,,,,,,
80,It'as,MrIao,Siberia,Whitefriars,Vittoria,Egeria,,,,,,,,,,,,,,,,
81,Kalydor,realy,oaly,Laly Emily,Laly,wteh,Ialy,Italy,,,,,,,,,,,,,,
82,Surrey,TT,Nob,Trcasurer,,,,,,,,,,,,,,,,,,
83,Major,Meejor,Msjor,Nsjor,,,,,,,,,,,,,,,,,,
84,"iittlo
linner",Inn,linnr,inn,Slc,Grays Inn,Thavies Inn,Inn of,,,,,,,,,,,,,,
85,Rio Janeiro,Park,"Park
Lane",Prk Lane,ark,Park lLane,,,,,,,,,,,,,,,,
86,Sultan,Hawaon,Consul,Peninsula,Ems,consin,,,,,,,,,,,,,,,,
87,Munich,MIichael,Dulwich,mny,Greenwich,,,,,,,,,,,,,,,,,
88,Jabotiire,sospiri,Impire,Empire,1squnire,Esquire,,,,,,,,,,,,,,,,
89,perseverancc,bDixonary,personasge,Persia,Nassau,,,,,,,,,,,,,,,,,
90,thcm iu,thcm,Athcns,thc kingdom,,,,,,,,,,,,,,,,,,
91,Omplle,LLLLE,nolle,tres spirituelle,M1AEPIEA,x--,,,,,,,,,,,,,,,,
92,NoEL,Litfe Gurds,ie.ele g-s,Esq,anele,,,,,,,,,,,,,,,,,
93,ny,Cowes,West,Wesleyan,Lewes,,,,,,,,,,,,,,,,,
94,Prague,ueen,Gueen,bDemagogue,,,,,,,,,,,,,,,,,,
95,Machiavellian,Willia,Williamn,,,,,,,,,,,,,,,,,,,
96,rI,"Hushl
sileneel",Ile,Nile,,,,,,,,,,,,,,,,,,
97,Babylon,Long Acre,Longwood,Tn,,,,,,,,,,,,,,,,,,
98,Ramsgate,Margate,heaen,L W,,,,,,,,,,,,,,,,,,
99,Rowson,thou,thosc,Thomson,,,,,,,,,,,,,,,,,,
100,Good Gol,Goliah,Oliseick,Munoz,,,,,,,,,,,,,,,,,,
101,Dobbinu,ye Dob,Dob,dasys,Dobin,Dobbin,Dobbsin,Soho,il,,,,,,,,,,,,,
102,South-,Southdowu,"Lady
Southdown's",Soutludown,Lorlsouthdown,,,,,,,,,,,,,,,,,
103,Moorish,Pnris,Irishwomn,Al,Iromn,IM,Firin,,,,,,,,,,,,,,,
104,chnmbermaid,Jamaic,Mairas,Bramah,,,,,,,,,,,,,,,,,,
105,"dnys,-",Malonys,nys,niue,,,,,,,,,,,,,,,,,,
106,"tlc
East India Company's",West Indian,West India,West Indies,auut,East India,,,,,,,,,,,,,,,,
107,whef,hepherd,"rv
l",IHERO,whero,wherc,,,,,,,,,,,,,,,,
108,ia,Cato,India,Indisn,India1,the Chickasaw Indians,Indin,Lndies,,,,,,,,,,,,,,
109,grin-'`Brazil,LLxE,Brazil,brazil,,,,,,,,,,,,,,,,,,
110,Mahometan,lome,Tomeuvesiun,Rome,,,,,,,,,,,,,,,,,,
111,&c.,eHe,"Lcicester
Bquare",Wiuehester,Westminster,Manchester,,,,,,,,,,,,,,,,
112,Caven-,Grosvenor,Henven,,,,,,,,,,,,,,,,,,,
113,Belgravia,Belginns,Belgium iu,Belgium,,,,,,,,,,,,,,,,,,
114,Cumbrilge,hpril,Brilge,Goneril,,,,,,,,,,,,,,,,,,
115,whitherP,havc,nnother,Therc,brother--,lBoth,,,,,,,,,,,,,,,,
116,Fuir,May Fuir,,,,,,,,,,,,,,,,,,,,
117,WHICII JO3 TAKEs,WHICII,WRICII,whiceh,,,,,,,,,,,,,,,,,,
118,Colonies,Colony,Polonis,Prinee Polonia's,,,,,,,,,,,,,,,,,,
119,IIammerlown,Waterloo,Wterloo,Blooms-,,,,,,,,,,,,,,,,,,
120,Iun,Egnlite Orleans,Orleans,mo,Orlenns,the Duke of Orleans,New Orleans,,,,,,,,,,,,,,,
121,Hampsteud,Hampshire,That Hampshire,IInmpshire,HIampshire,IIampshire,,,,,,,,,,,,,,,,
122,ggy,Holborn,Hornby,Hornsey,,,,,,,,,,,,,,,,,,
123,HIorroeks,froek,,,,,,,,,,,,,,,,,,,,
124,nda,Mirnnda,nnd,,,,,,,,,,,,,,,,,,,
125,mn,"Hawdon
nnd",llawdon,kawdon,Rnwdon,wdon,Rawdon,,,,,,,,,,,,,,,
126,Anelia,P.S.,Auelia,M.P.,Amcelia,lelia,Aielia,Aelia,,,,,,,,,,,,,,
127,Rcbecea,Rcbecca,Ilcbecca,Recbecca,Kibob bBey,,,,,,,,,,,,,,,,,
128,Marin,Miaria,Maria,Bulgaria,,,,,,,,,,,,,,,,,,
129,Sereuities,Desert,"their eonfidential servants,-so",Servt,,,,,,,,,,,,,,,,,,
130,Rebeecn,Rebeecca,Rebeeca,,,,,,,,,,,,,,,,,,,
131,Iodon,Don Juan,Loudon,Udolplo,,,,,,,,,,,,,,,,,,
132,Fakce,Ilnr,Trnncis,,,,,,,,,,,,,,,,,,,
133,lEurope,Lurope,Aeis,Europe,bDidn't,,,,,,,,,,,,,,,,,
134,"Yis
l
l
- .","L
l
e.","L
L",,,,,,,,,,,,,,,,,,,
135,Canada,Lausanne,Cannes,,,,,,,,,,,,,,,,,,,
136,"like,-declarig","L 
ti

e:",Clapp,Clapham,Brougham,wham,,,,,,,,,,,,,,,,
137,n Court-,quurtera,Mozurt,,,,,,,,,,,,,,,,,,,
138,Nanoleon,Wet,Nnpoleon,Polal,,,,,,,,,,,,,,,,,,
139,Glorina,Glorvinn,Glowry,Glorvina,,,,,,,,,,,,,,,,,,
140,abrond libcrally,calle,Hall,Vnuslall,Ballinasloe,,,,,,,,,,,,,,,,,
141,Schiool,chino,China,kncw,Maraschino,china,OW,sunshine ns,,,,,,,,,,,,,,
142,Jena,Chcltenam,Turkey,Fitzjurld,,,,,,,,,,,,,,,,,,
143,nh pa-ages,DBruges,UK,rouge,Bruges,,,,,,,,,,,,,,,,,
144,Hants,chieerful,handkerchiefs,HIE0,,,,,,,,,,,,,,,,,,
145,Cnptsin,Cape,Captsin,,,,,,,,,,,,,,,,,,,
146,Yon'rc,yong,Yon'll,Yonder,,,,,,,,,,,,,,,,,,
147,HIoggarty,Kangaroo,Trafalgar,Trail,,,,,,,,,,,,,,,,,,
148,Mulbury,Canterbury,Mudbury,Bloomnsbury,,,,,,,,,,,,,,,,,,
149,Geran,Iodgers,O'Dow,Dowsger,,,,,,,,,,,,,,,,,,
150,Gazette,Debrett,Potztauscnd-Donncrwetter,,,,,,,,,,,,,,,,,,,
151,Mlaleira,Mndeira,Jovc,Maleira,Leipzig,Madeira,Mal,,,,,,,,,,,,,,,
152,papa2,Japan,"Lf
L",,,,,,,,,,,,,,,,,,,
153,New Gnunt-street,mistrees,Curzon Street,"Half Moon
Street",Threadneedle Street,Hart Street,Baker Street,postre,Greek Street,,,,,,,,,,,,,
154,Amnelin,Mmelin,Belinda,Amelin,Camelot,ks,Aelin,Amelina,,,,,,,,,,,,,,
155,Goernorship,Ladyslip,Lnadyship,Ladyship,NH,Lorlship,,,,,,,,,,,,,,,,
156,Hollyock,Holland,Bogglywollah,Mlelulla,,,,,,,,,,,,,,,,,,
157,the West End,West End,West End Swell,,,,,,,,,,,,,,,,,,,
158,Alton,Pilt,Stilton,Stillbrook,,,,,,,,,,,,,,,,,,
159,Fulam Road West,the West Indies,Miesty,"the West
Eul-Capting Ragg",the West Indics,the West Inies,M.P,the West Inlies,,,,,,,,,,,,,,
160,Charing,Charlotte hnd,Rotterdam,Charlotte,,,,,,,,,,,,,,,,,,
161,MIonsieur Isidor,Monsieur,Isidor,Monsieur Isidor,Monseineur,societ,,,,,,,,,,,,,,,,
162,Bierstadt,Oystherstown,eWe,Cape Town,Booterstown,,,,,,,,,,,,,,,,,
163,Guarsmmn,Euarl,lEarl,awarl,,,,,,,,,,,,,,,,,,
164,Dresden,Denth,Enrl,denr,yenr,Denr,,,,,,,,,,,,,,,,
165,Lcipzig,Sundny,Cribb,WI,Dundas,bund,Ihh,,,,,,,,,,,,,,,
166,France,Rlorence,Providence,Ience,Florence,,,,,,,,,,,,,,,,,
167,mo thie,IILRO,Iamily,Hnll,THIE P1YIILY,Bgwig,,,,,,,,,,,,,,,,
168,Madrns,Madrs,Madras,Mndras,,,,,,,,,,,,,,,,,,
169,ns,slc,Richmond,Richnond,Maakou,Jericho,Richelieu,nona,,,,,,,,,,,,,,
170,Puppets,Peterwaralin,Peterwaradin,,,,,,,,,,,,,,,,,,,
171,Versailles,Gillespie,tn,Achilles,,,,,,,,,,,,,,,,,,
172,Africa,Pineries,Neamero,America,,,,,,,,,,,,,,,,,,
173,Flanders,Newfoundland,Shetland,Ireland,Sootland,Scotland,Portland,Switserland,,,,,,,,,,,,,,
174,Us,Ill,Cornhill,Piccadilly,Ill.,IIlIll,Squills,,,,,,,,,,,,,,,
175,Porteus,eWIy,Portansherry,Port,,,,,,,,,,,,,,,,,,
176,Faro,Mareh,Marouis,Cimarosa,,,,,,,,,,,,,,,,,,
177,County,Mount,abot county,County Kildnre,Mount St.,naccounts,Counceil,Countcss,,,,,,,,,,,,,,
178,Chiswick,CIII9WICK,Ricketts,nucl wickeder,Lncken,Brunswick,,,,,,,,,,,,,,,,
179,"night,-and","suffers,-and","Jos,-and",,,,,,,,,,,,,,,,,,,
180,Armada,Armageddon,,,,,,,,,,,,,,,,,,,,
181,Southampton Row,Southampton Gaol,Southamptou,Roehampton,Swamptown,Southanpton Row,Southampton,Nuthan,,,,,,,,,,,,,,
182,Asia,Prussin,the Russian Order of Sint Nicholas,Icst,Ilussia,Russia,,,,,,,,,,,,,,,,
183,Binkie,Binkic,Abingdon,Dolbin,,,,,,,,,,,,,,,,,,
184,deeorum,Cnptain George Osborue,Osbome,Oslorue,Osborue,,,,,,,,,,,,,,,,,
185,Funey,sC,Bronet,nlone,"onee
ore",Spooney,Boney,,,,,,,,,,,,,,,
186,aflairs tn,Fairs,"Wapping Old
Btairs",,,,,,,,,,,,,,,,,,,
187,St. Helena,Suint Helena,Saint Jean,Mount Saint John,Saint Helena,Saint IIelena,,,,,,,,,,,,,,,,
188,Coventry,the Cannibal Islands,Molyneus,"Coventry
Island",Long Island,Coventry Island,eTry,,,,,,,,,,,,,,,
189,instructiug,pekin,bucekskins,,,,,,,,,,,,,,,,,,,
190,rufs,Beuty,----LLf,Ny,,,,,,,,,,,,,,,,,,
191,Curzon,curcao,,,,,,,,,,,,,,,,,,,,
192,Iront,YAGABOND,withont,Montmoreucy,bont,,,,,,,,,,,,,,,,,
193,Corporal,Concord,Gcorgy,Cork,Corsicnn,Valencicnnes,,,,,,,,,,,,,,,,
194,IIERO,ero,HEERO,,,,,,,,,,,,,,,,,,,
195,linendraer,Dubliu,a few lincs,bDulin,Dublin,Dnblin,Pnrlinmcnt,A20,,,,,,,,,,,,,,
196,Susses,las,hosses,Molasses,,,,,,,,,,,,,,,,,,
197,Ma'am,Moira Plaee,Pulaee,plaee,,,,,,,,,,,,,,,,,,
198,Vanity Fuir,YANITY AIR,YANIY AI,Vnnity,Mn,Panitatan,Vanity,,,,,,,,,,,,,,,
199,Amclia,Ameclia,Anclia,MAmclia,Mmclia,,,,,,,,,,,,,,,,,
200,Great Gaunt-,Great Gaunt Strcet,Gaunt Street,Grcat Gaunt Street,Great Gaunt Street,,,,,,,,,,,,,,,,,
201,Marquuis,the Mnrquis of,Mnrquis,Fraucis,Marquisl,,,,,,,,,,,,,,,,,
202,"fell,-she",Sheba,Shehas,,,,,,,,,,,,,,,,,,,
203,Bengal,Bcngal,RBengal,Slnve,,,,,,,,,,,,,,,,,,
204,Luura,Lnura,,,,,,,,,,,,,,,,,,,,
205,braten,Magnificent,bce sentimcntal,Potentate,States,,,,,,,,,,,,,,,,,
206,Yorkshire,Crmrthenshire,Buckinghamshire,Devonshire,Somersetshire,Wiltshire,Hnmshire,Iapshire,,,,,,,,,,,,,,
207,Ilave,SB,Mutila,lalies,Dalilah,,,,,,,,,,,,,,,,,
208,Alderney,Derby,Loder,Podder,"L
II",Lederlung,,,,,,,,,,,,,,,,
209,daya,Buuday,Moseow,,,,,,,,,,,,,,,,,,,
210,Bicetre,Notre,EG,Notn,,,,,,,,,,,,,,,,,,
211,II.R.II,oman,Manton,Mango,Cracksman,Germany,Manmma,,,,,,,,,,,,,,,
212,Billingsgate,Slingstone,Islington,Ealing,Wellingtons,Wcllington,Wellington,,,,,,,,,,,,,,,
213,motley,gentlemnan.,Butler,tlem,"tlem ofl
302",,,,,,,,,,,,,,,,,
214,Ritles,hwve yoeu,"itl
A",itl,,,,,,,,,,,,,,,,,,
215,Jcw,Hnd Relccca's,Ielccca,"L
-a--",Relccca,,,,,,,,,,,,,,,,,
216,Burschen,golden auburn,Strasburg,Edinburgh,Bbur,,,,,,,,,,,,,,,,,
217,Demerara,Pharaoh,Caradori,Caradoes,IHIul,,,,,,,,,,,,,,,,,
218,Albums,Albany,Albion,Caen,,,,,,,,,,,,,,,,,,
219,St. Peter's,St. Paneras,St. Vincent's,St. Paul's,,,,,,,,,,,,,,,,,,
220,Caleutta,"MD COIIDMTtAD
--IIIYr",Cutts,Calcutta,,,,,,,,,,,,,,,,,,
221,ths City,thc city,us City,City,,,,,,,,,,,,,,,,,,
222,Mliss,kiss,Miss.,,,,,,,,,,,,,,,,,,,
223,H.H.,swan,Bayswater,,,,,,,,,,,,,,,,,,,
224,York,New Gnunt,New York,,,,,,,,,,,,,,,,,,,
225,Eny,,,,,,,,,,,,,,,,,,,,,
226,the Latin Grammar,meditatiaon,talkativc,eating'and,Iatin,,,,,,,,,,,,,,,,,
227,Stadthnus,Venus,Silenus,Yenus,,,,,,,,,,,,,,,,,,
228,Bnden,MIndnme Strumpff,Indeel,Minden,,,,,,,,,,,,,,,,,,
229,Iirst,Montmirail,MIrs.,MIrs,,,,,,,,,,,,,,,,,,
230,St. Kitt's,Cnlumny,Saint Kitts,St. Kitts,,,,,,,,,,,,,,,,,,
231,pcrhaps,Chapelle,Chapels,,,,,,,,,,,,,,,,,,,
232,Batavier,Brienne,Vienna,,,,,,,,,,,,,,,,,,,
