cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,us,Er,této,Caia,Vamos,HU,,,,,,,
1,pre,Premia,Repreensões,Desprender,,,,,,,,,
2,Podia,Compreendia,tragedia,Diabo,"Via

DIARIO DUMA",dulcida,comedia,Baixa,,,,,
3,"casa dos
Carneiros",Teresita do barbeiro,Situa Gameiro,Casas,,,,,,,,,
4,Soror Claudea,Aplausos,Vai-to,So,Tejo,Pobre Soror Claudoa,Adro Claudoa,Claudea,,,,,
5,Ina da Camera Rego,"Lisa da
Roda",Numero,,,,,,,,,,
6,Dahi,ahi,,,,,,,,,,,
7,terra,oças,Una,Jarras,Inglaterra,,,,,,,,
8,lha,Filhas,Olha,Zarôlha,,,,,,,,,
9,"SACRIFIGADA

Falou",SACRIFIGADA,"SACRIFIGADA

Y",Diga,,,,,,,,,
10,Africa,America,tisica,Amérricana,Tica,Maricas,Amérrica,,,,,,
11,Acordara,Ihe,Recordava,"ú

Acordara",,,,,,,,,
12,Pobre 'Ferczinha,coitadinha,Vinha,Mariquinhas,Tenha,minas batatinhas,Aninhei-me,condessinha,cosinha,caldeirinha magica,Vergonhas,Zéfinha da horta,Espanha
13,Perdão,Superior,intemperies,cemiterio público,,,,,,,,,
14,Santo Deus,santo Deus,FEL Intona,Auto da « Sebenta,Adeus,,,,,,,,
15,Invas,vonva,vasia,Grão-Vasco,bôca vasia,silvas,,,,,,,
16,Aquelle,aquella calúnia,aquelle,bôas,aquella santa casa,Aquella,Naquelle,paquêta,naquelle,,,,
17,Olhe,Eolheto,Olho-o,Veja-lhe,,,,,,,,,
18,úti-,Infias,Inf,Confiando da Ama-Rita,desconfiança,,,,,,,,
19,Havana,Cavalinho,"pas-
ava",atordoava,pormenorisava,"olla mote-
java",Abraçava,,,,,,
20,Peniche...,EN,dôce,Peniche,Já,,,,,,,,
21,Pedir,hóspeda,Pedro Cem,,,,,,,,,,
22,Choravam,ix,Horída,Chorava,,,,,,,,,
23,Abrenuncio,Jhiam,lugubre,opulencia,,,,,,,,,
24,Próspera,!,Viera,Ds,S.º,Fôra,Disseração,,,,,,
25,têo,Estive,estrada,Estremoz,Encostada,tra,,,,,,,
26,Sorria,Cederia,Iria,Sorrisos,,,,,,,,,
27,Talhados,Prós-,Morgado,salvadora,Sagrado,Estados-Unidos,,,,,,,
28,COIMBRA,Lembrara,braza,Coisa,Coimbra,Córei,Academia do Coimbra,,,,,,
29,contér,Contos,Continuará,,,,,,,,,,
30,"Biblioteca de propaganda educativos
e distribuição gratuita",Colombo,Triste,"mem-
ro da aristocracia britanica",tristeza,,,,,,,,
31,herva,Peito,Ilte,Geitoso,feitôr,,,,,,,,
32,sahir,TO,Sahira,hade sahir,Sahi,Sahir,,,,,,,
33,Ai,Cacilda,sus el,Pa-,Eóló,,,,,,,,
34,Cho-,Ixreutzss,Fechou,,,,,,,,,,
35,Resignada,álacres,Sévres,Bôn,Esplendores do Srcerdocio,Nortyres,,,,,,,
36,Farta,Saudades do Ceu,cadete,Leves,saude,Poeta Saudade,lua,,,,,,
37,"Christina
Será",valôr,Christina,Christo,Ohristina,,,,,,,,
38,vólhote,Amhos,Conselhos,Aconselhava-a,Conseguira,Joelhos,,,,,,,
39,"Pobre Madre Lan-
den!",flôr,Madre,Padre,Madre Clandea,Madrid,bom do padre,Madre Superior,Vou,pavôr,Pobre Madre,Madre Claudes,
40,"241

Angelica",Soror Angelica,TANGO,Madre Angelica,,,,,,,,,
41,damasco,álêm,Ama,Chamaram-mo,Ama-Rita,,,,,,,,
42,Lima Vida,Ultimas,lagrimas,proxima,,,,,,,,,
43,Senhora,"Senhorã
dos Verdes",Tenho,Nosso Senhor,Senhorã,Senhora Condessa,,,,,,,
44,Veja-a,grande chapéo,chapéo,Chamou-a,"sen
chapéo",,,,,,,,
45,visinho cemiterio grasnaram,visinho,Medroso Rodrigues,Miguel,Miguelsinho,Martinho,Real,,,,,,
46,gôto,fóra,aféto,,,,,,,,,,
47,"da-
goas",dôco,,,,,,,,,,,
48,santa casa,Santas,Cinta,Plantado,"Santas
Terezas de Jesus",,,,,,,,
49,fósso,pola,Posso,,,,,,,,,,
50,vêr,vêr-me,revêr,Mêos,si-,,,,,,,,
51,k,Senhora de Castelo,Senhora do Castelo,herdaste,Senhora do Castelo...,,,,,,,,
52,Ponte do Inferno,Fonte do Inferno?,Ífonte,Fonte do Inferno,,,,,,,,,
53,escrevaninha portugal,Longa,Mes,n'Portugal,em Portugal,Importa-me,portugal,,,,,,
54,Chico,Rico,,,,,,,,,,,
55,Fitava-a,Tavares Cardoso,Pôs,ra,Saltava,Gostava,,,,,,,
56,Paraphraso,Paraizo,Paris,oleografia barata,,,,,,,,,
57,gião,mamã sabe,Saber,sabbat,,,,,,,,,
58,Escrevia,vianda,"300
Gomes Leal",es viajantes,desmantelos,,,,,,,,
59,materialisar,normalisou,Lisbôa,Eulalia,,,,,,,,,
60,Dizialhe,Dizia-me,mo dizia,,,,,,,,,,
61,Ulane,Manel,Janelas,se-,,,,,,,,,
62,SACRIPICADA,BAORIFICADA,Tearão,SACRIFÇADA,BACRIFICADA,SACRIFICADA,"Madre

 

 

 

 

BACRIFICADA",BACRIRICADA,"SACRIFICADA

familia",BACHIFICADA,SACHIFICADA,BAPRIFICADA,
63,NOSSA HOMENAGEM,Jages,nossa velha igreja,sêér,,,,,,,,,
64,Surrateiramente,Pautino de Oliveira,Freira,Primeiras,ICEIRA,FEITICEIRA,palreiras,Trepadeira,,,,,
65,atrozêlo,Dous,Francamente,"Presentimento-
tos",Sentia-so,Entroncamento,,,,,,,
66,"cam-
pos amanhecer",Campos Lima,roca,"cam-
pos",tam-,,,,,,,,
67,Esquecia,tomara,pequenino,Marquez-,Marques,Pequena,,,,,,,
68,"Seror
Manoel","Soror
Manoel",Soror Manoel,Soror Magyoela,Manoel,Áaôm,Soror,,,,,,
69,Madre Gertrudes,Soror Gertrudes,Soror Gertrudes —,Desatou,"Gertrudes
Zarôlha",Senhora Gertrudes,Gertrudes Zarôlha,"Ó
Gertrudes",Decerto,,,,
70,"pas-
sar",Mon-,Dispensariam,,,,,,,,,,
71,"Terezinha da Zófa
do Padre",Torezinha,Terezinha,Ouves,,,,,,,,,
72,Cura,Viol,,,,,,,,,,,
73,ceremonia,sen bonito,Oh,sen bonito bigode,amnito serena,Tonito,,,,,,,
74,Relia,"fa-
emilia",familia,,,,,,,,,,
75,Mancela,Mand,ANcIçÕES,"rOmancE

Ixreutzss",Mania,,,,,,,,
76,Comborço,tôr comnosco,& cova,,,,,,,,,,
