cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,us,Aplausos,Dous,sus el,,,,,,,,,,,
1,pre,Compreendia,Ds,Premia,Repreensões,Desprender,lugubre,Córei,,,,,,,
2,Santo Deus,santo Deus,Auto da « Sebenta,porto delle,Adeus,,,,,,,,,,
3,Soror Claudea,Pobre Soror Claudoa,Adro Claudoa,Claudea,,,,,,,,,,,
4,terra,Serra da Estrella,Inglaterra,,,,,,,,,,,,
5,elle lhas,lha,Filhas,Talhados,Olha,Zarôlha,nossa velha igreja,Áaôm,,,,,,,
6,céo azul,Barba Azul,,,,,,,,,,,,,
7,Senhora de Castelo,Senhora do Castelo,Senhora do Castelo...,,,,,,,,,,,,
8,visinho cemiterio grasnaram,visinho,Pedro Cem,cemiterio público,,,,,,,,,,,
9,Acordara,Recordava,"ú

Acordara",,,,,,,,,,,,
10,coitadinha,Vinha,Mariquinhas,Tenha,minas batatinhas,Aninhei-me,condessinha,cosinha,caldeirinha magica,Vergonhas,Eóló,Zéfinha da horta,Espanha,,
11,têo,Mêos,,,,,,,,,,,,,
12,Superior,intemperies,Madre Superior,,,,,,,,,,,,
13,Próspera,!,hóspeda,Prós-,,,,,,,,,,,
14,Horída,Senhora,"Senhorã
dos Verdes",Tenho,Nosso Senhor,Senhorã,Senhora Condessa,se-,,,,,,,
15,Aquelle,aquella calúnia,aquelle,Aquella,Naquelle,paquêta,ello,elle,naquelle,,,,,,
16,Ihe,Olhe,Eolheto,Olho-o,,,,,,,,,,,
17,Veja-a,Pa-,Veja-lhe,,,,,,,,,,,,
18,"cam-
pos amanhecer",Campos Lima,"cam-
pos",,,,,,,,,,,,
19,fôra,Fôra,,,,,,,,,,,,,
20,olla,pola,nella,"olla mote-
java",g'ellas,,,,,,,,,,
21,flôr,valôr,S.º,,,,,,,,,,,,
22,Perdão,Er,herdaste,Viera,herva,Numero,Disseração,,,,,,,,
23,Comborço,Colombo,,,,,,,,,,,,,
24,Ai,Vai-to,Caia,Paraizo,Baixa,,,,,,,,,,
25,Choravam,Cho-,Chorava,Fechou,atordoava,salvadora,pormenorisava,Abraçava,,,,,,,
26,Madre Gertrudes,Soror Gertrudes,Soror Gertrudes —,"Gertrudes
Zarôlha",Senhora Gertrudes,Gertrudes Zarôlha,"Ó
Gertrudes",,,,,,,,
27,oças,bôas,Bôn,Lisbôa,,,,,,,,,,,
28,ix,Ixreutzss,"rOmancE

Ixreutzss",,,,,,,,,,,,
29,COIMBRA,Coisa,Coimbra,Academia do Coimbra,,,,,,,,,,,
30,contér,Longa,Contos,Continuará,sêér,,,,,,,,,,
31,Triste,Paris,tristeza,,,,,,,,,,,,
32,Peito,Geitoso,feitôr,,,,,,,,,,,,
33,Mon-,ceremonia,Estremoz,,,,,,,,,,,,
34,dôce,dôco,,,,,,,,,,,,,
35,"pas-
sar","pas-
ava","da-
goas",pavôr,HU,,,,,,,,,,
36,Podia,Diabo,"proprio
Diabo em pessôa !",,,,,,,,,,,,
37,Saudades do Ceu,cadete,saude,Poeta Saudade,,,,,,,,,,,
38,"Christina
Será",Christina,Christo,Ohristina,,,,,,,,,,,
39,vólhote,Amhos,Conselhos,Aconselhava-a,Conseguira,Joelhos,,,,,,,,,
40,sen bonito,sen bonito bigode,amnito serena,Tonito,,,,,,,,,,,
41,"Pobre Madre Lan-
den!",Madre,Padre,Madre Clandea,Madrid,bom do padre,Pobre Madre,Madre Claudes,,,,,,,
42,"241

Angelica",Soror Angelica,TANGO,Madre Angelica,,,,,,,,,,,
43,Invas,vasia,si-,bôca vasia,silvas,,,,,,,,,,
44,Lima Vida,Ultimas,lagrimas,proxima,,,,,,,,,,,
45,"casa dos
Carneiros",santa casa,aquella santa casa,Santas,Cinta,Plantado,Casas,"Santas
Terezas de Jesus",,,,,,,
46,Medroso Rodrigues,Miguel,Miguelsinho,,,,,,,,,,,,
47,álêm,grande chapéo,chapéo,"sen
chapéo",Pés,,,,,,,,,,
48,Ulane,Mancela,Manel,Mand,Janelas,Mania,desmantelos,,,,,,,,
49,Farta,metro partiu-lho uma aza,Cavalinho,Martinho,,,,,,,,,,,
50,SACRIPICADA,Cacilda,BAORIFICADA,BACRIFICADA,SACRIFICADA,"Madre

 

 

 

 

BACRIFICADA",BACRIRICADA,"SACRIFICADA

familia",BACHIFICADA,SACHIFICADA,BAPRIFICADA,,,,
51,pequenino,Pequena,,,,,,,,,,,,,
52,gôto,Desatou,této,TO,aféto,Decerto,,,,,,,,,
53,Cederia,materialisar,normalisou,"Lisa da
Roda",Dispensariam,Iria,,,,,,,,,
54,vêr,vêr-me,revêr,Já,,,,,,,,,,,
55,Peniche...,Peniche,Chico,,,,,,,,,,,,
56,bemaventurança,estrada,Lembrara,braza,fóra,Cura,Paraphraso,ra,fúra,Sagrado,Jarras,tra,França,oleografia barata,
57,úti-,tisica,Tica,roca,,,,,,,,,,,
58,mamã sabe,Saber,sabbat,,,,,,,,,,,,
59,"SACRIFIGADA

Falou",SACRIFÇADA,SACRIFIGADA,"SACRIFIGADA

Y",Morgado,Diga,,,,,,,,,
60,fui-mo,Ama,Chamou-a,tomara,Chamaram-mo,Vamos,tam-,,,,,,,,
61,Surrateiramente,Situa Gameiro,Pautino de Oliveira,Freira,Oh,Primeiras,ICEIRA,FEITICEIRA,palreiras,Trepadeira,,,,,
62,atrozêlo,EN,Francamente,"Presentimento-
tos",Sentia-so,Entroncamento,,,,,,,,,
63,Infias,vianda,"mem-
ro da aristocracia britanica",Confiando da Ama-Rita,Ama-Rita,desconfiança,,,,,,,,,
64,"Seror
Manoel","Soror
Manoel",Soror Manoel,Soror Magyoela,Manoel,Soror,,,,,,,,,
65,Ponte do Inferno,Fonte do Inferno?,Ífonte,Fonte do Inferno,,,,,,,,,,,
66,Dizialhe,"Via

DIARIO DUMA",Dizia-me,mo dizia,,,,,,,,,,,
67,k,Pobre 'Ferczinha,"Terezinha da Zófa
do Padre",Torezinha,Terezinha,,,,,,,,,,
68,Relia,Jhiam,"fa-
emilia",Eulalia,familia,,,,,,,,,,
69,gião,damasco,Tearão,Grão-Vasco,& cova,,,,,,,,,,
70,fósso,Sorria,Posso,Sorrisos,So,,,,,,,,,,
71,vonva,voluntario,Viol,Vol,Vou,I vol,volta delle,,,,,,,,
72,Alemtejo,Ilte,Tejo,,,,,,,,,,,,
73,"Biblioteca de propaganda educativos
e distribuição gratuita",Grande,Candeia,Hãde,girandola,,,,,,,,,,
74,"quasi
odiento","quasi
caveira",Quasi,lua,,,,,,,,,,,
75,Real,Tigre,alegre,Alegre,,,,,,,,,,,
76,Fitava-a,Havana,Tavares Cardoso,Saltava,Encostada,Estados-Unidos,Gostava,,,,,,,,
77,Pedir,tragedia,NOSSA HOMENAGEM,Qnom,tôr comnosco,comedia,,,,,,,,,
78,Africa,America,Amérricana,Rico,Maricas,Amérrica,,,,,,,,,
79,Esquecia,Marquez-,Marques,,,,,,,,,,,,
80,Una,Pôs,"una
pessõa",pessõas,,,,,,,,,,,
81,Teresita do barbeiro,Clara do Reza-,Manél da Clara do Rezadeira,Clara,Clara do Rezadoira,"Clara de
Rezedeira",Crédo,"Clara do
Trepadeira",,,,,,,
82,Escrevia,Estive,Resignada,álacres,Leves,Sévres,"300
Gomes Leal",Mes,Esplendores do Srcerdocio,es viajantes,ANcIçÕES,Jages,Ouves,Nortyres,es
83,escrevaninha portugal,n'Portugal,em Portugal,Importa-me,portugal,,,,,,,,,,
84,Dahi,sahir,Sahira,hade sahir,ahi,Sahi,Sahir,,,,,,,,
85,Ina da Camera Rego,FEL Intona,dornas,mévinagre,Inf,Chinas,ruinas,Ina,,,,,,,
86,Abrenuncio,dulcida,opulencia,,,,,,,,,,,,
